"FECHA DE MUESTREO","ESTACIONES","pH","TEMPERATURA (°C)","COLOR (UPC)","TURBIEDAD (UNT)","SOLIDOS TOTALES (mg SST/l)","SOLIDOS SUSPENDIDOS TOTALES (mg SS/l)","SOLIDOS DISUELTOS (mg SD/l)","DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l)","DEMANDA QUIMICA DE OXIGENO (mg O2/l)","OXIGENO DISUELTO (mg O2/l)","DUREZA TOTAL (mg CaCO3/l)","DUREZA CALCICA (mg CaCO3/l)","DUREZA MAGNESICA (mg CaCO3/l)","CALCIO (mg Ca/l)","MAGNESIO (mg Mg/l)","ALCALINIDAD TOTAL (mg CaCO3/l)","BICARBONATOS (mg CaCO3/l)","CONDUCTIVIDAD ELÉCTRICA (µS/cm)","HIERRO TOTAL (mg Fe/l)","HIERRO DISUELTO (mg Fe/l)","MANGANESO TOTAL (mg Mn/l)","MANGANESO DISUELTO (mg Mn/l)","SODIO TOTAL (mg Na/l)","SODIO DISUELTO (mg Na/l)","POTASIO TOTAL (mg K/l)","POTASIO DISUELTO (mg K/l)","COBRE TOTAL (mg Cu/l)","COBRE DISUELTO (mg Cu/l)","ZINC TOTAL (mg Zn/l)","ZINC DISUELTO (mg Zn/l)","CIANUROS (µg CN-/l)","FLUORUROS (mg F/l)","SULFUROS (mg S-2/l)","SILICE (mg Si/l)","NITROGENO TOTAL (mg N/l)","NITROGENO AMONIACAL (mg N-NH3/l)","NITRITOS (mg N-NO2/l)","NITRATOS (mg N-NO3/l)","CLORUROS (mg Cl/l)","FOSFORO TOTAL (mg P/l)","FOSFATOS (mg PO4/l)","SULFATOS (mg SO4/l)","CADMIO TOTAL (mg Cd/l)","CADMIO DISUELTO (mg Cd/l)","CROMO TOTAL (mg Cr/l)","CROMO DISUELTO (mg Cr/l)","NIQUEL TOTAL (mg Ni/l)","NIQUEL DISUELTO (mg Ni/l)","PLOMO TOTAL (mg Pb/l)","PLOMO DISUELTO (mg Pb/l)","MERCURIO (µg Hg/l)","COLIFORMES TOTALES (NMP/100 ml)","COLIFORMES FECALES (NMP/100 ml)","CAUDAL (m3/s)"
"1998 Dec 19 12:00:00 AM","YOTOCO","7.1","4.1",,"4.1",,"110",,"4.2",,"1.5",,,,,,,,"103",,,,,,,,,,,,,,,,,,,,,"3.08",,,,,,,,,,,,,,,
"1998 Dec 19 12:00:00 AM","MEDIACANOA","7","2",,"2",,"130",,"3",,"1.81",,,,,,,,"103",,,,,,,,,,,,,,,,,,,,,"3.02",,,,,,,,,,,,,,,
"1998 Dec 19 12:00:00 AM","PASO DE LA TORRE","7","22.9",,"3.4",,"153.3",,"5",,"2",,,,,,,,"110",,,,,,,,,,,,,,,,,,,,,"3.59",,,,,,,,,,,,,,,
"1990 May 09 12:00:00 AM","ANTES SUAREZ","6.6",,,,"157","29.3","127.7","0.5","5.2","5.6","30","18","12","7.2","2.9","12.6","15.4","73.9","2.65",,"0.4",,"4.66",,"1.14",,"0",,"0.021",,,,,,"0.41","0.49","0.003","0.06","5","0.042",,"19",,,,,"0",,,,,"2.4*10E4","23",
"1990 Jan 10 12:00:00 AM","ANTES RIO OVEJAS","6.7",,,,"143","65","78","2.1","24","6","88.6","13.2","15.4","5.3","3.7","14","17.1","67.9","3.07",,"0.12",,"3.95",,"1.16",,"0",,"0.014",,,,,,,,"0.0018","0.03","6",,"0.01","18",,,,,,,,,,"2.4*10E4","24*10E4",
"1990 May 09 12:00:00 AM","ANTES RIO TIMBA","6.8",,,,"181","109","72","2.8","6.2","6.9","36","16","20","6.4","4.8","16.8","20.5","69.5","15.5",,"0.21",,"4.97",,"1.32",,"0.043",,"0.04",,,,,,,"0.29","0.004","0.06","4","0.11","0.045","16.5",,,,,"0",,,,,"2.4*10E8","2.4*10E4",
"1990 Jan 10 12:00:00 AM","PASO DE LA BALSA","7.1",,,,"380","293","87","1","26","7.2","26.4","15.4","11","6.2","2.6","16","19.5","62.2","13.4",,"0.29",,"5.16",,"1.55",,"0.02",,"0.074",,,,,,,,"0.002","0.023","4",,"0.01","22",,,,,,,,,,"2.4*10E5","9550",
"1990 May 09 12:00:00 AM","PASO DE LA BOLSA","6.9",,,,"187","118","69","1.6","64.8","6.5","36","14","22","5.6","5.3","16.8","20.5","71.7","6.35",,"0.18",,"4.98",,"1.25",,"0.013",,"0.07",,,,,,,"0.29","0.004","0.12","5","0.08","0.035","16",,,,,"0",,"0",,,"9.55*10E5","2.3*10E5",
"1990 May 09 12:00:00 AM","PUENTE HORMIGUERO","6.8",,,,"372","315","57","0.7","18.7","6.3","42","20","22","8","5.3","18.9","23","85.8","12",,"0.25",,"5.93",,"1.57",,"0",,"0.066",,,,,,,"0.29","0.002","0.05","4","0.21","0.02","18",,,,,"0",,"0",,,"2.4*10E5","2.4*10E5",
"1990 May 09 12:00:00 AM","ANTES INTERCEPTOR SUR","6.9",,,,"238","175","63","3","10.4","5.8","42","18","24","7.2","5.7","21","25.6","82.6","7.55",,"0.19",,"4.77",,"1.36",,"0",,"0.011",,,,,,,"0.29","0.003","0.04","4","0.2","0.04","18.8",,,,,"0",,"0",,,"2.31*10E6","2.3*10E5",
"1990 May 02 12:00:00 AM","JUANCHITO","6.8",,,,,"364",,"2","16","5.7","42","20","20",,,"27.3",,"90","20",,"0.42",,"7.11",,"2.37",,"0.024",,"0.056",,,,,,,,"0.004","0.05","4","0.28",,"15",,,"0.04",,,,"0.1",,,,,
"1990 Jan 11 12:00:00 AM","PASO DEL COMERCIO","7.1",,,,"316","215","101","3","44","5.9","35.2","19.8","15.4","7.9","3.7","24","29.3","81.4","10.28",,"0.23",,"4.73",,"1.48",,"0.01",,"0.061",,,,,,,,"0.006","0.04",,,"0.018","17",,,,,,,,,,"2.4*10E7","2.4*10E4",
