Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
47;QUEBRADA CHAPATA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;-;22.0;-;175.0;-;-;8.3;7.63;10;-;-;93;-;-;-;-;;0.32;0.01;-;;1.5;3.9;-;-;2;-;1998-06-04;00:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;-;22.0;-;175.0;-;-;7.0;7.65;10;-;-;88;-;-;-;-;;0.49;0.01;-;;1.5;1.7;-;-;2;-;1998-11-04;00:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;-;21.0;-;172.0;-;-;28.0;6.95;25;-;-;91;-;-;-;-;;0.36;0.01;-;;1.5;8.9;-;-;790;-;2000-04-07;00:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;-;30.0;30;410.0;6.84;-;2.0;7.26;20;270;-;203;-;-;-;-;;260.5;1.5;-;;9.5;0.41972;-;-;-;-;2003-09-03;00:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;-;30.0;-;410.0;6.84;-;2.0;7.26;20;270;9.5;203;-;-;-;-;;0.41972;0.001;-;;1.5;4.4118;-;-;110;-;2003-09-03;00:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;2334;18.8;22.4;61.0;8.37;7.92;15.0;6.92;15;117;19.8;32.4;-;21.3;8.3;7.92;;1.59;0.06;-;;4;7.6;-;-;14000;-;2009-02-03;00:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;448;19.5;22.1;74.0;7.61;7.72;0.95;7.78;5;69;2.1;29.5;24.4;21.3;-;7.72;;1;0.01;-;;2;12.4;3.3;-;7000;-;2010-03-02;00:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;3527;18.2;20.3;48.0;7.72;8.2;6.5;7.27;20;84;16;16.5;14.5;21.3;-;8.2;;1.1;0.01;-;;1.5;12;4.8;-;46000;-;2010-07-06;00:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;9160;16.5;20.4;149.0;8.03;7.6;6.2;7.91;20;142;14.2;39.9;55;-;1;7.6;;0.3;0.01;-;;1.5;24.7;5.3;0.025;49000;-;2011-02-01;00:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;9160;16.6;21.3;12.8;7.78;7.92;2.5;7.72;30;116;3.9;35.5;43;-;0.36;7.92;;0.64;0.0043;-;;0.94;23.7;-;0.025;130000;-;2011-07-05;00:00:00;967.5718641
