Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;0.31;26.2;24;-;7.56;-;-;8.08;-;16.538;7000;5800;-;11858;278;-;-;-;-;-;-;1808;237;3.2;-;-;-;1999-02-04;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;-;22.0;-;230;-;-;610;7.11;240;-;-;117;-;-;-;-;-;5;0.01;-;-;1.5;58.5;-;-;-;-;2000-08-10;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;-;30.0;-;-;7.66;-;-;8.01;-;9055;410;6168;-;4352;2300;-;-;-;-;-;-;1256;406;37.6;-;-;-;2000-09-05;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;-;25.0;-;-;7.12;-;-;7.52;-;4.875;40;4501;-;897;121;-;-;-;-;-;-;1603;110;0.88;-;-;-;2000-09-05;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;-;22.0;-;180;7.4;-;10;7.5;20;203;-;106;-;-;-;-;-;0.34198;0.00348;-;-;1.5;4.6281;-;-;50;-;2001-05-02;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;-;21.5;-;215;7.03;-;70;7.23;240;188;-;103;-;-;-;-;-;2.4573;0.01432;-;-;1.5;38.8445;-;-;2;-;2001-05-03;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;-;33.0;-;-;7.83;-;-;-;-;8293;163;-;-;4769;1.725;-;-;-;-;-;-;-;-;-;-;-;-;2001-06-07;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;-;35.0;-;-;7.87;-;-;-;-;9641;1310;-;-;6627;4190;-;-;-;-;-;-;-;-;-;-;-;-;2001-06-07;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;0.8;32.0;-;-;7.9;-;-;-;-;9571;460;-;-;6715;4163;-;-;-;-;-;-;-;-;-;-;-;-;2001-06-07;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;-;21.4;-;227;6.91;-;48;7.13;210;213;-;101;-;-;-;-;-;2.225;0.0149;-;-;1.5;22.676;-;-;2;-;2002-04-04;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;0.93;33.8;-;-;7.86;-;-;8.12;-;14.842;1900;7835;-;12752;8883;-;-;-;-;-;-;1700;477.16;4;-;-;-;2002-04-10;00:00:00;977.7670528
