Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;24;-;190;-;-;96;6.49;20;-;-;114.0;-;-;-;-;-;0.13;0.01;-;-;3.3;3.5;-;-;2;-;1997-11-06;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;24.5;-;190;-;-;1.1;6.83;5;-;-;86.0;-;-;-;-;-;1.2;0.01;-;-;1.5;1.5;-;-;-;-;1998-02-12;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;-;-;-;-;-;0.75;6.9;5;-;-;83.0;-;-;-;-;-;1.5;0.01;-;-;1.5;4;-;-;2;-;1998-06-08;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;24.6;-;155;-;-;0.4;6.54;10;-;-;93.0;-;-;-;-;-;1.4;0.01;-;-;1.5;3.3;-;-;110;-;1998-09-01;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;24;-;180;-;-;0.46;6.49;-;181;-;86.0;-;-;-;-;-;1.6;0.01;-;-;1.5;1;-;-;2;-;1999-05-10;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;25;-;180;-;-;0.46;6.87;-;-;-;83.0;-;-;-;-;-;0.46;0.01;-;-;1.5;2.7;-;-;7;-;1999-08-02;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;-;-;180;5.3;-;0.47;6.3;-;203;-;72.5;-;-;-;-;-;1.4;0.01;-;-;1.5;5.2;-;-;22;-;1999-11-02;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;25.1;-;-;6.68;-;1;6.4;5;-;-;86.0;-;-;-;-;-;1.7;0.01;-;-;1.5;4.7;-;-;2;-;1999-12-01;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;25;-;175;5.6;-;1.1;6.52;-;201;-;77.0;-;-;-;-;-;1.7;0.01;-;-;1.5;1;-;-;2;-;2000-03-07;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;25.5;-;175;-;-;0.7;6.41;-;-;-;77.0;-;-;-;-;-;1.6;0.01;-;-;4.1;4.6;-;-;-;-;2000-08-01;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;29.8;-;-;7.93;-;-;8.13;-;10773;1212;6835.0;-;8851;6078;-;-;-;-;-;-;1490;327.94;7.6;-;-;-;2002-04-10;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;40.8;-;-;7.46;-;-;7.76;-;21.588;1377;10335.0;-;27297;22755;-;-;-;-;-;-;1760;600.9;60.9;-;-;-;2002-04-10;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;26.2;-;179;6.21;-;34;6.56;20;199;8.7;82.0;-;-;-;-;-;1.1334;0.00196;-;-;1.5;6.7906;-;-;2;-;2002-12-04;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;26;-;212;-;-;0.4;6.61;10;-;-;85.0;-;-;-;-;-;1.4;0.01;-;-;1.7;1.6;-;-;79;-;2005-08-05;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;13;-;180;6.1;-;1;7.48;5;-;-;86.0;-;-;-;-;-;1.1;0.01;-;-;1.5;2;-;-;7;-;2005-09-02;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;0.2;23;-;-;7.48;-;-;7.71;-;676;14.2;825.0;-;225;63.5;-;-;-;-;-;-;-;-;4.1;-;3100000;-;2010-12-09;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;0.2;24.9;-;-;7.96;-;-;7.84;-;524;11.5;475.0;-;66;20.5;-;-;-;-;-;-;-;-;1.9;-;460000;-;2010-12-09;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;0.2;24.9;-;-;7.96;-;-;7.84;-;524;11.5;475.0;-;66;20.5;-;-;-;-;-;-;-;-;1.9;-;460000;-;2010-12-09;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;0.2;24.8;-;-;7.79;-;-;7.8;-;675;23.7;562.0;-;137;31.5;-;-;-;-;-;-;-;-;3.7;-;4600000;-;2010-12-09;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;0.2;24.8;-;-;7.79;-;-;7.8;-;675;23.7;562.0;-;137;31.5;-;-;-;-;-;-;-;-;3.7;-;4600000;-;2010-12-09;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;0.03;24.1;-;-;8.73;-;-;8.61;-;728;9.6;217.0;-;287;74.1;-;-;-;-;-;-;-;-;3.8;-;-;-;2010-12-09;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;0.2;23;-;-;8.01;-;-;8.5;-;1034;341;526.0;-;636;223;-;-;-;-;-;-;-;-;29.7;-;17000000;-;2010-12-09;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;0.2;23;-;-;8.01;-;-;8.5;-;1034;341;526.0;-;636;223;-;-;-;-;-;-;-;-;29.7;-;17000000;-;2010-12-09;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;0.03;24.1;-;-;8.73;-;-;8.61;-;728;9.6;217.0;-;287;74.1;-;-;-;-;-;-;-;-;3.8;-;-;-;2010-12-09;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;0.03;26.9;-;-;8.23;-;-;8.14;-;1221;840;118.0;-;1336;136;-;-;-;-;-;-;-;-;948;-;-;-;2010-12-09;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;0.2;23;-;-;7.48;-;-;7.71;-;676;14.2;825.0;-;225;63.5;-;-;-;-;-;-;-;-;4.1;-;3100000;-;2010-12-09;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;0.03;26.9;-;-;8.23;-;-;8.14;-;1221;840;118.0;-;1336;136;-;-;-;-;-;-;-;-;948;-;-;-;2010-12-09;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;Faltan variables;Faltan variables;Faltan variables;-;21.2;27.4;255;7.06;-;30.6;7.07;70;200;4;106.0;-;-;-;-;-;0.53;0.002;-;-;5.2;2.2;-;-;326;-;2012-09-03;00:00:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;75;0.78;0.79;7544;22.1;30.7;88;7.97;7.8;4.2;7.89;20;75;7.5;39.4;38;< 21.3;< 1;-;-;0.27;0.0028;0.095;-;< 1.5;4.3;0.56;< 0.025;79000;1100;2013-04-09;11:20:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;72;0.73;0.75;10730;19.7;26.8;76;7.8;7.76;15.3;7.7;40;143;30.9;34.5;34;< 21.3;< 1;-;-;0.53;0.0034;0.109;-;< 1.5;5.6;6.6;< 0.025;49000;35000;2013-08-27;11:32:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;74;0.76;0.78;12005;18.4;23.3;73;7.96;7.97;10.6;7.63;-;83.5;35.2;36.0;30;< 20;< 1;-;-;0.44;0.0048;0.102;-;< 1.5;5.6;1.5;< 0.025;93300;27900;2013-11-19;12:10:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;71;0.74;0.76;12612;18.9;24;67;7.43;7.95;41.3;7.57;40;261;78;29.5;24.2;< 20;< 1;-;-;0.77;0.0082;0.119;-;1.5;8;11.5;< 0.025;54600;21300;2014-03-04;11:50:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;72;0.74;0.75;4917;20.2;27.8;106;8.31;8.07;3;7.98;10;86.1;6.9;52.7;45;< 20;1.1;-;-;0.41;0.0043;< 0.09;-;1.5;4.2;5.3;< 0.025;55600;18500;2014-07-15;10:35:00;1274.649555
49;RIO RISARALDA, PUENTE UMBRIA;74;0.82;0.8;3368;21.7;29.2;112;8.22;7.45;4.3;7.88;10;90.9;7.6;53.0;47.5;< 20;1.1;-;-;0.54;0.0079;0.116;-;0.15;5.2;-;-;115300;1000;2014-09-09;11:16:00;1274.649555
