Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;76;0.81;0.83;6035;18.4;27.7;64.0;7.8;8.1;2.0;7.67;10;58;< 2.1;31.3;26.0;< 21.3;< 1;-;-;0.16;< 0.002;< 0.09;-;< 1.5;3.8;1.5;< 0.025;7000;790;2013-04-09;09:40:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;75;0.82;0.83;8928;16.9;25.3;55.0;7.78;7.93;8.6;7.54;30;120;14.4;25.0;30.0;< 21.3;< 1;-;-;0.44;< 0.002;< 0.09;-;< 1.5;5.6;4.1;< 0.025;11000;790;2013-08-27;09:23:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;76;0.85;0.86;11369;16.5;23.6;56.0;7.88;8.22;8.1;7.56;-;86;26;29.0;22.0;< 20;< 1;-;-;0.32;0.0038;< 0.09;-;< 1.5;5.3;4.1;< 0.025;7215;776;2013-11-19;09:38:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;76;0.91;0.91;10413;16.5;28.6;48.0;7.52;8.2;10.1;7.48;30;87.9;19.5;21.6;17.2;< 20;< 1;-;-;0.53;0.0048;< 0.09;-;1.5;6;9.9;< 0.025;4884;305;2014-03-04;09:51:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;75;0.78;0.79;4246;17.2;24.0;75.0;8.02;8.1;1.6;7.74;5;105;2.4;37.7;33.0;< 20;< 1;-;-;0.18;0.0044;0.103;-;1.5;3.1;4.2;< 0.025;13340;2430;2014-07-15;08:50:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;74;0.78;0.79;3105;18.3;24.5;79.0;8.08;7.84;2.8;7.78;10;69.2;5.1;38.0;33.0;< 20;< 1;-;-;0.25;0.0022;< 0.09;-;< 1.5;4.4;1.7;< 0.025;10170;5760;2014-09-09;09:21:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;75;0.76;0.78;5420;17.1;21.6;65.0;8.04;8.14;7.0;7.76;20;61.2;34.6;29.8;26.8;< 20;< 1;-;-;0.03;0.0026;< 0.09;-;< 1.5;< 7;1.9;< 0.025;24810;11260;2015-03-03;09:00:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;74;0.77;0.79;3367;18.4;24.9;78.0;8.03;8.14;1.2;7.94;20;130;2.8;41.5;46.3;< 20;< 1;-;-;0.18;< 0.002;< 0.09;-;< 1.5;< 7;3.5;< 0.025;9330;3500;2015-08-18;09:47:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;76;0.78;0.81;6596;17.4;27.1;55.0;7.57;8.3;4.4;7.74;20;50;128;24.6;22.6;< 20;< 1;-;-;0.24;0.1426;< 0.09;-;4.8;7.2;1;< 0.025;4880;730;2015-11-24;09:40:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;75;0.78;0.8;5606;18.3;24.7;55.7;7.26;8.09;2.4;7.8;10;70.9;6.7;25.8;25.2;< 20;< 1;-;-;* 0.33;0.0036;< 0.09;-;4.4;7.6;4.3;< 0.025;19890;6500;2016-04-05;09:30:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;77;0.86;0.86;4698;17.4;23.9;71.8;7.64;8.2;1.7;7.53;10;58.6;2.5;32.1;29.3;< 20;< 1;-;-;* 0.17;0.0023;< 0.09;-;< 1.5;< 7;1.9;-;2880;740;2016-08-23;09:30:00;1495.962843
