Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;ICA 6.1;Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
58;RIO RISARALDA, PUENTE NEGRO;Faltan variables;Faltan variables;Faltan variables;2770;22.2;24.0;127.0;7.95;7.62;30.0;8.09;15;132;41;61.0;59;5;0.29;7.62;-;1.41;0.01;-;-;2;9.1;46.1;0.025;30000;-;2007-12-05;00:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;Faltan variables;Faltan variables;Faltan variables;2770;22.2;24.0;127.0;7.95;7.62;30.0;8.09;15;132;41;61.0;59;5;0.29;7.62;-;1.41;0.01;-;-;2;9.1;46.1;0.025;30000;-;2007-12-05;00:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;Faltan variables;Faltan variables;Faltan variables;6286;20.3;24.8;146.0;7.43;7.16;30.0;7.3;20;194;61.4;45.1;15.9;40.9;13.1;7.16;-;2.29;0.13;-;-;7;11.4;-;-;4600000;-;2009-02-04;00:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;Faltan variables;Faltan variables;Faltan variables;268;18.1;18.0;50.0;7.31;7.86;2.3;7.3;20;44.1;13;16.9;16.7;21.3;1.2;7.86;-;0.4;0.01;-;-;1.5;4.7;2.4;0.025;33000;-;2010-02-09;00:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;Faltan variables;Faltan variables;Faltan variables;42700;21.7;26.2;91.0;7.47;7.35;258.0;7.23;-;530;423;37.2;-;39.7;3.1;7.35;-;2.1;0.04;-;-;1.5;63.2;-;-;700000;-;2010-06-09;00:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;Faltan variables;Faltan variables;Faltan variables;92860;20.2;22.9;85.0;7.24;7.34;887.0;7.15;-;1454;1409;35.0;-;91.1;7.1;7.34;-;2.5;0.04;-;-;1.5;47.8;2.7;1;700000;-;2010-11-03;00:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;Faltan variables;Faltan variables;Faltan variables;8933;18.9;24.5;49.0;7.0;8.21;7.3;7.15;20;78.8;12.2;16.3;13;21.3;0.61;8.21;-;0.67;0.01;-;-;1.5;3.2;0.56;0.025;49000;-;2010-11-09;00:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;Faltan variables;Faltan variables;Faltan variables;2105;16.3;20.4;34.0;7.25;8.18;19.4;7.12;30;64.7;26;10.8;14;-;1;8.18;-;0.57;0.01;-;-;1.5;5.3;2.8;0.025;33000;-;2011-02-08;00:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;Faltan variables;Faltan variables;Faltan variables;3333;20.3;22.6;62.0;7.77;7.84;1.82;7.31;20;70;2.1;23.4;17;21.3;1;7.84;-;0.55;0.0066;-;-;3.6;4.3;3.2;0.025;22000;-;2011-06-07;00:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;Faltan variables;Faltan variables;Faltan variables;37;18.4;22.1;59.0;7.19;8.02;2.2;7.51;20;76.3;-;26.0;19.4;21.3;1;8.02;-;0.23;0.002;-;-;1;4.9;-;-;2800;-;2011-08-01;00:00:00;919.6170571
