Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
105;RIO CAUCA, ANTES RIO RISARALDA;Faltan variables;Faltan variables;Faltan variables;142;21.8;24;-;6.89;0.7;75.0;7.07;120;418;-;111;131;286;129;0.7;-;4.0933;0.01205;-;-;53.1;53.514;38.2;0.7083;80000000;-;2001-04-03;00:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;Faltan variables;Faltan variables;Faltan variables;199;20.5;21.7;-;6.97;1;39.0;7.21;60;259;-;81;169;119;57.5;1;-;3.162;0.01087;-;-;31.4;38.29;9.7;0.33785;30000000;-;2001-06-05;00:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;Faltan variables;Faltan variables;Faltan variables;322;20.8;20;-;6.93;1.7;70.0;6.96;60;331;-;76;71;191;7.2;1.7;-;2.3151;0.076095;-;-;27;39.339;10.1;0.398;13000000;-;2001-12-04;00:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;Faltan variables;Faltan variables;Faltan variables;128;22;25;-;7.05;1.8;35.0;7.2;60;305;-;103;88;70;57;1.8;-;3.1327;0.01157;-;-;45;41.663;16.5;0.034;13000000;-;2003-08-12;00:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;Faltan variables;Faltan variables;Faltan variables;169;20.5;-;-;7.09;-;92.0;7.02;120;512;-;134;-;251;149;-;-;4.76;0.02;-;-;57.5;72.4;154;1.979;17000000;-;2004-03-10;00:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;Faltan variables;Faltan variables;Faltan variables;113;20.4;22.8;-;7.12;-;65.0;7.25;60;443;-;142;119;216;120;-;-;4.82;0.03;-;-;63;78;25.7;2.07;80000000;-;2004-08-10;00:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;Faltan variables;Faltan variables;Faltan variables;-;-;-;-;-;-;6.1;7.58;-;58;-;-;-;10.3;1.2;-;-;0.26;-;-;-;-;-;-;-;8000;-;2004-11-10;00:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;Faltan variables;Faltan variables;Faltan variables;4.76;17.5;18.9;39;6.88;-;4.0;7.1;-;73;15.7;-;-;8.2;0.44;-;-;0.32;-;-;-;-;-;-;-;2200;-;2006-05-09;00:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;Faltan variables;Faltan variables;Faltan variables;348;21.4;22.2;-;7.1;4.83;150.0;7.51;30;691;594;48;61;175;27;4.83;-;1.74;0.07;-;-;7.3;11;39;0.37;11000000;-;2006-07-04;00:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;Faltan variables;Faltan variables;Faltan variables;153;19.5;21.4;-;7.07;2.55;35.0;7.47;50;237;34;119;94;69;33.41;2.55;-;2.57;0.01;-;-;30.6;22.9;5.1;0.122;13000000;-;2007-08-01;00:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;Faltan variables;Faltan variables;Faltan variables;86;18.9;19.5;-;7.2;4.26;30.0;7.3;40;244;72;89;75;102;41.05;4.26;-;1.75;0.02;-;-;13;16;20.8;0.087;8000000;-;2008-02-06;00:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;65;0.64;0.63;-;26.6;30.5;151;7.19;4.55;74.6;7.7;*;236;115;45.2;56;< 21.3;1.2;-;-;1.2;0.0401;0.21;-;5.5;16.4;2.5;*;240000;7000;2013-04-10;12:15:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;58;0.62;0.59;-;26.1;30.7;159;7.16;3.81;100.0;7.42;30;242;112;44;39;< 21.3;3.1;-;-;1.7;0.092;0.344;-;7;20.5;-;-;49000;7900;2013-08-28;13:32:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;52;0.45;0.47;-;23;26.7;122;7.21;4.07;635.0;7.33;-;925;656;41.1;49.6;33.5;2.6;-;-;1.8;0.031;0.518;-;9;29.9;12.9;-;92080;8420;2014-03-05;14:05:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;53;0.54;0.55;-;24.3;33.8;132;7.39;4.15;218.0;7.17;50;394;252;46.1;50;20.1;3.1;-;-;1.6;0.0067;0.159;-;1.5;12.4;4.4;-;38730;6020;2014-07-16;11:45:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;64;0.7;0.64;-;26.7;29.7;180;7.27;3.51;27.0;7.31;30;90;33.5;52;56;< 20;2.5;-;-;1.7;0.0466;0.338;-;9;24.7;1.7;< 0.025;24810;4200;2014-09-10;12:20:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;62;0.65;0.64;-;26.1;28.2;137;7.39;4.2;173.0;7.32;40;255;150;38.1;49.5;< 20;3.6;-;-;1.4;0.0324;0.099;-;6.5;22.7;1.1;-;86640;7630;2015-03-04;11:50:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;63;0.67;0.6;-;27.4;28.3;188;6.97;2.8;70.0;7.7;20;169;41.2;52.1;72.3;< 20;2.2;-;-;1.5;0.1246;0.347;-;11.5;20.6;4;-;13340;2130;2015-08-19;11:40:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;56;0.59;0.54;-;26.1;29.2;167;7;2.41;92.2;7.22;40;289;156;45.3;57.9;< 20;3.6;-;-;1.4;0.1542;0.291;-;5.5;26.9;5.1;-;41060;4730;2015-11-25;12:30:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;57;0.57;0.52;-;26.6;29.4;177;6.8;1.97;94.0;6.7;30;286;128;42;62;< 20;< 1;-;-;* 1.3;0.1092;0.309;-;7.5;29;0.78;-;57940;6020;2016-04-06;14:10:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;59;0.66;0.6;-;27.4;32.5;188;6.88;3.45;22.8;7.39;20;178;84.1;43.9;54.2;< 20;2.5;-;-;1.8;0.1132;0.95;-;12;14.1;3.9;-;16700;2260;2016-08-24;12:10:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;57;0.61;0.58;-;25.6;28.6;156;6.6;3.67;60.1;7.13;50;266;133;45.5;57.9;< 20;5.4;-;-;* 1.8;0.1398;0.348;-;7;26.2;0.96;-;72700;8820;2016-11-09;12:45:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;64;0.59;0.58;-;24.7;25.8;143;6.36;3.82;43.0;7.25;20;204;124;50.5;53.4;< 20;1.7;-;-;1.2;0.0562;0.11;-;4;30.8;3.4;*;34410;7220;2017-02-15;13:50:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;57;0.61;0.55;-;24;28.6;210;7.38;3.88;45.9;7.43;30;226;187;57.1;65.4;< 20;4.7;-;-;1.2;0.0891;0.92;-;5.5;14.7;-;-;8664000;7800;2017-07-12;14:15:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;56;0.42;0.39;-;24.4;24.5;185.7;7.21;3.11;171.0;7.14;50;388;380;51.7;60;31.6;6.8;-;-;1.2;0.0688;0.165;-;7.5;7.5;2.2;-;155310;7980;2017-10-04;13:30:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;55;0.49;0.47;-;25.8;27.4;174.6;7.16;3.7;198.0;7.42;*;353;251;59.9;89.4;39.1;7.3;-;-;0.85;0.0765;0.749;-;5.5;32;1.5;< 0.025;111900;17250;2018-02-07;00:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;65;0.69;0.62;-;26.6;28.5;186.8;7.14;3.66;26.9;7.41;30;163;64.7;55.9;64.1;< 20;3.6;-;-;1.4;0.0818;0.357;-;7.5;26.7;3.2;< 0.025;26030;4100;2018-08-22;13:05:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;57;0.43;0.44;-;23.4;25.5;137;7.17;3.55;205.0;7.11;*;719;609;43.5;*;42;5.4;-;-;* 0;*;* 0;-;*;*;-;-;325500;1080;2018-11-21;12:06:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;54;0.57;0.57;-;23.7;30.1;134;7.18;4.27;138.0;7.16;50;314;212;43.1;50.2;24.9;7.7;-;-;1.23;0.0385;0.16;-;3.4;49.6;0.34;< 0.025;81640;10860;2019-06-05;12:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;65;0.68;0.55;-;26.2;27.8;285;7.17;3.2;10.7;7.33;30;167;41.2;47.6;58.3;< 20;3.7;-;-;1.36;0.109;0.23;-;10.1;19.9;0.48;< 0.025;48840;6630;2019-09-04;11:45:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;57;Faltan variables;Faltan variables;-;23.1;24.5;154.1;7.02;3.28;265.0;7.2;70;0;-;46.6;64.4;41.1;< 5.4;-;-;1.01;0.036;0.169;-;5.4;9;0.19;< 0.025;88200;16900;2019-11-13;13:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;62;0.64;0.61;-;26;29.3;151.4;7.07;3.58;61.2;7.28;30;235;135;45.9;56.9;< 20;< 2;-;-;0.922;0.1078;0.218;-;5.5;13;1.6;< 0.025;30440;4250;2020-03-04;12:05:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;62;0.63;0.61;-;23.7;25.6;141.5;7.04;3.55;70.5;7.05;30;234;133;37.2;51.7;< 20;3.66;-;-;0.745;0.0618;0.188;-;6.37;14.7;-;< 0.025;43520;10500;2020-09-02;11:45:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;59;0.6;0.54;-;25.8;26.2;186.4;6.32;2.82;24.8;7.43;30;190;68;54.5;70.3;< 20;6.63;-;-;0.672;0.174;0.276;-;8.33;15;0.16;< 0.025;34480;5940;2020-11-04;12:20:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;64;0.64;0.6;-;23.9;26.1;165.8;7.28;3.77;31.0;7.43;40;241;139;54.8;63.4;< 20;4;-;-;0.706;0.0734;0.186;-;5.15;12.4;1.33;< 0.025;129970;7330;2021-07-07;11:40:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;61;0.47;0.47;-;23.5;25.1;148;7.36;4.1;40.0;7.57;50;348;306;46;42.4;25.8;10.1;-;-;0.562;0.0317;0.163;-;5.65;9.76;1.36;< 0.025;92080;9870;2021-09-08;12:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;54;0.39;0.41;-;22.5;24.5;127.8;7.16;3.86;210.0;7.53;1000;532;384;48.6;47.5;74;< 8.74;-;-;0.106;*;< 0.09;-;7.06;26.4;5;< 0.025;98040;8860;2021-12-01;12:30:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;60;0.45;0.46;-;23.9;26.1;144.4;6.98;4.12;190.0;7.32;40;468;340;48.5;59.2;27.4;< 2.01;-;-;0.501;0.0199;0.096;-;7.44;12.1;2.06;< 0.025;61310;7120;2022-04-06;13:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;63;0.5;0.49;-;23.8;26.8;164.9;7.39;4.6;77.0;7.73;30;412;334;-;-;23.6;< 2;-;-;0.712;0.0492;0.109;-;6.58;< 5;5.32;< 0.025;92080;12230;2022-07-06;12:30:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;48;0.62;0.61;0;23.8;28.7;141.2;6.9;4.15;196.0;7.16;50;509;35.3;46.7;59.3;37.4;18.5;-;-;0.697;0.0864;0.134;-;5.18;< 5;1.58;< 0.025;547500;27200;2022-10-19;12:45:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;57;0.59;0.6;-;23.8;31.6;125.3;7.23;5.01;150.0;-;30;273;145;53.5;66.3;37.7;7.04;-;-;0.626;0.0249;< 0.09;< 5;-;< 5;2.041;< 0.025;167000;9700;2023-04-12;12:45:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;56;0.59;0.54;-;25.8;30.2;192.21;7.52;3.83;100.0;-;20;305;170;63;73.7;20.9;7.34;-;-;0.948;0.1075;0.221;-;6.85;10.3;1.11;< 0.025;77010;7670;2023-07-05;12:30:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;71;0.71;0.67;-;27.4;28.2;165.1;7.07;4.2;19.0;-;20;167;59.4;49.9;61.4;< 20;< 2;-;-;0.86;0.1218;0.182;-;< 8;11;0.714;< 0.025;20640;4310;2023-09-13;12:30:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;57;0.58;0.56;-;27.3;32.3;160.71;7.16;3.51;45.0;-;20;203;93.1;39.9;60.3;26;7.49;-;-;1.01;0.1374;0.206;-;8.45;17.1;0.217;0.046;32550;5860;2024-03-06;13:20:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;64;0.6;0.59;-;24.1;27.5;145.8;7.29;5.03;110.0;-;20;310;141;43.8;59.6;35.8;< 2;-;-;0.797;0.0394;< 0.09;-;14;9;0.92;< 0.025;81640;13740;2024-07-10;13:00:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;55;0.47;0.49;0;23.2;28.2;126.53;7.21;4.74;249.0;-;40;649;537;42.9;59.8;33.3;2.28;-;-;0.614;0.0548;0.135;-;16.3;19.2;0.215;< 0.025;185000;23800;2025-02-19;12:45:00;894.9829462
105;RIO CAUCA, ANTES RIO RISARALDA;55;0.55;0.5;-;25.4;29.6;204.52;7.22;3.8;120.0;-;51;328;219;55.4;70.6;24.4;9.25;-;< 5;0.468;0.144;0.14;0.539;< 8;22;1.35;< 0.025;241960;5290;2025-10-15;00:30:00;894.9829462
