Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
123;RIO GUATICA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;374;18.2;19;-;-;-;25;7.82;5;135;-;40;52;6;0.5;-;-;0.62;0.01;-;-;1.5;14;-;0.025;30000;-;2000-06-08;00:00:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;810;20.6;21.3;-;7.34;-;43;7.2;30;179;-;41;48;41;20;-;-;1.2596;0.02095;-;-;-;20.761;16.3;0.38685;8000000;-;2002-04-02;00:00:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;833;21.5;23;-;7.33;6.1;24;7.33;15;158;158;45;48;41;20.9;6.1;-;1.251;0.03654;-;-;8;18.255;10.7;0.40998;17000000;-;2002-11-06;00:00:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;413;21.5;25.1;-;7.51;-;34;7.51;30;199;-;50;61;57;28;-;-;1.78;0.04;-;-;12;27.7;5.7;0.058;1700000;-;2004-11-02;00:00:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;134;20.4;25.8;-;7.82;-;8.1;7.82;10;99;-;32;52;5;0.1;-;-;0.63;0.01;-;-;2;15.1;-;0.025;13000;-;2004-11-02;00:00:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;304;22.3;23.5;195;7.31;-;30;7.2;40;196;-;48;63;61;30.5;-;-;1.47;0.04;-;-;18.5;25.8;18.7;0.156;5000000;-;2005-04-05;00:00:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;822;20.8;23.8;159;7.45;-;40;7.2;20;206;-;49;55;-;-;-;-;1.24;0.03;-;-;9;12.2;11.6;0.047;2400000;-;2005-12-06;00:00:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;-;-;-;-;-;-;15;7.26;15;154;20;57;53;31;15.2;-;-;1.21;0.04;-;-;10;18.1;3.6;1.457;1100000;-;2007-09-11;00:00:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;1102;22;27.1;-;7.05;6.26;120;7.15;20;312;192;48;18;41.6;20.8;6.26;-;1.34;0.03;-;-;7.5;25.9;5.9;-;3000000;-;2008-11-11;00:00:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;78;0.8;0.81;6592;20.4;23.4;65;7.86;7.47;24.8;7.73;*;104;48;25.5;20.5;< 21.3;< 1;-;-;0.54;0.0054;0.146;-;< 1.5;8.6;1.8;< 0.025;11000;790;2013-03-19;11:30:00;1228.295768
