Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;Faltan variables;Faltan variables;Faltan variables;2830;23.5;24.4;238.0;7.55;6.57;6.4;7.56;40;175;6.0;74.4;50.2;21.3;7.1;6.57;-;3.5;0.28;-;-;13.5;25;3.7;-;240000;-;2010-03-03;00:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;Faltan variables;Faltan variables;Faltan variables;2;21.0;26.5;106.0;7.63;7.22;23;7.4;40;134;51.0;39.6;33;21.3;5.1;7.22;-;1.9;0.14;-;-;3.5;22.8;2.2;-;2400000;-;2010-07-07;00:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;Faltan variables;Faltan variables;Faltan variables;5906;19.6;21.4;107.0;7.46;6.81;24;7.01;20;125;51.0;37.4;25;25.4;10.1;6.81;-;1.7;0.07;-;-;4.5;21.2;3.6;-;14000000;-;2010-07-07;00:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;Faltan variables;Faltan variables;Faltan variables;-;20.6;23.5;87.0;7.19;7.79;121;6.95;50;301;282.0;28.3;26;73.4;19.3;7.79;-;1.7;0.13;-;-;2;9.1;6.2;-;4600000;-;2011-09-03;00:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;Faltan variables;Faltan variables;Faltan variables;8341;21.5;24.3;83.0;7.03;7.27;47.7;6.94;40;176;76.4;24.9;23;39.2;12.5;7.27;-;1.6;0.05;-;-;2.9;9.62;5.1;0.144;3300000;-;2011-09-03;00:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;Faltan variables;Faltan variables;Faltan variables;4967;22.8;24.5;168.0;7.61;5.28;15.1;7.11;50;121;19.5;50.1;35;34.2;17.2;5.28;-;-;1.7;-;-;10;0.1642;5.2;5.2;11000000;-;2012-02-07;00:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;Faltan variables;Faltan variables;Faltan variables;5783;21.4;23.5;137.0;7.96;7.18;9.3;7.46;50;116;14.8;44.4;36.2;21.3;4.5;7.18;-;6.92;1.9;-;-;6.6;0.2883;-;0.025;280000;-;2012-02-07;00:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;73;0.74;0.76;6731;19.0;26.5;70.0;7.8;8.09;2.6;7.66;20;67.9;4.4;31.9;29;< 21.3;1.1;-;-;0.19;< 0.002;< 0.09;-;< 1.5;4.2;2.2;< 0.025;170000;110000;2013-04-09;11:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;73;0.73;0.76;9006;17.4;23.4;58.0;7.83;8.24;11.8;7.64;30;124;20.7;27;17;< 21.3;< 1;-;-;0.4;0.0024;0.126;-;< 1.5;6.2;-;-;110000;35000;2013-08-27;10:11:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;74;0.76;0.78;11762;17.0;22.3;59.0;7.99;8.26;7.8;7.59;-;73.5;41.9;30.5;24;< 20;< 1;-;-;0.35;0.007;< 0.09;-;< 1.5;5.6;-;-;83300;29200;2013-11-19;10:30:00;1482.760188
