Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Amaime,2016,PALMIRA,Rio Amaime,Rio Amaime - Antes Caserio Tablones - Balneario Puerto Amor,0611-2016,07/07/2016,09:45,Aguas Superficiales,07/07/2016 al 05/08/2016,0677 - 22/08/2016,S/D,891885.65,1098990.93,22,7.95,12.5,102,11,S/D,162,22,140,0.954,36.9,7.44,38.5,53,11.2,6.08,0.283,S/D,1.32,0.18,0.00748,0.038,0.174,0.67,0.526,1.04,2.12,S/D,S/D,S/D,S/D,S/D,S/D,14.2,150,36,S/D
Rio Amaime,2016,PALMIRA,Rio Amaime,Rio Amaime - Antes Caserio Tablones - Balneario Puerto Amor,1240-2016,27/10/2016,10:27,Aguas Superficiales,27/10/2016 al 25/11/2016,1323 - 12/12/2016,S/D,891885.65,1098990.93,27,8.36,21.3,220,3,S/D,220,11.6,208,0.954,9.07,7.74,77.2,119,24,14.3,7.16,S/D,1.12,0.27,0.00748,0.0248,0.07,0.67,0.526,3.32,5.74,S/D,S/D,S/D,S/D,S/D,S/D,28.5,430,90,S/D
Rio Amaime,2017,PALMIRA,Rio Amaime,Rio Amaime - Antes Caserio Tablones - Balneario Puerto Amor,0236-2017,05/04/2017,10:40,Aguas Superficiales,05/04/2017 al 11/05/2017,0221 - 22/05/2017,S/D,891885.65,1098990.93,26,8.08,22.2,187,5.2,S/D,146,23,123,1.12,12,7.78,65,94,19.2,11.2,2.57,2.24,1.59,0.48,0.00973,0.0562,0.0509,1.31,0.353,2.49,0.438,S/D,S/D,S/D,S/D,S/D,S/D,19.2,*,*,S/D
Rio Amaime,2017,PALMIRA,Rio Amaime,Rio Amaime - Antes Caserio Tablones - Balneario Puerto Amor,0961-2017,03/08/2017,09:34,Aguas Superficiales,03/08/2017 al 18/08/2017,0936 - 11/09/2017,S/D,891885.65,1098990.93,24,8.28,12.6,158,2.9,S/D,212,12,200,1.57,18.8,8.14,81,118,26.5,12.6,7.03,S/D,S/D,0.41,0.122,0.24,0.0662,0.383,0.353,0.2,0.239,S/D,S/D,S/D,S/D,S/D,S/D,19,930.0000000000001,430,S/D
Rio Amaime,2018,PALMIRA,Rio Amaime,Rio Amaime - Antes Caserio Tablones - Balneario Puerto Amor,0726-2018,31/05/2018,07:55,Aguas Superficiales,31/05/2018 al 05/07/2018,0686 - 30/07/2018,S/D,891885.65,1098990.93,20,7.63,16.5,159,4.9,S/D,124,17,107,1.16,11.1,7.96,62.1,81.2,23,5.81,1.66,S/D,S/D,0.31,0.00973,0.0562,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,16.3,430,430,S/D
Rio Amaime,2018,PALMIRA,Rio Amaime,Rio Amaime - Antes Caserio Tablones - Balneario Puerto Amor,1248-2018,29/08/2018,09:45,Aguas Superficiales,29/08/2018 al 05/09/2018,1314 - 10/10/2018,S/D,891885.65,1098990.93,22,S/D,16.6,145,3.25,S/D,170,15,155,3,24.5,8.27,51.6,74.8,26.2,2.27,3.68,S/D,S/D,0.26,0.092,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,17.3,4300,900,S/D
Rio Amaime,2019,PALMIRA,Rio Amaime,Rio Amaime - Antes Caserio Tablones - Balneario Puerto Amor,0674-2019,06/06/2019,09:40,Aguas Superficiales,06/06/2019 al 19/07/2019,0726 - 08/08/2019,S/D,891853.65,1098945.93,26,8.29,16,179,15,S/D,118,16,102,2.27,11.1,7.43,70.8,78.3,23.4,4.87,3.51,S/D,S/D,0.851,0.0898,0.134,0.0662,0.318,0.353,4.38,0.774,S/D,S/D,S/D,S/D,S/D,S/D,17.3,2300,2300,S/D
Rio Amaime,2019,PALMIRA,Rio Amaime,Rio Amaime - Antes Caserio Tablones - Balneario Puerto Amor,1030-2019,30/07/2019,11:10,Aguas Superficiales,30/07/2019 al 15/08/2019,1101 - 24/09/2019,S/D,891853.65,1098945.93,26,8.09,18,157,2.3,S/D,114,11.6,102,1.19,11.1,7.42,24.7,73.1,15.1,8.63,3.14,S/D,0.366,0.111,0.0898,0.134,0.0662,0.589,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,17.1,4300,1500,S/D
Rio Amaime,2020,PALMIRA,Rio Amaime,Rio Amaime - Antes Caserio Tablones - Balneario Puerto Amor,0561-2020,14/10/2020,10:50,Aguas Superficiales,14/10/2020 al 11/11/2020 Fin de este informe,0596 - 25/11/2020,S/D,891853.65,1098945.93,21,S/D,20.9,258,2.6,25.7,172,11.6,160,1.59,11,7.53,*,110,33.1,6.66,6.89,S/D,0.25,0.292,0.0101,0.203,0.0935,0.314,0.0571,7.28,0.894,S/D,S/D,S/D,S/D,S/D,S/D,24.8,4300,2000,S/D
Rio Amaime,2021,PALMIRA,Rio Amaime,Rio Amaime - Antes Caserio Tablones - Balneario Puerto Amor,0483-2021,23/06/2021,10:27,Agua,23/06/2021 al 16/07/2021 Fin de este informe,0522 - 03/08/2021,S/D,891853.65,1098945.93,S/D,S/D,19.3,178,7.7,21.4,148,19,129,1.84,11,8.77,71.1,73.5,21.9,4.57,3.45,S/D,0.25,0.308,0.011,0.202,0.0935,0.816,0.0571,4.09,0.8,S/D,S/D,S/D,S/D,S/D,S/D,16.5,4300,4300,S/D
