Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Amaime,2016,EL CERRITO,Rio Amaime,Rio Amaime - antes Caserio el Placer,0612-2016,07/07/2016,10:45,Aguas Superficiales,07/07/2016 al 05/08/2016,0678 - 22/08/2016,S/D,891141.22,1090208.48,28,7.98,15.8,108,15,S/D,170,46.1,124,1.36,37.9,6.92,40.3,41,9.62,4.13,0.36,S/D,1.3,0.16,0.00748,0.0248,0.153,0.67,0.526,0.998,0.26,S/D,S/D,S/D,S/D,S/D,S/D,16.1,230,230,S/D
Rio Amaime,2016,EL CERRITO,Rio Amaime,Rio Amaime - antes Caserio el Placer,1241-2016,27/10/2016,11:05,Aguas Superficiales,27/10/2016 al 25/11/2016,1324 - 12/12/2016,S/D,891141.22,1090208.48,29,8.45,26.3,226,4.75,S/D,238,21.7,216,0.954,11.1,7.76,80.2,129,26.9,15.1,7.24,S/D,1.2,0.21,0.00748,0.0248,0.12,0.67,0.526,3.17,6.25,S/D,S/D,S/D,S/D,S/D,S/D,27.5,2400,430,S/D
Rio Amaime,2017,EL CERRITO,Rio Amaime,Rio Amaime - antes Caserio el Placer,0237-2017,05/04/2017,11:31,Aguas Superficiales,05/04/2017 al 11/05/2017,0222 - 22/05/2017,S/D,1090208.48,891141.22,28,8.03,21.7,193,9.6,S/D,158,43,115,0.954,10,7.73,67.5,88,18.4,10.2,2.68,2.18,1.41,0.57,0.00973,0.0562,0.0509,0.67,0.353,2.59,0.472,S/D,S/D,S/D,S/D,S/D,S/D,21.5,*,*,S/D
Rio Amaime,2017,EL CERRITO,Rio Amaime,Rio Amaime - antes Caserio el Placer,0962-2017,03/08/2017,10:39,Aguas Superficiales,03/08/2017 al 18/08/2017,0937 - 11/09/2017,S/D,891141.22,1090208.48,26,S/D,14.8,160,4.85,S/D,162,18,144,1.34,17.4,7.64,73.5,117,27.3,11.9,6.63,S/D,S/D,1.86,0.401,0.24,0.0662,0.375,0.353,0.2,0.333,S/D,S/D,S/D,S/D,S/D,S/D,15.3,4300,900,S/D
Rio Amaime,2018,EL CERRITO,Rio Amaime,Rio Amaime - antes Caserio el Placer,0727-2018,31/05/2018,09:15,Aguas Superficiales,31/05/2018 al 05/07/2018,0687 - 30/07/2018,S/D,891141.22,1090208.48,27,7.79,18.5,162,6.4,S/D,146,11.6,134,1.35,11.1,7.95,61.4,81.2,21.1,6.97,1.95,S/D,S/D,0.27,0.226,0.0562,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,17,230,230,S/D
Rio Amaime,2018,EL CERRITO,Rio Amaime,Rio Amaime - antes Caserio el Placer,1249-2018,29/08/2018,10:50,Aguas Superficiales,29/08/2018 al 05/09/2018,1315 - 10/10/2018,S/D,891141.22,1090208.48,27,8.25,19,154,6.2,S/D,166,36,130,2.86,25.5,8.06,49.4,61.7,21.4,2.04,3.6,S/D,S/D,0.254,0.0898,0.134,0.068,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,20.3,9300,900,S/D
Rio Amaime,2019,EL CERRITO,Rio Amaime,Rio Amaime - Antes Caserio el Placer,0675-2019,06/06/2019,10:30,Aguas Superficiales,06/06/2019 al 19/07/2019,0727 - 08/08/2019,S/D,891124.22,1090201.48,26,8.04,18,186,18,S/D,146,21,125,2.46,11.1,7.65,71.7,81.2,23.7,5.34,4.22,S/D,S/D,0.754,0.0898,0.134,0.0662,0.334,0.353,4.37,0.747,S/D,S/D,S/D,S/D,S/D,S/D,17.8,900,400,S/D
Rio Amaime,2019,EL CERRITO,Rio Amaime,Rio Amaime - Antes Caserio el Placer,1031-2019,30/07/2019,12:20,Aguas Superficiales,30/07/2019 al 15/08/2019,1102 - 24/09/2019,S/D,891124.22,1090201.48,27,7.77,20,162,4.4,S/D,108,11.6,96.4,0.91,11.1,7.14,13.9,76.1,15.5,9.12,3.08,0.366,0.472,0.718,0.295,0.134,0.0662,0.326,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,17.3,930.0000000000001,930.0000000000001,S/D
Rio Amaime,2020,EL CERRITO,Rio Amaime,Rio Amaime - Antes Caserio el Placer,0562-2020,14/10/2020,12:00,Aguas Superficiales,14/10/2020 al 11/11/2020 Fin de este informe,0597 - 25/11/2020,S/D,891124.22,1090201.48,28,S/D,24.3,267,5.8,37.7,176,11.6,164,1.14,11,7.43,91.6,119,34.1,8.27,6.87,S/D,0.25,0.294,0.011,0.203,0.0935,0.431,0.0571,6.52,1.67,S/D,S/D,S/D,S/D,S/D,S/D,25,930.0000000000001,930.0000000000001,S/D
Rio Amaime,2021,EL CERRITO,Rio Amaime,Rio Amaime - Antes Caserio el Placer,0484-2021,23/06/2021,12:10,Agua,23/06/2021 al 16/07/2021 Fin de este informe,0523 - 03/08/2021,S/D,891124.22,1090201.48,S/D,S/D,21.1,182,6.8,22.1,174,*,*,1.98,11,8.26,73,79.5,19,7.83,3.36,S/D,0.25,0.321,0.014,0.202,0.0935,0.879,0.0571,4.1,0.8,S/D,S/D,S/D,S/D,S/D,S/D,16.5,240000,240000,S/D
