Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Amaime,2016,EL CERRITO,Rio Amaime,Rio Amaime - Antes desembocadura de Rio Nima,0613-2016,07/07/2016,10:30,Aguas Superficiales,07/07/2016 al 05/08/2016,0679 - 22/08/2016,S/D,890334.46,1088708.71,26,7.97,15.2,105,26,S/D,228,49.2,179,2.37,54.2,7.61,40.9,45,14,2.43,0.283,S/D,1.49,0.19,0.00748,0.0248,0.12,0.776,0.526,1.34,0.318,S/D,S/D,S/D,S/D,S/D,S/D,16.1,11000,2400,S/D
Rio Amaime,2016,EL CERRITO,Rio Amaime,Rio Amaime - Antes desembocadura de Rio Nima,1242-2016,27/10/2016,11:25,Aguas Superficiales,27/10/2016 al 25/11/2016,1325 - 12/12/2016,S/D,890334.46,1088708.71,32,8.33,25.4,235,3,S/D,212,22.4,190,3.56,14.7,7.23,81.8,112,22.8,13.4,7.6,S/D,1.36,0.69,0.0126,0.029,0.08,0.67,0.526,3.92,10.2,S/D,S/D,S/D,S/D,S/D,S/D,34.8,7500,2300,S/D
Rio Amaime,2017,EL CERRITO,Rio Amaime,Rio Amaime - Antes desembocadura de Rio Nima,0238-2017,05/04/2017,11:54,Aguas Superficiales,05/04/2017 al 11/05/2017,0223 - 22/05/2017,S/D,890334.46,1088708.71,30,8.01,21.8,196,13.4,S/D,185,27,158,2.27,9.07,7.5,69.8,89,18.8,10.2,0.281,2.47,1.51,0.75,0.00973,0.0562,0.0509,1.64,0.353,0.77,0.549,S/D,S/D,S/D,S/D,S/D,S/D,22,*,*,S/D
Rio Amaime,2017,EL CERRITO,Rio Amaime,Rio Amaime - Antes desembocadura de Rio Nima,0963-2017,03/08/2017,10:24,Aguas Superficiales,03/08/2017 al 18/08/2017,0938 - 11/09/2017,S/D,890334.46,1088708.71,26,8.11,14,170,2.95,S/D,338,22,316,3.34,18.8,7.41,77.3,163,43.3,13.4,7.3,S/D,S/D,0.46,0.122,0.24,0.106,1.1,0.353,0.2,0.374,S/D,S/D,S/D,S/D,S/D,S/D,16,240000,93000,S/D
Rio Amaime,2018,EL CERRITO,Rio Amaime,Rio Amaime - Antes desembocadura de Rio Nima,0728-2018,31/05/2018,09:00,Aguas Superficiales,31/05/2018 al 05/07/2018,0688 - 30/07/2018,S/D,890334.46,1088708.71,27.5,7.67,18,156,6.4,S/D,124,17,107,2.13,11.1,7.89,62.7,71.6,17.2,6.97,1.48,S/D,S/D,0.28,0.00973,0.0562,0.075,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,17.2,110000,2800,S/D
Rio Amaime,2018,EL CERRITO,Rio Amaime,Rio Amaime - Antes desembocadura de Rio Nima,1250-2018,29/08/2018,11:20,Aguas Superficiales,29/08/2018 al 05/09/2018,1316 - 10/10/2018,S/D,890334.46,1088708.71,28,S/D,21.1,160,11.3,S/D,206,43,163,5.74,23.5,7.61,51.8,69.2,21.7,3.64,3.86,S/D,S/D,0.202,0.0898,0.134,0.085,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,19.2,110000,46000,S/D
Rio Amaime,2019,EL CERRITO,Rio Amaime,Rio Amaime - Antes desembocadura de Rio Nima,0676-2019,06/06/2019,10:45,Aguas Superficiales,06/06/2019 al 19/07/2019,0728 - 08/08/2019,S/D,890349.46,1088690.71,26,8.03,20,190,16,S/D,112,20,92,4.75,11.1,7.26,74.3,79.3,22.2,5.81,3.99,S/D,S/D,0.889,0.0898,0.134,0.0662,0.318,0.353,6.46,0.892,S/D,S/D,S/D,S/D,S/D,S/D,17.9,240000,240000,S/D
Rio Amaime,2019,EL CERRITO,Rio Amaime,Rio Amaime - Antes desembocadura de Rio Nima,1032-2019,30/07/2019,12:35,Aguas Superficiales,30/07/2019 al 15/08/2019,1103 - 24/09/2019,S/D,890349.46,1088690.71,28,7.23,21,369,19,S/D,226,27,199,27.9,100,2.99,142,147,28.9,18.2,7.8,S/D,3.45,0.052,0.0898,0.698,1.7,0.457,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,21.1,430000,430000,S/D
Rio Amaime,2020,EL CERRITO,Rio Amaime,Rio Amaime - Antes desembocadura de Rio Nima,0563-2020,14/10/2020,12:15,Aguas Superficiales,14/10/2020 al 11/11/2020 Fin de este informe,0598 - 25/11/2020,S/D,890349.46,1088690.71,30,S/D,24.9,318,7.2,88.2,198,11.6,186,7.57,34.2,2.62,109,123,34.4,9.04,9.78,S/D,1.84,0.209,0.039,0.203,0.283,0.34,0.0571,10.8,2.69,S/D,S/D,S/D,S/D,S/D,S/D,26.7,2400000,930000.0000000001,S/D
Rio Amaime,2021,EL CERRITO,Rio Amaime,Rio Amaime - Antes desembocadura de Rio Nima,0485-2021,23/06/2021,12:38,Agua,23/06/2021 al 16/07/2021 Fin de este informe,0524 - 03/08/2021,S/D,890349.46,1088690.71,S/D,S/D,20.7,186,4.8,21.1,166,20,146,2.9,11,7.98,74.5,81.3,7.78,15,3.65,S/D,0.25,0.335,0.013,0.202,0.116,0.744,0.0571,4.54,0.8,S/D,S/D,S/D,S/D,S/D,S/D,17.2,930000.0000000001,210000,S/D
