Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Amaime,2016,EL CERRITO,Rio Amaime,Rio Amaime - Despues Caserio Auji,0610-2016,07/07/2016,09:10,Aguas Superficiales,07/07/2016 al 05/08/2016,0676 - 22/08/2016,S/D,891885.53,1107592.21,22,8.06,12.5,166,7.6,S/D,150,22.8,127,1.04,36,7.87,50.6,56,14,5.11,0.5,S/D,1.5,0.52,0.00748,0.0248,0.117,0.67,0.526,2.1,0.365,S/D,S/D,S/D,S/D,S/D,S/D,15.8,230,36,S/D
Rio Amaime,2016,EL CERRITO,Rio Amaime,Rio Amaime - Despues Caserio Auji,1239-2016,27/10/2016,10:03,Aguas Superficiales,27/10/2016 al 25/11/2016,1322 - 12/12/2016,S/D,891885.53,1107592.21,26,8.33,21.7,233,5.61,S/D,238,13.7,224,0.954,10.2,7.6,82.3,120,24.8,14.1,9.82,S/D,1.31,0.26,0.0248,0.0248,0.09,0.67,0.526,3.64,4.02,S/D,S/D,S/D,S/D,S/D,S/D,23.9,230,36,S/D
Rio Amaime,2017,EL CERRITO,Rio Amaime,Rio Amaime - Despues Caserio Auji,0235-2017,05/04/2017,10:05,Aguas Superficiales,05/04/2017 al 11/05/2017,0220 - 22/05/2017,S/D,891885.53,1107592.21,24,8.13,20.3,191,10.1,S/D,188,32,156,1.79,12,7.68,69,93,19.2,10.9,4.8,2.47,1.78,1.1,0.011,0.0562,0.0509,0.67,0.353,1.9,0.524,S/D,S/D,S/D,S/D,S/D,S/D,16.5,*,*,S/D
Rio Amaime,2017,EL CERRITO,Rio Amaime,Rio Amaime - Despues Caserio Auji,0960-2017,03/08/2017,09:04,Aguas Superficiales,03/08/2017 al 18/08/2017,0935 - 11/09/2017,S/D,891885.53,1107592.21,23,S/D,10.4,192,4.9,S/D,128,20,108,1.67,17.4,7.54,85.1,121,28.9,11.9,9.31,S/D,S/D,0.72,0.122,0.24,0.0662,0.337,0.353,1.18,0.295,S/D,S/D,S/D,S/D,S/D,S/D,19,11000,4600,S/D
Rio Amaime,2018,EL CERRITO,Rio Amaime,Rio Amaime - Despues Caserio Auji,0725-2018,31/05/2018,07:20,Aguas Superficiales,31/05/2018 al 05/07/2018,0685 - 30/07/2018,S/D,891885.53,1107592.21,19,7.41,16,175,5.4,S/D,134,21,113,1.51,17,7.89,68.3,66.8,19.1,4.64,3.25,S/D,S/D,0.76,0.00973,0.0562,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,14.3,7500,4600,S/D
Rio Amaime,2018,EL CERRITO,Rio Amaime,Rio Amaime - Despues Caserio Auji,1247-2018,29/08/2018,09:30,Aguas Superficiales,29/08/2018 al 05/09/2018,1313 - 10/10/2018,S/D,891847.53,1107620.21,22,S/D,17,166,5.1,S/D,142,13,129,2.53,39.2,8.01,61.2,103,22.5,11.4,4.84,S/D,S/D,0.437,0.0898,0.134,0.072,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,19,24000,4300,S/D
Rio Amaime,2019,EL CERRITO,Rio Amaime,Rio Amaime - Despues Caserio Auji,0673-2019,06/06/2019,09:10,Aguas Superficiales,06/06/2019 al 19/07/2019,0725 - 08/08/2019,S/D,891847.53,1107620.21,25,7.97,18,198,24,S/D,142,25,117,2.52,11.1,7.4,77.5,84,23.4,6.27,5.92,S/D,S/D,1.13,0.0898,0.134,0.0662,0.975,0.353,5.61,0.915,S/D,S/D,S/D,S/D,S/D,S/D,14.2,24000,24000,S/D
Rio Amaime,2019,EL CERRITO,Rio Amaime,Rio Amaime - Despues Caserio Auji,1029-2019,30/07/2019,10:45,Aguas Superficiales,30/07/2019 al 15/08/2019,1100 - 24/09/2019,S/D,891847.53,1107620.21,25,8,18,171,3.5,S/D,102,11.6,90.4,1.4,11.1,7.07,19.8,80.2,15.9,9.87,4.08,S/D,0.366,0.253,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,17.2,50000,50000,S/D
Rio Amaime,2020,EL CERRITO,Rio Amaime,Rio Amaime - Despues Caserio Auji,0560-2020,14/10/2020,10:15,Aguas Superficiales,14/10/2020 al 11/11/2020 Fin de este informe,0595 - 25/11/2020,S/D,891847.53,1107620.21,20,S/D,21.1,252,2.6,23,168,11.6,156,1.62,11,7.52,*,115,32.3,8.34,6.69,S/D,0.25,0.282,0.0101,0.203,0.0935,0.325,0.0571,7.05,0.868,S/D,S/D,S/D,S/D,S/D,S/D,24,930.0000000000001,230,S/D
Rio Amaime,2021,EL CERRITO,Rio Amaime,Rio Amaime - Despues Caserio Auji,0482-2021,23/06/2021,10:56,Agua,23/06/2021 al 16/07/2021 Fin de este informe,0521 - 03/08/2021,S/D,891847.53,1107620.21,S/D,S/D,18,196,5.3,19.2,182,26,156,1.97,11,8.04,82.2,84.3,21.1,7.71,5.5,S/D,0.25,0.748,0.012,0.202,0.0935,1.05,0.0571,5.24,0.817,S/D,S/D,S/D,S/D,S/D,S/D,12.7,9300,9300,S/D
