Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Amaime,2016,PALMIRA,Rio Amaime,Rio Amaime - antes Desembocadura a Rio Cauca,0614-2016,07/07/2016,12:20,Aguas Superficiales,07/07/2016 al 05/08/2016,0680 - 22/08/2016,S/D,897159.37,1074340.79,30,8.03,17.8,135,40,S/D,256,77,179,1.76,28.1,7.26,56.2,49,9.62,6.08,3.83,S/D,1.42,0.27,0.0077,0.097,0.307,0.761,0.526,1.56,0.506,S/D,S/D,S/D,S/D,S/D,S/D,21,430,230,S/D
Rio Amaime,2016,PALMIRA,Rio Amaime,Rio Amaime - antes Desembocadura a Rio Cauca,1243-2016,27/10/2016,01:28,Aguas Superficiales,27/10/2016 al 25/11/2016,1326 - 12/12/2016,S/D,897159.37,1074340.79,32,8.2,25.8,392,10.4,S/D,346,46,300,2.77,15.3,7.7,156,188,38.9,22.1,13.9,S/D,1.43,0.62,0.0623,0.268,0.39,1.39,0.526,7.58,29.9,S/D,S/D,S/D,S/D,S/D,S/D,33.3,4300,730,S/D
Rio Amaime,2017,PALMIRA,Rio Amaime,Rio Amaime - antes Desembocadura a Rio Cauca,0239-2017,05/04/2017,02:10,Aguas Superficiales,05/04/2017 al 11/05/2017,0224 - 22/05/2017,S/D,897159.37,1074340.79,32,7.79,25.3,274,25,S/D,456,197,259,4.1,12,6.79,105,132,27.7,15.3,4.19,2.63,1.32,0.94,0.013,0.0562,0.0509,1.24,0.353,2.35,0.903,S/D,S/D,S/D,S/D,S/D,S/D,27.5,*,*,S/D
Rio Amaime,2017,PALMIRA,Rio Amaime,Rio Amaime - antes Desembocadura a Rio Cauca,0964-2017,03/08/2017,12:15,Aguas Superficiales,03/08/2017 al 18/08/2017,0939 - 11/09/2017,S/D,897159.37,1074340.79,30,S/D,17.9,240,8,S/D,120,34,86,1.54,14.4,6.74,107,137,29.3,15.6,7.55,S/D,S/D,0.46,0.122,0.24,0.0662,0.765,0.353,0.816,0.518,S/D,S/D,S/D,S/D,S/D,S/D,17.6,46000,24000,S/D
Rio Amaime,2018,PALMIRA,Rio Amaime,Rio Amaime - antes Desembocadura a Rio Cauca,0729-2018,31/05/2018,11:05,Aguas Superficiales,31/05/2018 al 05/07/2018,0689 - 30/07/2018,S/D,897159.37,1074340.79,29,7.77,21,213,15,S/D,220,55,165,3.04,11.1,7.16,90.5,91.7,30.2,3.95,3.77,S/D,S/D,0.12,0.014,0.07,0.18,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,19.5,2400,2400,S/D
Rio Amaime,2018,PALMIRA,Rio Amaime,Rio Amaime - antes Desembocadura a Rio Cauca,1251-2018,29/08/2018,02:20,Aguas Superficiales,29/08/2018 al 05/09/2018,1317 - 10/10/2018,S/D,897159.37,1074297.79,30,8.32,23,241,14.4,S/D,218,28,190,3.75,27.4,7.06,89.5,114,25.1,12.5,5.11,S/D,S/D,0.307,0.128,0.134,0.141,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,24,46000,24000,S/D
Rio Amaime,2019,PALMIRA,Rio Amaime,Rio Amaime - antes Desembocadura a Rio Cauca,0677-2019,06/06/2019,12:30,Aguas Superficiales,06/06/2019 al 19/07/2019,0729 - 08/08/2019,S/D,897159.37,1074297.79,29,7.87,20,254,18,S/D,194,35,159,3.33,11.1,6.56,105,89.8,26.8,5.57,5.64,S/D,S/D,1.13,0.0898,0.134,0.209,0.318,0.353,8.6,1.62,S/D,S/D,S/D,S/D,S/D,S/D,19.3,43000,23000,S/D
Rio Amaime,2019,PALMIRA,Rio Amaime,Rio Amaime - antes Desembocadura a Rio Cauca,1033-2019,30/07/2019,03:00,Aguas Superficiales,30/07/2019 al 15/08/2019,1104 - 24/09/2019,S/D,897159.37,1074297.79,30,7.56,22,258,9.4,S/D,138,22,116,1.86,11.1,6.03,37,123,25.6,14.4,4.14,S/D,0.366,0.052,0.0898,0.134,0.088,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,17.7,23000,23000,S/D
Rio Amaime,2020,PALMIRA,Rio Amaime,Rio Amaime - antes Desembocadura a Rio Cauca,0564-2020,14/10/2020,02:45,Aguas Superficiales,14/10/2020 al 11/11/2020,0599 - 25/11/2020,S/D,897159.37,1074297.79,33,S/D,27.5,698,2.6,37.4,450,11.6,438,1.72,11,8.31,320,371,83.8,39.4,14.4,S/D,0.25,0.286,0.011,0.203,0.227,0.154,0.0726,18.6,3.96,S/D,S/D,S/D,S/D,S/D,S/D,36.5,24000,9300,S/D
Rio Amaime,2021,PALMIRA,Rio Amaime,Rio Amaime - antes Desembocadura a Rio Cauca,0486-2021,23/06/2021,02:49,Agua,23/06/2021 al 16/07/2021 Fin de este informe,0525 - 03/08/2021,S/D,897159.37,1074297.79,S/D,S/D,22.2,272,8.2,18,238,53,185,2.91,11,7.05,115,121,25.4,14,6.03,S/D,0.25,0.356,0.016,0.202,0.174,2.61,0.081,7.73,1.23,S/D,S/D,S/D,S/D,S/D,S/D,20.2,24000,24000,S/D
