Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Bolo,2016,PALMIRA,Rio Bolo,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,0498-2016,14/06/2016,02:30,Aguas Superficiales,14/06/2016 al 28/07/2016,0536 - 01/08/2016,S/D,878770.42,1069971.62,32,7.92,27.3,420,9.5,S/D,302,20,282,1.57,31.3,5.94,209,152,30.5,18.5,2.67,S/D,0.85,1.97,0.071,0.253,0.346,0.67,0.526,7.95,1.99,S/D,S/D,S/D,S/D,S/D,S/D,21.3,430,36,S/D
Rio Bolo,2016,PALMIRA,Rio Bolo,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,1275-2016,31/10/2016,01:55,Aguas Superficiales,31/10/2016 al 02/12/2016,1376 - 30/12/2016,S/D,878770.42,1069971.62,28,7,23.5,351,54,S/D,460,230,230,2.6,11.8,5.44,155,174,35.3,20.9,6.63,S/D,1.29,2.64,0.101,0.205,0.35,11.7,0.526,4.83,11.8,S/D,S/D,S/D,S/D,S/D,S/D,18.7,2300,900,S/D
Rio Bolo,2017,PALMIRA,Rio Bolo,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,0407-2017,26/04/2017,01:45,Aguas Superficiales,26/04/2017 al 29/06/2017,0379 - 12/06/2017,S/D,878770.42,1069971.62,28,7.27,18,298,205,S/D,1224,730,494,25.4,175,4.2,127,161,34.1,18.5,6.74,5.52,1.93,4.09,0.075,0.199,0.69,4.14,0.488,4.58,2.05,S/D,S/D,S/D,S/D,S/D,S/D,18.6,4600000,4600000,S/D
Rio Bolo,2017,PALMIRA,Rio Bolo,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,1123-2017,22/08/2017,01:31,Aguas Superficiales,22/08/2017 al 25/09/2017,1125 - 27/09/2017,S/D,878770.42,1069971.62,36,7.91,26,336,40,S/D,290,70,220,3.3,23.1,5.73,159,195,45.3,19.9,5.87,S/D,S/D,0.76,0.122,0.24,0.218,S/D,0.325,S/D,0.325,S/D,S/D,S/D,S/D,S/D,S/D,19.3,9000,9000,S/D
Rio Bolo,2018,PALMIRA,Rio Bolo,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,0402-2018,16/04/2018,08:05,Aguas Superficiales,16/04/2018 al 02/05/2018,0396 - 27/04/2018,S/D,878770.42,1069971.62,25,7.88,21.7,247,60,S/D,512,298,214,2.86,36.3,6.29,134,124,29.5,12.3,4.12,S/D,S/D,0.204,0.0898,0.134,0.191,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,21.7,46000,15000,S/D
Rio Bolo,2019,PALMIRA,Rio Bolo,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,0262-2019,02/04/2019,12:37,Aguas Superficiales,02/04/2019 al 23/05/2019,0291 - 28/05/2019,S/D,878791.43,1069941.56,38,7.5,26.6,213,950,S/D,1444,1360,84,6.43,48.8,5.63,99.5,112,26.3,11.3,2.49,S/D,S/D,1,0.0898,0.134,0.379,2.43,0.715,5.08,2.56,S/D,S/D,S/D,S/D,S/D,S/D,11.5,230000,36000,S/D
Rio Bolo,2019,PALMIRA,Rio Bolo,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,1262-2019,21/08/2019,01:40,Aguas Superficiales,21/08/2019 al 04/10/2019,1314 - 24/10/2019,S/D,878791.43,1069941.56,32,8.16,27.5,503,10,S/D,312,21,291,3.04,11.7,5.2,240,266,54.1,31.8,6.1,S/D,0.366,0.052,0.0898,0.286,0.497,0.481,0.353,7.76,3.59,S/D,S/D,S/D,S/D,S/D,S/D,22.7,430,150,S/D
Rio Bolo,2021,PALMIRA,Rio Bolo,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,0786-2021,09/08/2021,01:20,Aguas Superficiales,09/08/2021 al 04/10/2021 Fin de este Informe,0931 - 08/10/2021,S/D,878791.43,1069941.56,26,8.14,24,453,6.6,19.1,302,23,279,1.68,11,6.66,239,235,55.3,23.6,4.45,S/D,0.25,0.916,0.026,0.202,0.177,0.788,0.0571,12.6,1.56,S/D,S/D,S/D,S/D,S/D,S/D,17.4,4300,4300,S/D
Rio Bolo,2021,PALMIRA,Rio Bolo,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,1393-2021,24/11/2021,01:45,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1622 - 04/02/2022,S/D,878791.43,1069941.56,30,7.93,22,228,1000,905,2174,1990,184,5.24,37.3,6.28,116,99.5,15,15.1,3.23,S/D,0.315,0.893,0.067,0.202,0.0959,112,1.41,4.61,1.87,S/D,S/D,S/D,S/D,S/D,S/D,10.7,240000,21000,S/D
Rio Bolo,2022,PALMIRA,Rio Bolo,Rio Bolo - Antes desembocadura a Frayle en puente Recta Cali - Palmira,0624-2022,12/05/2022,02:34,Aguas Superficiales,12/05/2022 al 06/06/2022 Fin de este informe,0707 - 01/07/2022,S/D,878791.43,1069941.56,30,7.39,22.3,232,290,303,404,359,45,4.78,33.3,5.95,283,135,28.5,15.4,5.02,2.05,0.489,0.725,0.084,0.202,0.0959,23.1,0.299,8.99,0.966,S/D,S/D,S/D,S/D,S/D,S/D,14,93000,9000,S/D
