Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Bolo,2024,PRADERA,Rio Bolo,Rio Bolo - Limnígrafo CVC - Los Minchos,1724-2024,S/D,S/D,Aguas Superficiales,07/10/2024 al 22/11/2024 Fin de este informe,0051 - 27/01/2025,S/D,869931.17,1100411.59,28,8.2,19,198,15,17.6,262,31.3,231,2.82,12.4,7.79,172,94.4,28.7,5.54,3.36,0.463,S/D,0.391,0.0101,0.326,0.1,1.32,0.0613,6.45,1.3,S/D,S/D,S/D,S/D,S/D,S/D,29.4,46000,4300,S/D
Rio Bolo,2016,PRADERA,Rio Bolo,Rio Bolo - limnígrafo CVC - Los Minchos,0495-2016,14/06/2016,11:55,Aguas Superficiales,14/06/2016 al 28/07/2016,0533 - 01/08/2016,S/D,869870.58,1100803.59,26,8.26,20.5,167,4,S/D,106,14.8,91.2,1.16,27.9,7.74,58,88,17.6,10.7,0.41,S/D,0.72,0.115,0.00748,0.0248,0.124,0.67,0.526,2.89,0.835,S/D,S/D,S/D,S/D,S/D,S/D,16.2,930.0000000000001,90,S/D
Rio Bolo,2016,PRADERA,Rio Bolo,Rio Bolo - limnígrafo CVC - Los Minchos,1272-2016,31/10/2016,11:50,Aguas Superficiales,31/10/2016 al 02/12/2016,1373 - 30/12/2016,S/D,869870.58,1100803.59,26,7.02,18.1,197,1.5,S/D,92,11.6,80.4,1.18,10.8,7.44,75.1,114,23.6,13.4,3.79,S/D,1.52,0.28,0.00748,0.0248,0.0509,0.67,0.526,2.52,4.98,S/D,S/D,S/D,S/D,S/D,S/D,23.1,2400,230,S/D
Rio Bolo,2017,PRADERA,Rio Bolo,Rio Bolo - limnígrafo CVC - Los Minchos,0404-2017,26/04/2017,11:11,Aguas Superficiales,26/04/2017 al 27/06/2017,0376 - 12/06/2017,S/D,869870.58,1100803.59,21,8.12,12,157,12.7,S/D,158,40,118,1.57,16.4,7.17,69.2,99.5,19.2,12.5,4.35,2.15,1.71,1.31,0.00973,0.0562,0.0509,0.67,0.353,2.69,0.528,S/D,S/D,S/D,S/D,S/D,S/D,15,360,360,S/D
Rio Bolo,2017,PRADERA,Rio Bolo,Rio Bolo - limnígrafo CVC - Los Minchos,1120-2017,22/08/2017,11:38,Aguas Superficiales,22/08/2017 al 20/09/2017,1122 - 27/09/2017,S/D,869870.58,1100803.59,30,7.88,18,140,1.65,S/D,220,11.6,208,1.57,19.1,7.63,73,106,25.7,10.2,4.2,S/D,S/D,0.204,0.122,0.24,0.0662,S/D,0.109,S/D,0.942,S/D,S/D,S/D,S/D,S/D,S/D,14.9,750,390,S/D
Rio Bolo,2018,PRADERA,Rio Bolo,Rio Bolo - limnígrafo CVC - Los Minchos,0399-2018,16/04/2018,11:25,Aguas Superficiales,16/04/2018 al 02/05/2018,0393 - 27/04/2018,S/D,869870.58,1100803.59,26,8.12,20,148,5,S/D,146,31,115,1.28,14.6,7.78,70.2,77.6,23.3,4.72,3.5,S/D,S/D,0.204,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,19.3,430,73,S/D
Rio Bolo,2019,PRADERA,Rio Bolo,Rio Bolo - Limnígrafo CVC - Los Minchos,0259-2019,02/04/2019,10:46,Aguas Superficiales,02/04/2019 al 22/05/2019,0288 - 28/05/2019,S/D,869931.17,1100411.59,25,7.7,22.4,170,50,S/D,198,53,145,1.46,11.1,7.66,67.6,74.3,23.2,3.99,1.59,S/D,S/D,0.626,0.0898,0.134,0.0662,0.838,0.353,2.64,0.906,S/D,S/D,S/D,S/D,S/D,S/D,19.7,2300,2300,S/D
Rio Bolo,2019,PRADERA,Rio Bolo,Rio Bolo - Limnígrafo CVC - Los Minchos,1259-2019,21/08/2019,10:55,Aguas Superficiales,21/08/2019 al 04/10/2019,1311 - 24/10/2019,S/D,869931.17,1100411.59,28,8.15,19.5,194,2,S/D,110,11.6,98.4,2.11,11.1,7.25,74.1,128,23.6,16.8,2.75,S/D,0.366,0.052,0.0898,0.134,0.0662,0.667,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,17.8,90,40,S/D
Rio Bolo,2021,PRADERA,Rio Bolo,Rio Bolo - Limnígrafo CVC - Los Minchos,0783-2021,09/08/2021,10:58,Aguas Superficiales,09/08/2021 al 04/10/2021 Fin de este Informe,0928 - 08/10/2021,S/D,869931.17,1100411.59,24,8.03,18.3,200,1.4,19.1,132,11.6,120,1.8,11,8.08,79.1,94.3,26.4,6.93,2.59,S/D,0.25,0.201,0.0101,0.202,0.0959,0.139,0.0571,3.5,0.911,S/D,S/D,S/D,S/D,S/D,S/D,20,400,140,S/D
Rio Bolo,2021,PRADERA,Rio Bolo,Rio Bolo - Limnígrafo CVC - Los Minchos,1390-2021,24/11/2021,10:55,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1619 - 04/02/2022,S/D,869931.17,1100411.59,24,8.09,18,153,9,32.8,162,35,127,1.01,11,8.08,61.9,64.8,19.9,3.67,2.2,S/D,0.25,0.214,0.0101,0.202,0.0959,1.12,0.0571,3.14,0.968,S/D,S/D,S/D,S/D,S/D,S/D,14.2,2400,430,S/D
