Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Bolo,2016,CANDELARIA-VALLE,Rio Bolo,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,0497-2016,14/06/2016,01:40,Aguas Superficiales,14/06/2016 al 28/07/2016,0535 - 01/08/2016,S/D,874304.53,1082397.22,30,7.91,25.8,413,8,S/D,272,13.8,258,2.18,29.4,6.04,203,136,28.9,15.6,2.25,S/D,1.06,1.75,0.0387,0.13,0.265,0.67,0.526,6.55,1.05,S/D,S/D,S/D,S/D,S/D,S/D,17.2,750,230,S/D
Rio Bolo,2016,CANDELARIA-VALLE,Rio Bolo,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,1274-2016,31/10/2016,12:55,Aguas Superficiales,31/10/2016 al 02/12/2016,1375 - 30/12/2016,S/D,874304.53,1082397.22,31,7.15,23.6,335,36,S/D,256,90,166,0.954,13.9,6.51,151,197,39.3,24.1,5.77,S/D,1.3,1.29,0.00748,0.189,0.233,4.64,0.526,2.82,11.5,S/D,S/D,S/D,S/D,S/D,S/D,16.7,2300,360,S/D
Rio Bolo,2017,CANDELARIA-VALLE,Rio Bolo,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,0406-2017,26/04/2017,12:00,Aguas Superficiales,26/04/2017 al 29/06/2017,0378 - 12/06/2017,S/D,874304.53,1082397.22,26,7.51,16,218,498,S/D,826,700,126,30.1,199,5.35,81.5,104,20.8,12.5,5.59,6.6,1.61,6.77,0.066,0.208,0.246,13.3,1.08,1.76,2.23,S/D,S/D,S/D,S/D,S/D,S/D,14.4,4600000,4600000,S/D
Rio Bolo,2017,CANDELARIA-VALLE,Rio Bolo,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,1122-2017,22/08/2017,12:25,Aguas Superficiales,22/08/2017 al 25/09/2017,1124 - 27/09/2017,S/D,874304.53,1082397.22,32,7.87,20,277,14,S/D,356,36,320,2.92,28.2,6.57,145,165,37.7,17.3,5.53,S/D,S/D,0.76,0.122,0.24,0.1,S/D,0.111,S/D,0.983,S/D,S/D,S/D,S/D,S/D,S/D,15.2,24000,24000,S/D
Rio Bolo,2018,CANDELARIA-VALLE,Rio Bolo,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,0401-2018,16/04/2018,09:05,Aguas Superficiales,16/04/2018 al 02/05/2018,0395 - 27/04/2018,S/D,874304.53,1082397.22,28,7.97,21.6,230,26,S/D,334,156,178,2.19,29.2,7.09,119,115,27.6,11.3,3.67,S/D,S/D,0.204,0.0898,0.134,0.087,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,20.2,110000,24000,S/D
Rio Bolo,2019,CANDELARIA-VALLE,Rio Bolo,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,0261-2019,02/04/2019,11:41,Aguas Superficiales,02/04/2019 al 22/05/2019,0290 - 28/05/2019,S/D,874302.16,1082374.92,35,7.42,24.8,220,450,S/D,736,600,136,3.84,25,6.44,99.5,108,24,11.7,2.29,S/D,S/D,0.883,0.0898,0.134,0.379,1.74,0.353,3.97,2.4,S/D,S/D,S/D,S/D,S/D,S/D,10.3,90000,36000,S/D
Rio Bolo,2019,CANDELARIA-VALLE,Rio Bolo,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,1261-2019,21/08/2019,12:05,Aguas Superficiales,21/08/2019 al 04/10/2019,1313 - 24/10/2019,S/D,874302.16,1082374.92,31,8.32,24.4,418,6.5,S/D,276,11.6,264,1.67,11.1,6.32,204,198,44.9,20.9,3.43,S/D,0.366,0.517,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,17.5,2400,230,S/D
Rio Bolo,2021,CANDELARIA-VALLE,Rio Bolo,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,0785-2021,09/08/2021,11:59,Aguas Superficiales,09/08/2021 al 04/10/2021 Fin de este Informe,0930 - 08/10/2021,S/D,874302.16,1082374.92,25,8.12,22.4,409,5.2,21.1,286,11.6,274,1.75,11,6.74,224,119,39.6,4.94,4.12,S/D,0.25,0.99,0.02,0.202,0.0959,0.481,0.0671,8.57,1.21,S/D,S/D,S/D,S/D,S/D,S/D,15.8,9300,4300,S/D
Rio Bolo,2021,CANDELARIA-VALLE,Rio Bolo,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,1392-2021,24/11/2021,12:23,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1621 - 04/02/2022,S/D,874302.16,1082374.92,29,7.92,22,206,330,739,1778,1700,78,3.89,44.4,6.61,96.1,92.4,20.7,9.89,2.92,S/D,0.25,0.737,0.042,0.202,0.0959,48.8,0.579,4.24,1.71,S/D,S/D,S/D,S/D,S/D,S/D,8.67,46000,24000,S/D
Rio Bolo,2022,CANDELARIA-VALLE,Rio Bolo,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,0623-2022,12/05/2022,11:54,Aguas Superficiales,12/05/2022 al 06/06/2022 Fin de este informe,0706 - 01/07/2022,S/D,874302.16,1082374.92,27,7.37,22,240,100,113,266,138,128,3.32,32.6,6.81,281,127,28.7,13.5,8.14,1.28,0.344,0.487,0.029,0.202,0.0959,6.91,0.154,7.29,1.05,S/D,S/D,S/D,S/D,S/D,S/D,12.6,2400000,430000,S/D
