Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Bolo,2016,PRADERA,Rio Bolo,Rio Bolo - Puente Pradera - Palmira,0496-2016,14/06/2016,12:30,Aguas Superficiales,14/06/2016 al 28/07/2016,0534 - 01/08/2016,S/D,871205.72,1092450.78,28,7.84,26.2,211,3,S/D,164,11.6,152,4.93,30.4,5.21,85.5,156,33.7,17.5,1.99,S/D,0.9,0.372,0.0783,0.039,0.186,0.67,0.526,4.45,1.03,S/D,S/D,S/D,S/D,S/D,S/D,20.4,2400,2400,S/D
Rio Bolo,2016,PRADERA,Rio Bolo,Rio Bolo - Puente Pradera - Palmira,1273-2016,31/10/2016,12:20,Aguas Superficiales,31/10/2016 al 02/12/2016,1374 - 30/12/2016,S/D,871205.72,1092450.78,28,6.94,23.6,263,2.7,S/D,132,11.6,120,4.28,10.5,5.39,98.3,205,41.3,24.8,5.77,S/D,1.41,0.57,0.112,0.076,0.13,0.67,0.526,3.29,9.21,S/D,S/D,S/D,S/D,S/D,S/D,24.5,24000,1500,S/D
Rio Bolo,2017,PRADERA,Rio Bolo,Rio Bolo - Puente Pradera - Palmira,0405-2017,26/04/2017,11:35,Aguas Superficiales,26/04/2017 al 29/06/2017,0377 - 12/06/2017,S/D,871205.72,1092450.78,26,7.9,16,213,58,S/D,278,126,152,2.36,18.4,7.31,79.6,114,24,13.1,4.43,2.45,1.85,1.39,0.014,0.0562,0.113,1.68,0.353,2.39,0.678,S/D,S/D,S/D,S/D,S/D,S/D,18.8,24000,24000,S/D
Rio Bolo,2017,PRADERA,Rio Bolo,Rio Bolo - Puente Pradera - Palmira,1121-2017,22/08/2017,11:55,Aguas Superficiales,22/08/2017 al 25/09/2017,1123 - 27/09/2017,S/D,871205.72,1092450.78,30,8.03,20,169,2,S/D,138,11.6,126,1.77,25.1,7.27,77.8,123,31.3,10.9,4.79,S/D,S/D,0.34,0.122,0.24,0.0662,S/D,0.109,S/D,1.01,S/D,S/D,S/D,S/D,S/D,S/D,17.2,11000,11000,S/D
Rio Bolo,2018,PRADERA,Rio Bolo,Rio Bolo - Puente Pradera - Palmira,0400-2018,16/04/2018,11:25,Aguas Superficiales,16/04/2018 al 02/05/2018,0394 - 27/04/2018,S/D,871205.72,1092450.78,30,8.15,22,154,11,S/D,198,75,123,1.8,25.1,7.34,76.7,77.6,23.3,4.72,3.09,S/D,S/D,0.204,0.0898,0.134,0.091,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,18,110000,46000,S/D
Rio Bolo,2019,PRADERA,Rio Bolo,Rio Bolo - Puente Pradera - Palmira,0260-2019,02/04/2019,11:05,Aguas Superficiales,02/04/2019 al 22/05/2019,0289 - 28/05/2019,S/D,871212.07,1092441.42,24,7.38,24.2,200,65,S/D,266,123,143,3.58,16.6,7.25,80.9,90.7,24.8,7.04,2.13,S/D,S/D,0.102,0.0898,0.134,0.096,1.21,0.353,4.26,1.92,S/D,S/D,S/D,S/D,S/D,S/D,22.3,930000.0000000001,930000.0000000001,S/D
Rio Bolo,2019,PRADERA,Rio Bolo,Rio Bolo - Puente Pradera - Palmira,1260-2019,21/08/2019,11:35,Aguas Superficiales,21/08/2019 al 04/10/2019,1312 - 24/10/2019,S/D,871212.07,1092441.42,29,7.8,23,233,1.5,S/D,118,11.6,106,2.27,11.1,6.41,91.5,161,33.3,18.9,2.19,S/D,0.366,0.142,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,22.2,2400,210,S/D
Rio Bolo,2021,PRADERA,Rio Bolo,Rio Bolo - Puente Pradera - Palmira,0784-2021,09/08/2021,11:22,Aguas Superficiales,09/08/2021 al 04/10/2021 Fin de este Informe,0929 - 08/10/2021,S/D,871212.07,1092441.42,25,7.88,20.5,238,3.1,17.9,174,11.6,162,6.2,11,6.67,103,250,31.9,41.5,3.93,S/D,0.531,0.295,0.057,0.202,0.142,0.247,0.0571,5.47,1.36,S/D,S/D,S/D,S/D,S/D,S/D,20.9,2400000,430000,S/D
Rio Bolo,2021,PRADERA,Rio Bolo,Rio Bolo - Puente Pradera - Palmira,1391-2021,24/11/2021,11:20,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1620 - 04/02/2022,S/D,871212.07,1092441.42,27,8.46,20,175,18,52.2,190,59,131,2.08,11,7.78,70.6,78.3,24.5,4.18,2.2,S/D,0.25,0.226,0.0101,0.202,0.125,2.71,0.0571,3.52,1.1,S/D,S/D,S/D,S/D,S/D,S/D,14.3,46000,46000,S/D
Rio Bolo,2022,PRADERA,Rio Bolo,Rio Bolo - Puente Pradera - Palmira,0622-2022,12/05/2022,11:10,Aguas Superficiales,12/05/2022 al 06/06/2022 Fin de este informe,0705 - 01/07/2022,S/D,871212.07,1092441.42,27,7.44,20.6,165,45,19.2,180,17,163,2.09,19.8,7.54,263,72.3,23.3,3.45,5.49,0.5,0.25,0.236,0.01007,0.202,0.0959,3.78,0.0927,3.56,0.8,S/D,S/D,S/D,S/D,S/D,S/D,7.99,430000,90000,S/D
