Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Bugalagrande,2016,ANDALUCIA,Rio Bugalagrande,Rio Bugalagrande - Conciviles - Andalucía,0453-2016,08/06/2016,11:05,Aguas Superficiales,08/06/2016 al 24/06/2016,0481 - 19/07/2016,S/D,953488.93,1103607.91,28,8.59,26.7,145,32,S/D,178,41.5,137,1.58,16.7,7.34,78.1,64,11.2,8.75,2.56,S/D,0.86,1.28,0.00748,0.025,0.245,0.76,0.526,1.96,0.775,S/D,S/D,S/D,S/D,S/D,S/D,12.6,930.0000000000001,210,S/D
Rio Bugalagrande,2016,ANDALUCIA,Rio Bugalagrande,Rio Bugalagrande - Conciviles - Andalucía,1158-2016,20/10/2016,11:27,Aguas Superficiales,20/10/2016 al 02/11/2016,1203 - 18/11/2016,S/D,953488.93,1103607.91,33,8.23,26.3,150,5.1,S/D,192,19.5,173,1.58,9.07,8.15,64.9,77,15.2,9.48,5.83,S/D,1.61,0.2,0.00748,0.0248,0.09,0.67,0.526,3.44,4.6,S/D,S/D,S/D,S/D,S/D,S/D,7.67,230,90,S/D
Rio Bugalagrande,2017,ANDALUCIA,Rio Bugalagrande,Rio Bugalagrande - Conciviles - Andalucía,0381-2017,25/04/2017,11:20,Aguas Superficiales,25/04/2017 al 16/06/2017,0353 - 12/06/2017,S/D,953488.93,1103607.91,24,7.85,18,154,140,S/D,312,196,116,0.98,35.3,7.25,78,61,12,7.54,5.46,2.64,1.61,2.18,0.014,0.0562,0.12,2.1,0.353,2.57,0.436,S/D,S/D,S/D,S/D,S/D,S/D,10.2,1500,900,S/D
Rio Bugalagrande,2017,ANDALUCIA,Rio Bugalagrande,Rio Bugalagrande - Conciviles - Andalucía,1030-2017,10/08/2017,12:15,Aguas Superficiales,10/08/2017 al 31/08/2017,1029 - 25/09/2017,S/D,953488.93,1103607.91,32,8.43,28.9,158,3.25,S/D,254,14,240,1.81,43.6,7.26,*,287,51.7,38.4,1.72,S/D,S/D,0.204,0.122,0.24,0.0662,0.386,0.353,S/D,0.2,S/D,S/D,S/D,S/D,S/D,S/D,2.77,2400,90,S/D
Rio Bugalagrande,2018,ANDALUCIA,Rio Bugalagrande,Rio Bugalagrande - Conciviles - Andalucía,0147-2018,28/02/2018,09:50,Aguas Superficiales,28/02/2018 al 14/03/2018,0156 - 24/04/2018,S/D,953488.93,1103607.91,27,7.79,20,138,51.3,S/D,154,86,68,1.31,75,7.53,65.2,79,16.4,9.24,4.8,S/D,S/D,0.9,0.0919,0.0933,0.0662,S/D,0.269,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,17.1,2300,360,S/D
Rio Bugalagrande,2018,ANDALUCIA,Rio Bugalagrande,Rio Bugalagrande - Conciviles - Andalucía,0989-2018,25/07/2018,10:48,Aguas Superficiales,25/07/2018 al 03/08/2018,0966 - 03/09/2018,S/D,953488.93,1103607.91,24,8.22,20.3,146,20.4,S/D,148,30,118,1.4,43.7,7.74,74.4,52.4,16.1,2.95,1.24,S/D,S/D,0.14,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.08,4300,1500,S/D
Rio Bugalagrande,2019,ANDALUCIA,Rio Bugalagrande,Rio Bugalagrande - Conciviles - Andalucía,0645-2019,29/05/2019,09:55,Aguas Superficiales,29/05/2019 al 19/07/2019,0712 - 08/08/2019,S/D,953487.93,1103517.91,22,7.73,14,118,400,S/D,372,267,105,2.29,11.1,7.6,60,52.5,12.6,5.11,1.98,S/D,S/D,0.368,0.0898,0.134,0.207,3.87,0.353,3.49,0.953,S/D,S/D,S/D,S/D,S/D,S/D,4.31,2300,2300,S/D
Rio Bugalagrande,2019,ANDALUCIA,Rio Bugalagrande,Rio Bugalagrande - Conciviles - Andalucía,1138-2019,12/08/2019,10:48,Aguas Superficiales,12/08/2019 al 25/09/2019,1187 - 26/09/2019,S/D,953487.93,1103517.91,24,S/D,18,155,13,S/D,158,19,139,1.59,11.1,6.37,76.8,82.2,16.7,9.87,3.3,S/D,0.366,0.115,0.00973,0.0562,0.0662,0.35,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,8.44,4300,4300,S/D
Rio Bugalagrande,2021,ANDALUCIA,Rio Bugalagrande,Rio Bugalagrande - Conciviles - Andalucía,0606-2021,14/07/2021,09:55,Aguas Superficiales,14/07/2021 al 20/08/2021 Fin de este informe,0766 - 03/09/2021,S/D,953487.93,1103517.91,25,7.83,20,134,55,67.8,164,57,107,1.05,12.1,7.5,63.3,62,20.3,2.75,2.19,S/D,0.25,0.201,1.04,0.202,0.0935,3.22,0.0791,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,6.36,2000,2000,S/D
Rio Bugalagrande,2021,ANDALUCIA,Rio Bugalagrande,Rio Bugalagrande - Conciviles - Andalucía,0844-2021,17/08/2021,10:35,Aguas Superficiales,17/08/2021 al 04/10/2021 Fin de este informe,0986 - 25/10/2021,S/D,953487.93,1103517.91,20,S/D,21.3,142,180,79,438,276,162,1.67,11,7.4,63.2,68.6,16,6.98,2.3,S/D,0.25,0.249,0.041,0.202,0.0959,9.57,0.204,3.11,0.8,S/D,S/D,S/D,S/D,S/D,S/D,5.86,24000,24000,S/D
