Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Bugalagrande,2016,TULUA,Rio Bugalagrande,Rio Bugalagrande - puente Colgante El Placer,0452-2016,08/06/2016,10:20,Aguas Superficiales,08/06/2016 al 24/06/2016,0481 - 19/07/2016,S/D,944582.5,1110938.9,26,8.57,23.3,130,20,S/D,174,11.6,162,1.3,44.3,7.74,76.5,72,14.4,8.75,1.12,S/D,0.79,0.298,0.00748,0.026,0.101,0.67,0.526,1.86,1.05,S/D,S/D,S/D,S/D,S/D,S/D,10.1,2400,430,S/D
Rio Bugalagrande,2016,TULUA,Rio Bugalagrande,Rio Bugalagrande - puente Colgante El Placer,1157-2016,20/10/2016,10:20,Aguas Superficiales,20/10/2016 al 02/11/2016,1202 - 18/11/2016,S/D,944582.5,1110938.9,30,8.31,25,145,1.85,S/D,128,11.6,116,1.24,9.07,7.69,62.9,77,16,9,5.65,S/D,1.64,0.27,0.00748,0.0248,0.0509,0.67,0.526,3.49,2.69,S/D,S/D,S/D,S/D,S/D,S/D,7,230,230,S/D
Rio Bugalagrande,2017,TULUA,Rio Bugalagrande,Rio Bugalagrande - puente Colgante El Placer,0380-2017,25/04/2017,10:30,Aguas Superficiales,25/04/2017 al 16/06/2017,0352 - 12/06/2017,S/D,944582.5,1110938.9,22,7.91,14,136,39,S/D,130,44,86,0.954,12.5,6.94,74,63,12.8,7.54,3.69,2.41,1.5,1.93,0.00973,0.0562,0.0509,1.53,0.353,2.28,1.46,S/D,S/D,S/D,S/D,S/D,S/D,9,2900,2900,S/D
Rio Bugalagrande,2017,TULUA,Rio Bugalagrande,Rio Bugalagrande - puente Colgante El Placer,1029-2017,10/08/2017,11:25,Aguas Superficiales,10/08/2017 al 31/08/2017,1028 - 25/09/2017,S/D,944582.5,1110938.9,30,8.2,23.2,152,2.31,S/D,228,38,190,1.21,29.5,7.61,77.2,97.5,23.6,9.36,6.3,S/D,S/D,0.311,0.122,0.24,0.0662,0.814,0.353,S/D,0.2,S/D,S/D,S/D,S/D,S/D,S/D,8.6,430,90,S/D
Rio Bugalagrande,2018,TULUA,Rio Bugalagrande,Rio Bugalagrande - puente Colgante El Placer,0146-2018,28/02/2018,09:50,Aguas Superficiales,28/02/2018 al 14/03/2018,0155 - 24/04/2018,S/D,944582.5,1110938.9,25,8.18,20,139,34,S/D,120,48,72,1.78,62,8.05,62.7,57,15.2,4.62,6.36,S/D,S/D,1.63,0.165,0.0933,0.312,S/D,0.269,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,25.2,930.0000000000001,90,S/D
Rio Bugalagrande,2018,TULUA,Rio Bugalagrande,Rio Bugalagrande - puente Colgante El Placer,0988-2018,25/07/2018,09:56,Aguas Superficiales,25/07/2018 al 03/08/2018,0965 - 03/09/2018,S/D,944582.5,1110938.9,20,8.17,18.5,134,11,S/D,136,21,115,1.36,48.3,7.42,79.7,54.2,14.6,4.32,2.72,S/D,S/D,0.34,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.98,9300,2100,S/D
Rio Bugalagrande,2019,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente Colgante El Placer,0644-2019,29/05/2019,09:03,Aguas Superficiales,29/05/2019 al 19/07/2019,0711 - 08/08/2019,S/D,944582.5,1110938.9,20,7.49,12,111,55,S/D,262,182,80,2.56,11.1,6.98,57.9,51.6,10.7,6.04,1.58,S/D,S/D,0.337,0.0898,0.134,0.114,1.76,0.353,2.9,0.763,S/D,S/D,S/D,S/D,S/D,S/D,3.73,2300,2300,S/D
Rio Bugalagrande,2019,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente Colgante El Placer,1137-2019,12/08/2019,10:00,Aguas Superficiales,12/08/2019 al 25/09/2019,1186 - 26/09/2019,S/D,944582.5,1110938.9,20,8.24,14,137,21,S/D,156,20,136,1.51,11.1,6.86,67.7,63.9,14.6,6.66,3.09,S/D,0.366,0.115,0.00973,0.0562,0.0662,0.602,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,6.34,2300,400,S/D
Rio Bugalagrande,2021,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente Colgante El Placer,0605-2021,14/07/2021,09:17,Aguas Superficiales,14/07/2021 al 20/08/2021 Fin de este informe,0765 - 03/09/2021,S/D,944582.5,1110938.9,24,7.23,19,122,65,54,180,85,95,1.21,15.6,8.27,58,55.5,18.4,2.33,2,S/D,0.25,0.201,1.03,0.202,0.0935,4.17,0.0995,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,5.32,24000,2100,S/D
Rio Bugalagrande,2021,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente Colgante El Placer,0843-2021,17/08/2021,09:50,Aguas Superficiales,17/08/2021 al 04/10/2021 Fin de este informe,0985 - 25/10/2021,S/D,944582.5,1110938.9,22,S/D,19.7,143,85,36.9,362,258,104,1.54,11,6.82,62.6,68,14.9,7.51,2.36,S/D,0.25,0.274,0.034,0.202,0.0959,10.6,0.162,4.33,0.8,S/D,S/D,S/D,S/D,S/D,S/D,5.68,20000,9300,S/D
