Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Bugalagrande,2016,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,0454-2016,08/06/2016,11:30,Aguas Superficiales,08/06/2016 al 27/06/2016,0483 - 19/07/2016,S/D,955370.95,1102606.3,29,8.65,26.9,142,38,S/D,206,64.2,142,1.87,51,7.73,80.3,66,12.8,8.27,3.8,S/D,0.78,0.24,0.00812,0.0248,0.0509,1.43,0.526,3.17,1.07,S/D,S/D,S/D,S/D,S/D,S/D,14.1,150,36,S/D
Rio Bugalagrande,2016,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,1159-2016,20/10/2016,11:57,Aguas Superficiales,20/10/2016 al 02/11/2016,1204 - 18/11/2016,S/D,955370.95,1102606.3,34,8.83,29.1,148,6.6,S/D,160,30.7,129,1.7,9.07,7.84,65.2,78,16,9.24,5.65,S/D,1.59,0.19,0.00748,0.0248,0.06,0.67,0.526,3.68,4.91,S/D,S/D,S/D,S/D,S/D,S/D,7.4,90,36,S/D
Rio Bugalagrande,2017,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,0382-2017,25/04/2017,11:35,Aguas Superficiales,25/04/2017 al 16/06/2017,0354 - 12/06/2017,S/D,955370.95,1102606.3,24,7.85,20,150,80,S/D,158,60,98,0.97,25,7.12,73.4,68,13.2,8.51,4.54,2.21,1.5,0.99,0.012,0.0562,0.0509,1.08,0.353,1.63,0.882,S/D,S/D,S/D,S/D,S/D,S/D,11.1,730,360,S/D
Rio Bugalagrande,2017,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,1031-2017,10/08/2017,12:50,Aguas Superficiales,10/08/2017 al 31/08/2017,1030 - 25/09/2017,S/D,955370.95,1102606.3,34,8.42,30.2,159,3.5,S/D,216,46,170,1.67,65.4,7.3,*,97.5,21.6,10.6,6.09,S/D,S/D,0.204,0.122,0.24,0.0662,0.453,0.353,S/D,0.2,S/D,S/D,S/D,S/D,S/D,S/D,9.63,1660,680,S/D
Rio Bugalagrande,2018,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,0148-2018,28/02/2018,10:50,Aguas Superficiales,28/02/2018 al 14/03/2018,0157 - 24/04/2018,S/D,955370.95,1102606.3,29,7.73,22,141,59,S/D,71,68,3,1.57,93.1,7.54,64.4,76,12.4,10.9,3.07,S/D,S/D,0.44,0.0898,0.0933,0.072,S/D,0.269,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,11.5,4300,300,S/D
Rio Bugalagrande,2018,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,0990-2018,25/07/2018,11:04,Aguas Superficiales,25/07/2018 al 03/08/2018,0967 - 03/09/2018,S/D,955370.95,1102606.3,25,S/D,21.8,153,8.4,S/D,152,35,117,0.91,28.8,7.66,58.9,59.8,15,5.46,3.09,S/D,S/D,0.331,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8.06,4300,2300,S/D
Rio Bugalagrande,2019,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,0646-2019,29/05/2019,10:07,Aguas Superficiales,29/05/2019 al 19/07/2019,0713 - 08/08/2019,S/D,955666.95,1102229.3,22,7.72,14,118,360,S/D,340,267,73,2.55,11.1,7.35,59.3,56.4,12.2,6.27,1.59,S/D,S/D,0.328,0.0898,0.134,0.163,2.04,0.353,3.12,0.955,S/D,S/D,S/D,S/D,S/D,S/D,4.45,2300,2300,S/D
Rio Bugalagrande,2019,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,1139-2019,12/08/2019,11:03,Aguas Superficiales,12/08/2019 al 25/09/2019,1188 - 26/09/2019,S/D,955666.95,1102229.3,24,S/D,18,159,14,S/D,148,24.5,124,1.86,14.8,6.52,77.5,84.2,16.3,10.6,3.63,S/D,0.366,0.115,0.00973,0.0562,0.0662,0.451,0.353,4.99,1.27,S/D,S/D,S/D,S/D,S/D,S/D,8.81,4300,4300,S/D
Rio Bugalagrande,2021,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,0607-2021,14/07/2021,10:20,Aguas Superficiales,14/07/2021 al 20/08/2021 Fin de este informe,0767 - 03/09/2021,S/D,955666.95,1102229.3,25,8.09,21,137,70,39,200,92,108,0.952,15,8,63.3,66.2,10.3,9.82,2.2,S/D,0.25,0.201,1.05,0.202,0.0935,3.87,0.0883,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,6.84,800,400,S/D
Rio Bugalagrande,2021,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,0845-2021,17/08/2021,10:50,Aguas Superficiales,17/08/2021 al 04/10/2021 Fin de este informe,0987 - 25/10/2021,S/D,955666.95,1102229.3,23,S/D,20.9,143,150,43,388,258,130,1.92,11,7.45,63,72.7,14.7,8.78,2.23,S/D,0.25,0.263,0.039,0.202,0.124,9.51,0.184,3.3,0.8,S/D,S/D,S/D,S/D,S/D,S/D,6.01,9300,4300,S/D
Rio Bugalagrande,2022,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,0584-2022,10/05/2022,11:00,Aguas Superficiales,10/05/2022 al 31/05/2022 Fin de este informe,0667 - 30/06/2022,S/D,955666.95,1102229.3,22,8,19,151,S/D,1828,794,720,74,1.41,36.1,7.47,67.1,63.2,15.8,5.76,2.44,0.589,0.578,0.202,0.01007,0.202,0.0959,35.4,0.449,2,1.84,S/D,S/D,S/D,S/D,S/D,S/D,7.83,9300,4300,S/D
Rio Bugalagrande,2022,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,1430-2022,15/09/2022,11:20,Aguas Superficiales,15/09/2022 al 24/10/2022 Fin de este informe,1862 - 03/11/2022,S/D,955666.95,1102229.3,30,7.83,25,154,65,65.5,176,72,104,0.859,11,7.32,106,88.1,15.1,12.3,2.78,0.5,0.25,0.288,0.0101,0.202,0.0959,2.81,0.096,4.64,1.13,S/D,S/D,S/D,S/D,S/D,S/D,8.53,500000,4000,S/D
Rio Bugalagrande,2023,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,0432-2023,02/05/2023,10:55,Aguas Superficiales,02/05/2023 al 20/06/2023 Fin de este informe,0723 - 13/09/2023,S/D,955666.95,1102229.3,26,8.09,22.1,146,340,39,418,300,118,1.09,11,7.44,73.1,126,14.2,22,2.2,5.92,0.25,0.262,0.0101,0.202,0.212,16.5,0.2,4.71,0.8,S/D,S/D,S/D,S/D,S/D,S/D,10,9300,900,S/D
Rio Bugalagrande,2023,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,1717-2023,26/10/2023,11:11,Aguas Superficiales,26/10/2023 al 23/01/2024 Fin de este informe,0091 - 29/01/2024,S/D,955666.95,1102229.3,25,S/D,23.2,157,25,22.3,304,49,255,0.924,23.9,7.46,103,90.6,21.1,9.21,3.1,S/D,0.25,0.201,0.0101,0.202,0.0946,2.52,0.067,5.28,1.14,S/D,S/D,S/D,S/D,S/D,S/D,11.5,9300,9300,S/D
Rio Bugalagrande,2024,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,0614-2024,28/05/2024,01:00,Aguas Superficiales,28/05/2024 al 20/06/2024 Fin de este informe,0795 - 18/07/2024,S/D,955666.95,1102229.3,27,8.25,27.1,138,15,18.4,*,*,*,1.58,12.4,7.53,74.2,66.1,14.5,7.24,2.5,S/D,S/D,0.226,0.0101,0.326,0.0946,0.805,0.0587,4.01,1.05,S/D,S/D,S/D,S/D,S/D,S/D,9.93,930.0000000000001,430,S/D
Rio Bugalagrande,2024,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,1425-2024,27/08/2024,11:40,Aguas Superficiales,27/08/2024 al 11/09/2024 Fin de este informe,1560 - 09/10/2024,S/D,955666.95,1102229.3,27,9.47,26,167,18,18.7,123,22,101,1.66,12.4,9.17,86.5,81.2,18.5,8.51,2.68,0.463,S/D,0.226,0.016,0.326,0.0946,0.97,0.0587,4.56,0.812,S/D,S/D,S/D,S/D,S/D,S/D,10.8,1500,1500,S/D
Rio Bugalagrande,2025,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,0070-2025,12/03/2025,10:35,Aguas Superficiales,12/03/2025 al 27/03/2025 Fin de este informe,0263 - 06/05/2025,S/D,955666.95,1102229.3,25,S/D,20,108,S/D,55.9,110,11.7,101,2.53,28.8,7.59,64.5,66.2,12.3,8.63,2.5,0.981,S/D,0.365,0.0101,0.326,0.0946,13.3,0.228,3.62,1.45,S/D,S/D,S/D,S/D,S/D,S/D,7.84,2100,919.9999999999999,S/D
Rio Bugalagrande,2025,S/D,Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,1120-2025,04/09/2025,10:50,Simple - Protocolo IDEAM,04/09/2025 al 14/10/2025,1237 - 05/11/2025,940,955666.95,1102229.3,28,8.11,24,134,6.8,14,105,11.7,90.3,1.24,12.4,6.21,88.4,71.3,18,6.39,2.5,0.463,S/D,0.226,0.0101,0.96,0.0946,0.351,0.0587,38.8,9.37,S/D,S/D,S/D,S/D,S/D,S/D,31.5,46000,2400,S/D
