Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Bugalagrande,2016,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,0451-2016,08/06/2016,09:50,Aguas Superficiales,08/06/2016 al 24/06/2016,0480 - 19/07/2016,S/D,944357.99,1115588.24,22,8.49,20.2,136,12,S/D,120,13.6,106,1.6,11.8,7.83,71.1,68,12.8,8.75,6.31,S/D,0.89,0.275,0.00748,0.248,0.055,0.67,0.526,1.86,0.912,S/D,S/D,S/D,S/D,S/D,S/D,9.58,4600,230,S/D
Rio Bugalagrande,2016,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,1156-2016,20/10/2016,09:50,Aguas Superficiales,20/10/2016 al 02/11/2016,1201 - 18/11/2016,S/D,944357.99,1115588.24,27,8.24,22,143,2,S/D,150,11.6,138,0.954,9.07,7.85,60.9,76,16,8.75,5.24,S/D,1.65,0.3,0.00748,0.0248,0.0509,0.67,0.526,3.4,3.86,S/D,S/D,S/D,S/D,S/D,S/D,6.83,4300,2300,S/D
Rio Bugalagrande,2017,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,0379-2017,25/04/2017,09:40,Aguas Superficiales,25/04/2017 al 16/06/2017,0351 - 12/06/2017,S/D,944357.99,1115588.24,22,7.9,14,146,37,S/D,132,28,104,1.04,13.2,6.56,74.4,64,13.2,7.54,4.39,2.2,1.46,2.67,0.00973,0.0562,0.0509,0.943,0.353,1.86,0.358,S/D,S/D,S/D,S/D,S/D,S/D,8.5,900,900,S/D
Rio Bugalagrande,2017,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,1028-2017,10/08/2017,11:00,Aguas Superficiales,10/08/2017 al 31/08/2017,1027 - 25/09/2017,S/D,944357.99,1115588.24,31.5,8.19,22.9,147,2.6,S/D,180,80,100,1.74,44.6,7.46,83.9,95.5,17.6,12.5,6.23,S/D,S/D,0.315,0.122,0.24,0.0662,0.454,0.353,S/D,0.2,S/D,S/D,S/D,S/D,S/D,S/D,8.36,2400,430,S/D
Rio Bugalagrande,2018,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,0145-2018,28/02/2018,09:10,Aguas Superficiales,28/02/2018 al 14/03/2018,0154 - 24/04/2018,S/D,944357.99,1115588.24,24,7.61,18,131,22.9,S/D,108,29.4,78.6,1.51,76.8,7.99,60.6,68,10.8,9.97,3.06,S/D,S/D,0.56,0.0898,0.0933,0.0662,S/D,0.269,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,10.8,9300,730,S/D
Rio Bugalagrande,2018,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,0987-2018,25/07/2018,09:30,Aguas Superficiales,25/07/2018 al 03/08/2018,0964 - 03/09/2018,S/D,944357.99,1115588.24,20,8.12,18.1,131,12,S/D,106,19,87,1.24,44.9,7.72,59.2,53.3,12.7,5.23,2.81,S/D,S/D,0.351,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.97,23000,2300,S/D
Rio Bugalagrande,2019,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,0643-2019,29/05/2019,08:25,Aguas Superficiales,29/05/2019 al 19/07/2019,0710 - 08/08/2019,S/D,944642.99,1115592.24,16,7.82,12,108,170,S/D,234,144,90,2.52,11.1,7.2,54.3,49.7,11.5,5.11,1.54,S/D,S/D,0.317,0.0898,0.134,0.114,1.76,0.353,2.54,0.71,S/D,S/D,S/D,S/D,S/D,S/D,3.68,2300,2300,S/D
Rio Bugalagrande,2019,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,1136-2019,12/08/2019,09:15,Aguas Superficiales,12/08/2019 al 25/09/2019,1185 - 26/09/2019,S/D,944642.99,1115592.24,20,8.31,13,131,20,S/D,164,19,145,1.62,11.1,6.84,65.8,59.9,13.4,6.42,3.5,S/D,0.369,0.2,0.00973,0.0562,0.0662,0.443,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,6.06,24000,24000,S/D
Rio Bugalagrande,2021,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,0604-2021,14/07/2021,10:53,Aguas Superficiales,14/07/2021 al 20/08/2021 Fin de este informe,0764 - 03/09/2021,S/D,944642.99,1115592.24,25,7.64,20,117,55,73.4,130,73,57,1.71,17.2,8.55,55.8,53.5,3.11,11.1,2,S/D,0.25,0.201,0.947,0.202,0.106,3.43,0.0863,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.91,4300,2300,S/D
Rio Bugalagrande,2021,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,0842-2021,17/08/2021,09:05,Aguas Superficiales,17/08/2021 al 04/10/2021 Fin de este informe,0984 - 25/10/2021,S/D,944642.99,1115592.24,21,S/D,19.5,236,160,82.9,302,172,130,3.24,11,6.98,53.9,68.7,11.2,9.89,8.81,S/D,0.25,0.27,0.04,0.202,0.0959,15.5,0.185,6.97,0.897,S/D,S/D,S/D,S/D,S/D,S/D,12.2,20000,8000,S/D
Rio Bugalagrande,2022,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,0581-2022,10/05/2022,09:10,Aguas Superficiales,10/05/2022 al 31/05/2022 Fin de este informe,0664 - 30/06/2022,S/D,944642.99,1115592.24,21,7.87,17,146,S/D,1353,486,317,169,1.61,19.3,7.93,62.6,181,14.8,34.9,2.24,0.5,0.25,0.272,0.017,0.202,0.0959,19.4,0.271,2,1.37,S/D,S/D,S/D,S/D,S/D,S/D,7.37,9300,2300,S/D
Rio Bugalagrande,2022,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,1427-2022,15/09/2022,09:00,Aguas Superficiales,15/09/2022 al 14/10/2022 Fin de este informe,1859 - 03/11/2022,S/D,944642.99,1115592.24,27,8.52,19,144,33,43.5,154,39,115,0.859,11,8.04,98.2,117,18.1,17.6,2.58,0.5,0.25,0.248,0.0101,0.202,0.0959,2.06,0.0571,4.36,0.882,S/D,S/D,S/D,S/D,S/D,S/D,8.26,9300,2300,S/D
Rio Bugalagrande,2023,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,0429-2023,02/05/2023,09:30,Aguas Superficiales,02/05/2023 al 20/06/2023 Fin de este informe,0720 - 13/09/2023,S/D,944642.99,1115592.24,22,8.08,18.5,137,230,137,314,208,106,1.36,11,7.94,70.5,96,17.8,12.5,2.2,7.14,0.25,0.236,0.0101,0.202,0.165,12.1,0.147,3.14,1.13,S/D,S/D,S/D,S/D,S/D,S/D,8.18,4600,1500,S/D
Rio Bugalagrande,2024,TULUA,Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,1422-2024,27/08/2024,10:05,Aguas Superficiales,27/08/2024 al 11/09/2024 Fin de este informe,1557 - 09/10/2024,S/D,944642.99,1115592.24,25.6,S/D,20.6,160,5.5,14.9,118,11.7,106,1.35,12.4,8.18,82.3,70.7,18,6.3,2.64,0.463,S/D,0.226,0.0101,0.326,0.0946,0.602,0.0587,3.78,0.746,S/D,S/D,S/D,S/D,S/D,S/D,9.42,4600,1500,S/D
