Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Bugalagrande,2016,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,0455-2016,08/06/2016,12:10,Aguas Superficiales,08/06/2016 al 27/06/2016,0484 - 19/07/2016,S/D,962730.23,1101345.34,28,8.25,25.6,150,70,S/D,190,73,117,2.27,54.4,7.32,72.9,56,11.2,6.81,6.12,S/D,0.89,0.37,0.0246,0.131,0.232,0.67,0.526,2.95,1.11,S/D,S/D,S/D,S/D,S/D,S/D,16.5,2400,430,S/D
Rio Bugalagrande,2016,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,1160-2016,20/10/2016,12:30,Aguas Superficiales,20/10/2016 al 04/11/2016,1205 - 18/11/2016,S/D,962730.23,1101345.34,31,7.98,26.3,168,4.4,S/D,178,20.8,157,2.22,10.8,6.98,67.3,81,16.8,9.48,7.73,S/D,1.92,0.31,0.0291,0.045,0.15,0.67,0.526,2364,1921,S/D,S/D,S/D,S/D,S/D,S/D,8.51,24000,2300,S/D
Rio Bugalagrande,2017,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,0383-2017,25/04/2017,12:05,Aguas Superficiales,25/04/2017 al 16/06/2017,0355 - 12/06/2017,S/D,962730.23,1101345.34,28,7.93,18,153,70,S/D,177,41.5,136,1.11,21.1,7.03,72.4,69,14,8.27,4.65,2.33,1.77,0.88,0.012,0.0562,0.0509,3.87,0.353,1.63,0.882,S/D,S/D,S/D,S/D,S/D,S/D,11.4,46000,4300,S/D
Rio Bugalagrande,2017,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,1032-2017,10/08/2017,01:20,Aguas Superficiales,10/08/2017 al 31/08/2017,1031 - 25/09/2017,S/D,962730.23,1101345.34,33,8.13,29.7,169,3.95,S/D,144,38,106,2.71,47.6,6.99,84.1,104,21.2,12.3,6.96,S/D,S/D,0.319,0.122,0.24,0.112,0.625,0.353,S/D,0.2,S/D,S/D,S/D,S/D,S/D,S/D,10.2,110000,2300,S/D
Rio Bugalagrande,2018,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,0149-2018,28/02/2018,11:15,Aguas Superficiales,28/02/2018 al 14/03/2018,0158 - 24/04/2018,S/D,962730.23,1101345.34,30,7.52,22,144,80.3,S/D,359,310,49,1.67,58.4,7.51,75.5,63,16,5.59,3.07,S/D,S/D,0.44,0.0898,0.0933,0.136,S/D,0.269,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,11.5,24000,900,S/D
Rio Bugalagrande,2018,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,0991-2018,25/07/2018,03:00,Aguas Superficiales,25/07/2018 al 03/08/2018,0968 - 03/09/2018,S/D,962730.23,1101345.34,28,8.15,26.4,144,22,S/D,146,24,122,3.45,48.2,6.86,60.3,57,17.2,3.41,4,S/D,S/D,0.32,0.0898,0.134,0.07,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,11.1,93000,93000,S/D
Rio Bugalagrande,2019,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,0647-2019,29/05/2019,12:50,Aguas Superficiales,29/05/2019 al 19/07/2019,0714 - 08/08/2019,S/D,962654.23,1101335.34,23,7.46,16,121,210,S/D,379,290,89,2.78,11.1,7.06,35.1,58.3,11.5,7.2,1.96,S/D,S/D,0.35,0.0898,0.134,0.193,1.55,0.353,3.28,0.963,S/D,S/D,S/D,S/D,S/D,S/D,4.52,43000,43000,S/D
Rio Bugalagrande,2019,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,1140-2019,12/08/2019,02:15,Aguas Superficiales,12/08/2019 al 25/09/2019,1189 - 26/09/2019,S/D,962654.23,1101335.34,28,S/D,22,172,10,S/D,138,15,123,2.53,23.7,6.27,77.8,77.1,17.1,8.39,4.86,S/D,0.366,0.19,0.027,0.06,0.074,0.318,0.353,6.09,1.27,S/D,S/D,S/D,S/D,S/D,S/D,9.44,150000,93000,S/D
Rio Bugalagrande,2021,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,0608-2021,14/07/2021,10:53,Aguas Superficiales,14/07/2021 al 20/08/2021 Fin de este informe,0768 - 03/09/2021,S/D,962654.23,1101335.34,26,8.05,21,142,70,28.4,204,43,161,2.25,17.2,7.69,65.5,61.6,24.5,0.0972,2.55,S/D,0.25,0.206,1.07,0.202,0.0935,3.07,0.0848,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,21.9,210000,43000,S/D
Rio Bugalagrande,2021,BUGALAGRANDE,Rio Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,0846-2021,17/08/2021,01:50,Aguas Superficiales,17/08/2021 al 04/10/2021 Fin de este informe,0988 - 25/10/2021,S/D,962654.23,1101335.34,25,S/D,25.1,144,210,82.3,394,298,96,2.29,11,6.66,64,69.9,11.5,10,2.56,S/D,0.25,0.262,0.041,0.202,0.0959,10.8,0.214,3.59,0.95,S/D,S/D,S/D,S/D,S/D,S/D,5.92,43000,43000,S/D
