Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Desbaratado,2019,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,07/05/2019,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,6.9,19.3,155.3,0.9,15,S/D,9.9,S/D,9.9,14.9,8.96,59.5,64.3,S/D,S/D,S/D,S/D,S/D,0.1,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,10400,100,2.66
Rio Desbaratado,2019,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,15/08/2019,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,7.45,17.5,67.65,0.6,27,S/D,12.8,S/D,0.89,21.4,9.5,24.3,27.7,S/D,S/D,S/D,S/D,S/D,0.2,0.019,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,16800,100,2.963
Rio Desbaratado,2019,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,06/12/2019,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,7.56,18.6,58.31,6.6,50,S/D,33.7,S/D,0.89,14.9,8.39,29.6,31,S/D,S/D,S/D,S/D,S/D,0.3,0.019,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,9700,100,2.416
Rio Desbaratado,2020,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,03/12/2020,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,7.3,17.6,146.3,2.2,42,S/D,22,S/D,10,15,6.41,48,70.6,S/D,S/D,S/D,0.6,S/D,0.19,0.03,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7540,1,1.06
Rio Desbaratado,2020,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,22/12/2020,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,8.57,16.9,154.7,0.8,9,S/D,23.5,S/D,10,15,8.41,55.6,89.8,S/D,S/D,S/D,0.5,S/D,0.1,< 0.02,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,96060,410,0.94
Rio Desbaratado,2021,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,21/04/2021,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,7.25,18.8,141,8.5,108,S/D,70,S/D,10,15,8.5,51.2,77,S/D,S/D,S/D,0.5,S/D,0.2,< 0.02,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,11620,740,3.011
Rio Desbaratado,2021,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,29/07/2021,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,8.38,16.3,71.5,0.9,35,S/D,10,S/D,10,15,7.38,35.7,63.2,S/D,S/D,S/D,0.5,S/D,0.21,< 0.02,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,16640,300,3.843
Rio Desbaratado,2021,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,03/11/2021,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,6.21,16.7,78.32,52.2,374,S/D,1834,S/D,10,15,8.61,34,57.8,S/D,S/D,S/D,S/D,S/D,0.1,< 0.02,S/D,0.31,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8300,0,4.895
Rio Desbaratado,2022,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,06/04/2022,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,7.6,21.7,192.5,42.6,383,S/D,284,S/D,10,15,5.48,57.6,70.6,S/D,S/D,S/D,S/D,S/D,0.54,0.02,S/D,0.64,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3300,100,2.94
Rio Desbaratado,2022,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,02/09/2022,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,7.97,19.2,127.4,0.8,16,S/D,18,S/D,10,15,8.13,50,16,S/D,S/D,S/D,0.5,S/D,0.1,0.02,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,18500,100,2126
Rio Desbaratado,2022,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,11/11/2022,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,7.63,16.4,83.94,37.4,130,S/D,105,S/D,10,15,8.54,35.2,40.8,S/D,S/D,S/D,0.5,S/D,0.1,0.02,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7800,0,4.103
Rio Desbaratado,2023,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,28/03/2023,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,7.2,16.64,92.07,12.2,130,S/D,99.5,S/D,10,15,5.6,41.7,76.4,S/D,S/D,S/D,0.52,S/D,0.22,0.02,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3500,300,4.432
Rio Desbaratado,2023,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,24/08/2023,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,7.81,18.05,110.9,1.8,34,S/D,10,S/D,10,15,6.32,43.9,74,S/D,S/D,S/D,0.5,S/D,0.17,0.02,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,1450,10,1.951
Rio Desbaratado,2023,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,01/11/2023,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,7.79,17.57,101.8,2.3,17,S/D,10,S/D,10,15,6.19,37.4,43.6,S/D,S/D,S/D,0.5,S/D,0.19,0.02,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,1780,20,5.474
Rio Desbaratado,2024,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,29/05/2024,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,7.027,20.05,112.4,0.7,17,S/D,10,S/D,10,15,5.093,51.2,57.2,S/D,S/D,S/D,S/D,S/D,0.1,0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,2300,0,1.205
Rio Desbaratado,2025,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,11/06/2025,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,6.4,18.5,74,110,14.8,S/D,40,S/D,10,15,6.29,31,34.4,S/D,S/D,S/D,S/D,S/D,S/D,0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3600,30,S/D
Rio Desbaratado,2025,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,24/09/2025,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,8.16,23.21,132,1,16,S/D,10,S/D,0.2,15,6.32,54,61.2,S/D,S/D,S/D,S/D,S/D,S/D,0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,11600,S/D,0.92
Rio Desbaratado,2026,Miranda,Rio Desbaratado,Antes de bocatoma cabecera Miranda,S/D,01/01/2026,S/D,S/D,S/D,S/D,1182,852883.6225986572,1095841.1008859,S/D,0,0,0,0,0,S/D,0,S/D,0,0,0,0,0,S/D,S/D,S/D,S/D,S/D,0,0,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,0,0,0
