Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Desbaratado,2019,Miranda,Rio Desbaratado,Antes de porcícola (Pte. Jordán),S/D,07/05/2019,S/D,S/D,S/D,S/D,1007,855151.6901179366,1085740.021356278,S/D,7.2,21.7,200,4.3,58,S/D,29.3,S/D,9.9,14.9,7.41,83,87.4,S/D,S/D,S/D,S/D,S/D,0.1,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,31600,3600,1.799
Rio Desbaratado,2019,Miranda,Rio Desbaratado,Antes de porcícola (Pte. Jordán),S/D,15/08/2019,S/D,S/D,S/D,S/D,1007,855151.6901179366,1085740.021356278,S/D,7.18,17.5,54,9.3,430,S/D,154,S/D,13.3,91.8,8.2,81,44.5,S/D,S/D,S/D,S/D,S/D,2.71,0.05,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,56800,13200,2.824
Rio Desbaratado,2019,Miranda,Rio Desbaratado,Antes de porcícola (Pte. Jordán),S/D,06/12/2019,S/D,S/D,S/D,S/D,1007,855151.6901179366,1085740.021356278,S/D,7.29,18.7,45.2,21.4,360,S/D,220,S/D,8,36,7.23,64.3,52.2,S/D,S/D,S/D,S/D,S/D,1.63,0.03,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,14100,3800,2.364
Rio Desbaratado,2020,Miranda,Rio Desbaratado,Antes de porcícola (Pte. Jordán),S/D,03/12/2020,S/D,S/D,S/D,S/D,1007,855151.6901179366,1085740.021356278,S/D,7.09,19.9,202.8,5.1,84,S/D,35,S/D,10,15,4.88,77.1,96.2,S/D,S/D,S/D,0.5,S/D,0.18,0.05,S/D,0.37,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,241960,6020,0.95
Rio Desbaratado,2020,Miranda,Rio Desbaratado,Antes de porcícola (Pte. Jordán),S/D,22/12/2020,S/D,S/D,S/D,S/D,1007,855151.6901179366,1085740.021356278,S/D,7.73,21.6,235.7,0.5,7,S/D,14.5,S/D,10,15,4.93,99.2,122,S/D,S/D,S/D,0.5,S/D,0.1,0.04,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6970,860,0.36
Rio Desbaratado,2021,Miranda,Rio Desbaratado,Antes de porcícola (Pte. Jordán),S/D,21/04/2021,S/D,S/D,S/D,S/D,1007,855151.6901179366,1085740.021356278,S/D,7.36,21.9,200.8,26.7,313,S/D,430,S/D,10,15,6.79,77.5,109,S/D,S/D,S/D,0.7,S/D,0.49,< 0.02,S/D,0.19,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,241960,6630,3.02
Rio Desbaratado,2021,Miranda,Rio Desbaratado,Antes de porcícola (Pte. Jordán),S/D,29/07/2021,S/D,S/D,S/D,S/D,1007,855151.6901179366,1085740.021356278,S/D,7.47,18.3,147.4,3.1,50,S/D,66,S/D,10,15,4.96,57.2,65,S/D,S/D,S/D,0.5,S/D,0.23,< 0.02,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,13330,310,3.296
Rio Desbaratado,2021,Miranda,Rio Desbaratado,Antes de porcícola (Pte. Jordán),S/D,03/11/2021,S/D,S/D,S/D,S/D,1007,855151.6901179366,1085740.021356278,S/D,6.06,18.2,120.3,238,376,S/D,1728,S/D,10,15,6.6,52.1,70.6,S/D,S/D,S/D,S/D,S/D,1.49,< 0.02,S/D,0.37,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,22200,0,5.345
Rio Desbaratado,2022,Miranda,Rio Desbaratado,Antes de porcícola (Pte. Jordán),S/D,06/04/2022,S/D,S/D,S/D,S/D,1007,855151.6901179366,1085740.021356278,S/D,7.21,20.07,174.6,26.3,272,S/D,219,S/D,18.1,54.6,5.64,73.2,89.8,S/D,S/D,S/D,S/D,S/D,0.26,0.02,S/D,0.35,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,10600,100,3.44
Rio Desbaratado,2022,Miranda,Rio Desbaratado,Antes de porcícola (Pte. Jordán),S/D,02/09/2022,S/D,S/D,S/D,S/D,1007,855151.6901179366,1085740.021356278,S/D,7.55,23.3,207.3,5.2,32,S/D,57.3,S/D,10,15,2.3,83.2,24,S/D,S/D,S/D,0.5,S/D,0.17,0.02,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,16600,100,1469
