Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Desbaratado,2019,Miranda,Rio Desbaratado,Puente Ortigal,S/D,07/05/2019,S/D,S/D,S/D,S/D,1003,854683.5906476398,1084205.921118652,S/D,6.64,21.7,198.2,5,61,S/D,78.2,S/D,9.9,14.9,7.52,88.7,90.7,S/D,S/D,S/D,S/D,S/D,0.1,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,32800,1400,1.812
Rio Desbaratado,2019,Miranda,Rio Desbaratado,Puente Ortigal,S/D,15/08/2019,S/D,S/D,S/D,S/D,1003,854683.5906476398,1084205.921118652,S/D,7.2,18.8,82.59,3.8,63,S/D,185,S/D,0.89,34.4,8.27,31.8,33.6,S/D,S/D,S/D,S/D,S/D,0.31,0.019,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,12400,100,2.834
Rio Desbaratado,2019,Miranda,Rio Desbaratado,Puente Ortigal,S/D,06/12/2019,S/D,S/D,S/D,S/D,1003,854683.5906476398,1084205.921118652,S/D,7.31,19.7,72.15,43,95,S/D,211,S/D,0.89,12.2,7.21,34.7,37.2,S/D,S/D,S/D,S/D,S/D,0.36,0.019,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,11300,200,2.371
Rio Desbaratado,2020,Miranda,Rio Desbaratado,Puente Ortigal,S/D,03/12/2020,S/D,S/D,S/D,S/D,1003,854683.5906476398,1084205.921118652,S/D,7.19,20.2,194.4,7.4,124,S/D,18.7,S/D,10,15,5.77,75.2,96.2,S/D,S/D,S/D,0.5,S/D,0.17,0.03,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,241960,410,S/D
Rio Desbaratado,2020,Miranda,Rio Desbaratado,Puente Ortigal,S/D,22/12/2020,S/D,S/D,S/D,S/D,1003,854683.5906476398,1084205.921118652,S/D,7.77,22.7,222,1.3,3,S/D,14,S/D,10,15,5.58,99.2,122,S/D,S/D,S/D,0.5,S/D,0.11,< 0.02,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,241960,410,S/D
Rio Desbaratado,2021,Miranda,Rio Desbaratado,Puente Ortigal,S/D,21/04/2021,S/D,S/D,S/D,S/D,1003,854683.5906476398,1084205.921118652,S/D,7.42,21.9,194.3,96.7,123,S/D,544,S/D,10,15,6.77,76.8,96.2,S/D,S/D,S/D,1.8,S/D,1.4,0.08,S/D,0.3,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,241960,15410,3.051
Rio Desbaratado,2021,Miranda,Rio Desbaratado,Puente Ortigal,S/D,29/07/2021,S/D,S/D,S/D,S/D,1003,854683.5906476398,1084205.921118652,S/D,7.92,18.3,161.6,3,49,S/D,87,S/D,10,15,6.03,65.6,73,S/D,S/D,S/D,0.5,S/D,0.24,0.04,S/D,0.12,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6910,200,3.308
Rio Desbaratado,2021,Miranda,Rio Desbaratado,Puente Ortigal,S/D,03/11/2021,S/D,S/D,S/D,S/D,1003,854683.5906476398,1084205.921118652,S/D,6.77,19.1,145.4,420,486,S/D,3518,S/D,10,27.2,6.39,59.8,83.4,S/D,S/D,S/D,S/D,S/D,1.2,< 0.02,S/D,1.73,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,39800,200,5.556
Rio Desbaratado,2022,Miranda,Rio Desbaratado,Puente Ortigal,S/D,06/04/2022,S/D,S/D,S/D,S/D,1003,854683.5906476398,1084205.921118652,S/D,7.27,20.44,101.1,49.2,384,S/D,424,S/D,10,24.1,5.6,83.2,89.8,S/D,S/D,S/D,S/D,S/D,0.56,0.02,S/D,0.66,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,12000,3600,3.45
Rio Desbaratado,2022,Miranda,Rio Desbaratado,Puente Ortigal,S/D,02/09/2022,S/D,S/D,S/D,S/D,1003,854683.5906476398,1084205.921118652,S/D,7.66,23.6,314,3.1,23,S/D,34.7,S/D,10,15,6.47,103,28.8,S/D,S/D,S/D,0.5,S/D,0.13,0.05,S/D,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,31400,200,1520
