Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Frayle,2016,PALMIRA,Rio Frayle,Rio Frayle - antes Desembocadura a rio Guachal Recta Cali Palmira,0491-2016,14/06/2016,02:36,Aguas Superficiales,14/06/2016 al 28/07/2016,0529 - 01/08/2016,S/D,878581.93,1069138.66,32,7.63,27.6,214,29,S/D,184,50.8,133,2.84,53.9,2.01,95.1,160,33.7,18.5,6.21,S/D,1.65,0.432,0.0317,0.185,0.357,0.67,0.526,7.32,2.47,S/D,S/D,S/D,S/D,S/D,S/D,13.2,2100,230,S/D
Rio Frayle,2016,PALMIRA,Río Frayle,"Río Frayle- antes desembocadura a río Guachal, recta Cali-Palmira",1268-2016,31/10/2016,02:05,Aguas Superficiales,31/10/2016 al 01/12/2016,1369 - 30/12/2016,S/D,878581.93,1069138.66,28,7.05,23.5,295,50,S/D,322,135,187,10.1,29.5,0.5,123,133,28.9,14.8,9.6,S/D,1.89,0.61,0.0185,0.154,0.621,2.59,0.526,6.23,32.9,S/D,S/D,S/D,S/D,S/D,S/D,17,2300,2300,S/D
Rio Frayle,2017,PALMIRA,Rio Frayle,Rio Frayle - antes Desembocadura a rio Guachal Recta Cali Palmira,0400-2017,26/04/2017,02:00,Aguas Superficiales,26/04/2017 al 27/06/2017,0372 - 12/06/2017,S/D,878581.93,1069138.66,28,7.31,18,318,50,S/D,422,190,232,67.8,302,0.5,140,173,35.3,20.7,8.59,4.3,1.71,2.54,0.015,0.227,0.539,2.03,0.366,7.33,3.33,S/D,S/D,S/D,S/D,S/D,S/D,20.6,1100000,1100000,S/D
Rio Frayle,2017,PALMIRA,Rio Frayle,Rio Frayle - antes Desembocadura a rio Guachal Recta Cali Palmira,1116-2017,22/08/2017,01:40,Aguas Superficiales,22/08/2017 al 20/09/2017,1118 - 27/09/2017,S/D,878581.93,1069138.66,35,7.95,29,318,12.2,S/D,444,34,410,16.4,42.3,1.71,130,129,29.7,13.4,12,S/D,S/D,0.57,0.122,0.24,0.506,S/D,0.413,S/D,3.07,S/D,S/D,S/D,S/D,S/D,S/D,25.5,430000,150000,S/D
Rio Frayle,2018,PALMIRA,Rio Frayle,Rio Frayle - antes Desembocadura a rio Guachal Recta Cali Palmira,0397-2018,16/04/2018,07:50,Aguas Superficiales,16/04/2018 al 02/05/2018,0391 - 27/04/2018,S/D,878581.93,1069138.66,25,7.52,23.6,278,110,S/D,542,363,179,6.98,108,3.1,25.3,129,25.3,16,6.87,S/D,S/D,0.204,0.0898,0.134,0.377,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,25.2,110000,24000,S/D
Rio Frayle,2019,PALMIRA,Rio Frayle,Rio Frayle - Antes Desembocadura a rio Guachal Recta Cali Palmira,0257-2019,02/04/2019,12:48,Aguas Superficiales,02/04/2019 al 22/05/2019,0286 - 28/05/2019,S/D,878604.63,1069121.71,28,7.2,27.2,225,*,S/D,1848,1680,168,22.6,86.7,0.669,94.1,114,23.2,13.6,5.13,S/D,S/D,0.0878,0.0942,0.134,1.11,3.41,0.527,8.06,3.64,S/D,S/D,S/D,S/D,S/D,S/D,20.2,930000.0000000001,930000.0000000001,S/D
Rio Frayle,2019,PALMIRA,Rio Frayle,Rio Frayle - Antes Desembocadura a rio Guachal Recta Cali Palmira,1257-2019,21/08/2019,01:55,Aguas Superficiales,21/08/2019 al 04/10/2019,1309 - 24/10/2019,S/D,878604.63,1069121.71,32,7.63,27,235,45,S/D,238,97,141,6.4,11.1,2.76,85.7,96.4,19.1,11.8,8.46,S/D,0.657,0.711,0.0898,0.134,0.405,1.69,0.353,5.16,2.01,S/D,S/D,S/D,S/D,S/D,S/D,16.6,9000,4000,S/D
Rio Frayle,2021,PALMIRA,Rio Frayle,Rio Frayle - Antes Desembocadura a rio Guachal Recta Cali Palmira,1388-2021,24/11/2021,01:55,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1617 - 04/02/2022,S/D,878604.63,1069121.71,31,7.51,23,246,65,98.9,460,290,170,11.9,54.4,2.18,100,98.1,22.4,10.2,5.97,S/D,0.43,0.393,0.052,0.202,0.0959,11.2,0.283,10.8,3.49,S/D,S/D,S/D,S/D,S/D,S/D,15.8,240000,240000,S/D
Rio Frayle,2022,PALMIRA,Rio Frayle,Rio Frayle - Antes Desembocadura a rio Guachal Recta Cali Palmira,0619-2022,12/05/2022,02:47,Aguas Superficiales,12/05/2022 al 06/06/2022 Fin de este informe,0702 - 01/07/2022,S/D,878604.63,1069121.71,30,7.09,22.8,222,600,237,994,885,109,7.95,47.9,4.48,282,111,23.7,12.6,7.43,2.39,0.325,0.431,0.073,0.202,0.0959,31.3,0.574,5.01,0.811,S/D,S/D,S/D,S/D,S/D,S/D,15.2,2400000,430000,S/D
Rio Frayle,2022,PALMIRA,Rio Frayle,Rio Frayle - Antes Desembocadura a rio Guachal Recta Cali Palmira,1193-2022,23/08/2022,03:10,Aguas Superficiales,23/08/2022 al 13/09/2022 Fin de este informe,1361 - 04/10/2022,S/D,878604.63,1069121.71,29,7.68,25.4,349,39,16.2,318,87,231,5.52,18.9,3.56,153,149,37.4,13.6,12.7,2.74,1.76,0.52,0.042,0.202,0.373,2.61,0.271,16.9,4.06,S/D,S/D,S/D,S/D,S/D,S/D,17.4,15000000,15000000,S/D
