Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Frayle,2016,CANDELARIA-VALLE,Rio Frayle,Rio Frayle - limnigrafo CVC - caserio Brisas de Frayle,0490-2016,14/06/2016,10:00,Aguas Superficiales,14/06/2016 al 28/07/2016,0528 - 01/08/2016,S/D,864833.06,1080954.55,26,7.82,21.8,128,19,S/D,154,56,98,2.69,20.6,6.5,54.8,68,16,6.81,7.87,S/D,0.8,0.926,0.00748,0.0248,0.23,1.05,0.526,4.37,1.53,S/D,S/D,S/D,S/D,S/D,S/D,9.72,4600,430,S/D
Rio Frayle,2016,CANDELARIA-VALLE,Rio Frayle,Rio Frayle - limnigrafo CVC - caserio Brisas de Frayle,1267-2016,31/10/2016,09:50,Aguas Superficiales,31/10/2016 al 01/12/2016,1368 - 30/12/2016,S/D,864833.06,1080954.55,26,7.1,22.1,184,41.1,S/D,292,104,188,1.92,9.07,6.45,75.2,96,20.4,10.9,6.7,S/D,1.45,1.34,0.023,0.109,0.175,2,0.526,4.53,29.1,S/D,S/D,S/D,S/D,S/D,S/D,13.4,4300,360,S/D
Rio Frayle,2017,CANDELARIA-VALLE,Rio Frayle,Rio Frayle - limnigrafo CVC - caserio Brisas de Frayle,0399-2017,26/04/2017,09:30,Aguas Superficiales,26/04/2017 al 27/06/2017,0371 - 12/06/2017,S/D,864833.06,1080954.55,18,7.18,16,162,345,S/D,690,510,180,27.6,71.5,4.86,61.8,77.6,17.6,8.17,6.99,4.11,1.69,7.93,0.06,0.25,0.441,4.13,0.353,1.51,3.55,S/D,S/D,S/D,S/D,S/D,S/D,11.3,1100000,1100000,S/D
Rio Frayle,2017,CANDELARIA-VALLE,Rio Frayle,Rio Frayle - limnigrafo CVC - caserio Brisas de Frayle,1115-2017,22/08/2017,09:52,Aguas Superficiales,22/08/2017 al 20/09/2017,1117 - 27/09/2017,S/D,864833.06,1080954.55,28,7.72,20,134,26,S/D,200,74,126,2.33,16.9,6.27,62.1,83.6,19.2,8.66,0.139,S/D,S/D,0.204,0.122,0.24,0.151,S/D,0.11,S/D,2.15,S/D,S/D,S/D,S/D,S/D,S/D,0.275,24000,24000,S/D
Rio Frayle,2018,CANDELARIA-VALLE,Rio Frayle,Rio Frayle - limnigrafo CVC - caserio Brisas de Frayle,0396-2018,16/04/2018,09:30,Aguas Superficiales,16/04/2018 al 02/05/2018,0390 - 27/04/2018,S/D,864833.06,1080954.55,29,7.99,22,135,29,S/D,340,255,85,2.56,35.3,6.59,74.3,67.9,19.4,4.72,4.49,S/D,S/D,0.204,0.0898,0.134,0.246,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,14.2,46000,24000,S/D
Rio Frayle,2019,CANDELARIA-VALLE,Rio Frayle,Rio Frayle - Limnigrafo CVC - caserio Brisas de Frayle,0256-2019,02/04/2019,08:10,Aguas Superficiales,02/04/2019 al 22/05/2019,0285 - 28/05/2019,S/D,864851.27,1080941.52,24,7.22,24,142,850,S/D,1360,488,872,4.5,33.7,5.81,62.6,61.8,17,4.69,3.03,S/D,S/D,0.126,0.0898,0.134,0.982,2.89,0.368,5.42,3.76,S/D,S/D,S/D,S/D,S/D,S/D,10,230000,230000,S/D
Rio Frayle,2019,CANDELARIA-VALLE,Rio Frayle,Rio Frayle - Limnigrafo CVC - caserio Brisas de Frayle,1256-2019,21/08/2019,09:05,Aguas Superficiales,21/08/2019 al 04/10/2019,1308 - 24/10/2019,S/D,864851.27,1080941.52,25,7.63,21,145,22,S/D,164,72,92,3.31,13.4,6.61,54.4,71.1,14.2,8.66,3.85,S/D,0.366,0.221,0.0898,0.134,0.153,1.18,0.353,4.72,1.34,S/D,S/D,S/D,S/D,S/D,S/D,9.39,430,40,S/D
Rio Frayle,2021,CANDELARIA-VALLE,Rio Frayle,Rio Frayle - Limnigrafo CVC - caserio Brisas de Frayle,0780-2021,09/08/2021,09:20,Aguas Superficiales,09/08/2021 al 04/10/2021 Fin de este Informe,0925 - 08/10/2021,S/D,864851.27,1080941.52,20,7.35,22,176,25,26.5,192,55,137,5.33,11,6.3,82.3,76.8,20.6,6.2,4.46,S/D,0.25,0.201,0.0101,0.202,0.173,2.37,0.107,7.25,2.25,S/D,S/D,S/D,S/D,S/D,S/D,9.79,43000,20000,S/D
Rio Frayle,2021,CANDELARIA-VALLE,Rio Frayle,Rio Frayle - Limnigrafo CVC - caserio Brisas de Frayle,1387-2021,24/11/2021,09:00,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1616 - 04/02/2022,S/D,864851.27,1080941.52,25,8.22,20,110,250,102,474,441,33,2.95,18.1,7.27,45.7,41,10.1,3.87,3.01,S/D,0.25,0.337,0.04,0.202,0.0959,17.9,0.229,4.97,1.93,S/D,S/D,S/D,S/D,S/D,S/D,7.35,240000,240000,S/D
Rio Frayle,2022,CANDELARIA-VALLE,Rio Frayle,Rio Frayle - Limnigrafo CVC - caserio Brisas de Frayle,0618-2022,12/05/2022,08:45,Aguas Superficiales,12/05/2022 al 06/06/2022 Fin de este informe,0701 - 01/07/2022,S/D,864851.27,1080941.52,24,6.71,20.6,130,1000,390,3858,2638,1220,5.71,87.8,6.69,260,74,20.8,5.4,3.59,2.75,0.25,0.584,0.01007,S/D,0.0959,66.1,1.01,3.49,0.8,S/D,S/D,S/D,S/D,S/D,S/D,10.5,93000,43000,S/D
