Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Frayle,2016,FLORIDA,Rio Frayle,Rio Frayle - Nacimiento El Pedregal,0488-2016,14/06/2016,10:55,Aguas Superficiales,14/06/2016 al 28/07/2016,0526 - 01/08/2016,S/D,857746.06,1095814.98,26,8.04,20,67.2,1.5,S/D,74,11.6,62.4,1.47,21.1,7.39,24.8,56,11.2,6.81,6.23,S/D,0.95,0.12,0.00748,0.0248,0.103,0.933,0.526,2.92,0.605,S/D,S/D,S/D,S/D,S/D,S/D,7.87,230,36,S/D
Rio Frayle,2016,FLORIDA,Rio Frayle,Rio Frayle - Nacimiento El Pedregal,1265-2016,31/10/2016,10:40,Aguas Superficiales,31/10/2016 al 01/12/2016,1366 - 30/12/2016,S/D,857746.06,1095814.98,26,7.03,19.7,104,2.8,S/D,44,11.6,32.4,1.33,9.7,7.86,35.8,57,12,6.56,5.88,S/D,1.75,0.0943,0.00748,0.0248,0.0509,0.67,0.526,3.12,11.3,S/D,S/D,S/D,S/D,S/D,S/D,10.1,230,90,S/D
Rio Frayle,2017,FLORIDA,Rio Frayle,Rio Frayle - Nacimiento El Pedregal,0397-2017,26/04/2017,10:20,Aguas Superficiales,26/04/2017 al 27/06/2017,0369 - 12/06/2017,S/D,857746.06,1095814.98,22,7.83,18,105,1.1,S/D,24,11.6,12.4,1.72,13.5,7.57,47.9,71.6,15.2,8.17,6.55,2.14,1.67,1.19,0.00973,0.0562,0.0509,0.67,0.353,1.9,0.789,S/D,S/D,S/D,S/D,S/D,S/D,8.56,2400,930.0000000000001,S/D
Rio Frayle,2017,FLORIDA,Rio Frayle,Rio Frayle - Nacimiento El Pedregal,1113-2017,22/08/2017,10:31,Aguas Superficiales,22/08/2017 al 20/09/2017,1115 - 27/09/2017,S/D,857746.06,1095814.98,32,7.96,20,75.8,4.4,S/D,112,11.6,100,1.56,18.1,7.59,40.7,111,22,13.6,5,S/D,S/D,0.35,0.122,0.24,0.0662,S/D,0.109,S/D,1,S/D,S/D,S/D,S/D,S/D,S/D,6.98,2400,210,S/D
Rio Frayle,2018,FLORIDA,Rio Frayle,Rio Frayle - Nacimiento El Pedregal,0394-2018,16/04/2018,10:35,Aguas Superficiales,16/04/2018 al 02/05/2018,0388 - 27/04/2018,S/D,857746.06,1095814.98,30,7.96,20.5,80,13,S/D,102,22,80,1.77,19.1,7.58,37.5,38.8,7.78,4.72,4.8,S/D,S/D,0.204,0.0898,0.134,0.089,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,13.2,930.0000000000001,210,S/D
Rio Frayle,2019,FLORIDA,Rio Frayle,Rio Frayle - Nacimiento El Pedregal,0254-2019,02/04/2019,09:05,Aguas Superficiales,02/04/2019 al 22/05/2019,0283 - 28/05/2019,S/D,857350.38,1096402.92,24,7.29,21,116,18,S/D,134,22,112,1.49,11.1,7.64,44.3,48.2,12.8,3.99,3.5,S/D,S/D,0.0701,0.0898,0.134,0.0662,0.492,0.353,7.24,2.67,S/D,S/D,S/D,S/D,S/D,S/D,13.1,3900,3900,S/D
Rio Frayle,2019,FLORIDA,Rio Frayle,Rio Frayle - Nacimiento El Pedregal,1254-2019,21/08/2019,09:40,Aguas Superficiales,21/08/2019 al 04/10/2019,1306 - 24/10/2019,S/D,857350.38,1096402.92,27,7.69,18.5,87.8,1.3,S/D,52,11.6,40.4,1.43,11.1,6.99,31,65,9.78,9.87,3.58,S/D,0.366,0.052,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,7.1,43,9,S/D
Rio Frayle,2021,FLORIDA,Rio Frayle,Rio Frayle - Nacimiento El Pedregal,0778-2021,09/08/2021,10:14,Aguas Superficiales,09/08/2021 al 04/10/2021 Fin de este Informe,0923 - 08/10/2021,S/D,857350.38,1096402.92,24,7.79,18.6,99.6,2,25,70,11.6,58.4,1.44,11,8.11,39.5,37.4,2.8,7.39,3.39,S/D,0.25,0.201,0.0101,0.202,0.0959,0.221,0.0571,4.22,1.18,S/D,S/D,S/D,S/D,S/D,S/D,7.4,930.0000000000001,930.0000000000001,S/D
Rio Frayle,2021,FLORIDA,Rio Frayle,Rio Frayle - Nacimiento El Pedregal,1385-2021,24/11/2021,10:08,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1614 - 04/02/2022,S/D,857350.38,1096402.92,26,8.24,18,75.7,14,66.4,128,41,87,1.33,16.2,8.09,332,21.9,7.25,0.924,2.53,S/D,0.25,0.201,0.0101,0.202,0.1,1.19,0.0571,3.74,1.25,S/D,S/D,S/D,S/D,S/D,S/D,6.07,2400,2400,S/D
Rio Frayle,2022,FLORIDA,Rio Frayle,Rio Frayle - Nacimiento El Pedregal,0616-2022,12/05/2022,09:38,Aguas Superficiales,12/05/2022 al 06/06/2022 Fin de este informe,0699 - 01/07/2022,S/D,857350.38,1096402.92,25,6.98,18.6,121,125,160,180,143,37,1.67,24.4,7.84,204,49.4,13.5,3.82,4.28,0.601,0.25,0.201,0.011,0.202,0.0959,4.64,0.132,4.25,0.8,S/D,S/D,S/D,S/D,S/D,S/D,8.15,24000,9300,S/D
