Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Frayle,2016,FLORIDA,Rio Frayle,Rio Frayle - puente Vía a Miranda,0489-2016,14/06/2016,10:35,Aguas Superficiales,14/06/2016 al 28/07/2016,0527 - 01/08/2016,S/D,858717.91,1093447.2,26,7.96,20.3,69.2,2,S/D,70,11.6,58.4,1.31,19.6,7.29,28.2,84,17.6,9.72,2.21,S/D,0.87,0.403,0.00748,0.0248,0.0946,0.67,0.526,2.87,0.952,S/D,S/D,S/D,S/D,S/D,S/D,12.5,430,230,S/D
Rio Frayle,2016,FLORIDA,Rio Frayle,Rio Frayle - puente Vía a Miranda,1266-2016,31/10/2016,10:20,Aguas Superficiales,31/10/2016 al 01/12/2016,1367 - 30/12/2016,S/D,858717.91,1093447.2,28,6.9,20.5,109,2,S/D,52,11.6,40.4,1.25,11.5,8.07,39.1,56,11.6,6.56,5.98,S/D,1.4,0.18,0.00748,0.0248,0.0509,0.67,0.526,3.14,26,S/D,S/D,S/D,S/D,S/D,S/D,10.2,900,730,S/D
Rio Frayle,2017,FLORIDA,Rio Frayle,Rio Frayle - puente Vía a Miranda,0398-2017,26/04/2017,10:00,Aguas Superficiales,26/04/2017 al 27/06/2017,0370 - 12/06/2017,S/D,858717.91,1093447.2,18,7.77,16,111,2.9,S/D,114,17,97,1.91,18.8,7.53,46.4,61.7,12.4,7.46,7.14,1.99,1.95,2.23,0.01,0.0562,0.0509,0.67,0.353,2.49,1.03,S/D,S/D,S/D,S/D,S/D,S/D,9.11,15000,7500,S/D
Rio Frayle,2017,FLORIDA,Rio Frayle,Rio Frayle - puente Vía a Miranda,1114-2017,22/08/2017,10:21,Aguas Superficiales,22/08/2017 al 20/09/2017,1116 - 27/09/2017,S/D,858717.91,1093447.2,28,7.94,20,75.3,2.3,S/D,176,12,164,1.3,22.1,8.03,38.2,51.7,14.4,3.82,5.16,S/D,S/D,0.204,0.122,0.24,0.0662,S/D,0.11,S/D,1.86,S/D,S/D,S/D,S/D,S/D,S/D,7.02,24000,24000,S/D
Rio Frayle,2018,FLORIDA,Rio Frayle,Rio Frayle - puente Vía a Miranda,0395-2018,16/04/2018,10:10,Aguas Superficiales,16/04/2018 al 02/05/2018,0389 - 27/04/2018,S/D,858717.91,1093447.2,29,7.88,20.8,84.8,5.6,S/D,118,27,91,1.72,23.6,7.53,37.9,48.5,11.7,4.72,3.97,S/D,S/D,0.204,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,11.8,4300,4300,S/D
Rio Frayle,2019,FLORIDA,Rio Frayle,Rio Frayle - Puente Vía a Miranda,0255-2019,02/04/2019,08:43,Aguas Superficiales,02/04/2019 al 22/05/2019,0284 - 28/05/2019,S/D,858753.9,1093354.92,25,7.26,22,117,29,S/D,156,49,107,1.33,17,7.66,44.7,46.3,12.8,3.52,3.64,S/D,S/D,0.11,0.0898,0.134,0.113,0.708,0.353,5.48,3.01,S/D,S/D,S/D,S/D,S/D,S/D,12.6,46000,4300,S/D
Rio Frayle,2019,FLORIDA,Rio Frayle,Rio Frayle - Puente Vía a Miranda,1255-2019,21/08/2019,10:15,Aguas Superficiales,21/08/2019 al 04/10/2019,1307 - 24/10/2019,S/D,858753.9,1093354.92,28,7.61,20,92.3,1.8,S/D,64,11.6,52.4,1.59,11.1,7.44,35,41.6,9.34,4.45,3.55,S/D,0.366,0.052,0.0898,0.134,0.0662,0.339,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,0.523,2400,930.0000000000001,S/D
Rio Frayle,2021,FLORIDA,Rio Frayle,Rio Frayle - Puente Vía a Miranda,0779-2021,09/08/2021,09:48,Aguas Superficiales,09/08/2021 al 04/10/2021 Fin de este Informe,0924 - 08/10/2021,S/D,858753.9,1093354.92,24,6.87,19.8,112,3.3,30,76,11.6,64.4,6.01,11,7.99,40.3,41.2,6.61,6.01,3.9,S/D,0.39,0.201,0.0101,0.202,0.116,0.296,0.0571,5.3,1.5,S/D,S/D,S/D,S/D,S/D,S/D,8.43,930000.0000000001,430000,S/D
Rio Frayle,2021,FLORIDA,Rio Frayle,Rio Frayle - Puente Vía a Miranda,1386-2021,24/11/2021,09:40,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1615 - 04/02/2022,S/D,858753.9,1093354.92,26,8.06,20,155,20,85.7,200,79,121,1.43,55,7.25,47.8,27,8.26,1.56,6.67,S/D,2.64,0.201,0.021,0.315,0.707,1.68,0.0571,10.4,2.55,S/D,S/D,S/D,S/D,S/D,S/D,12.1,46000000,24000000,S/D
Rio Frayle,2022,FLORIDA,Rio Frayle,Rio Frayle - Puente Vía a Miranda,0617-2022,12/05/2022,09:18,Aguas Superficiales,12/05/2022 al 06/06/2022 Fin de este informe,0700 - 01/07/2022,S/D,858753.9,1093354.92,24,7.04,19.8,130,180,62.5,380,358,22,6.35,96.9,6.9,240,37.9,9.58,3.4,4.02,5.73,0.25,0.221,0.015,0.202,0.0959,8.65,0.25,3.33,0.8,S/D,S/D,S/D,S/D,S/D,S/D,9.23,2400000,930000.0000000001,S/D
