Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Guabas,2016,GINEBRA,Rio Guabas,Rio Guabas - antes Mina La Victoria,0707-2016,27/07/2016,09:10,Aguas Superficiales,27/07/2016 al 05/09/2016,0758 - 07/09/2016,S/D,906066,1100001,24,8.14,12.4,125,2.1,S/D,138,11.6,126,2,9.8,7.79,62,50,12,4.86,0.96,S/D,1.16,1,0.0312,0.029,0.121,0.67,0.526,1.49,0.311,S/D,S/D,S/D,S/D,S/D,S/D,6.43,S/D,S/D,S/D
Rio Guabas,2016,GINEBRA,Rio Guabas,Rio Guabas - antes Mina La Victoria,1202-2016,26/10/2016,10:50,Aguas Superficiales,26/10/2016 al 28/11/2016,1579 - 30/12/2016,S/D,906066,1100001,22,8.19,18.3,120,9.7,S/D,115,19.6,95.4,1.85,30.7,7.63,286,76,14.4,9.72,3.07,S/D,1.68,0.82,0.0222,0.0248,0.16,0.67,0.526,2.42,5.28,S/D,S/D,S/D,S/D,S/D,S/D,6.71,430,230,S/D
Rio Guabas,2017,GINEBRA,Rio Guabas,Rio Guabas - antes Mina La Victoria,0409-2017,26/04/2017,11:15,Aguas Superficiales,26/04/2017 al 29/06/2017,0381 - 12/06/2017,S/D,906066,1100001,24,7.72,17.2,129,6.7,S/D,114,46,68,2.18,32.2,7.75,62.2,111,20,14.8,2.56,2.33,1.75,0.54,0.02,0.0562,0.0509,0.958,0.353,2.08,0.2,S/D,S/D,S/D,S/D,S/D,S/D,6.03,4300,4300,S/D
Rio Guabas,2017,GINEBRA,Rio Guabas,Rio Guabas - antes Mina La Victoria,1128-2017,23/08/2017,09:54,Aguas Superficiales,23/08/2017 al 25/09/2017,1130 - 27/09/2017,S/D,906066,1100001,28,7.99,18,139,2.45,S/D,302,11.6,290,2.63,11.1,7.73,89.7,81.6,18.4,8.66,7.43,S/D,S/D,0.78,0.122,0.24,0.165,S/D,0.109,S/D,0.954,S/D,S/D,S/D,S/D,S/D,S/D,5.4,930.0000000000001,90,S/D
Rio Guabas,2018,GINEBRA,Rio Guabas,Rio Guabas - antes Mina La Victoria,0437-2018,17/04/2018,11:17,Aguas Superficiales,17/04/2018 al 02/05/2018,0431 - 27/04/2018,S/D,906066,1100001,22,8.01,18.1,108,5.7,S/D,104,26,78,1.93,13.7,7.71,55.9,58.5,12.9,6.4,1.53,S/D,S/D,0.204,0.0898,0.134,0.14,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.81,430,430,S/D
Rio Guabas,2019,GINEBRA,Rio Guabas,Rio Guabas - Antes Mina La Victoria,0278-2019,03/04/2019,10:10,Aguas Superficiales,03/04/2019 al 23/05/2019,0303 - 28/05/2019,S/D,906056.26,1099877.04,18,7.82,12,105,21,S/D,90,21,69,1.65,11.1,7.63,55.2,50.2,11.6,5.16,0.862,S/D,S/D,0.485,0.0898,0.134,0.0662,0.79,0.353,0.982,0.61,S/D,S/D,S/D,S/D,S/D,S/D,2.36,750,750,S/D
Rio Guabas,2019,GINEBRA,Rio Guabas,Rio Guabas - Antes Mina La Victoria,1049-2019,31/07/2019,11:48,Aguas Superficiales,31/07/2019 al 20/08/2019,1110 - 24/09/2019,S/D,906056.26,1099877.04,29,7.91,20,132,4.4,S/D,120,14,106,1.41,11.1,6.25,41.7,65,14.2,7.17,1.12,S/D,0.366,0.242,0.0898,0.134,0.097,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,4.49,430,90,S/D
Rio Guabas,2020,GINEBRA,Rio Guabas,Rio Guabas - Antes Mina La Victoria,0599-2020,15/10/2020,12:40,Aguas Superficiales,15/10/2020 al 24/11/2020 Fin de este informe,0638 - 14/12/2020,S/D,906056.26,1099877.04,22,S/D,22.1,131,1.5,20,94,11.6,82.4,3.15,31.8,6.92,61,84.6,19.4,8.83,2.14,S/D,0.25,0.789,0.062,0.203,0.161,0.274,0.0571,3.72,0.8,S/D,S/D,S/D,S/D,S/D,S/D,5.39,9300,2300,S/D
Rio Guabas,2021,GINEBRA,Rio Guabas,Rio Guabas - Antes Mina La Victoria,1078-2021,22/09/2021,11:20,Aguas Superficiales,22/09/2021 al 22/11/2021 Fin de este Informe,1275 - 29/11/2021,S/D,906056.26,1099877.04,22,S/D,18,132,4.3,22.5,126,16,110,3.32,11,7.67,59.9,65.7,10,9.89,2.2,S/D,0.25,0.571,0.066,0.202,0.191,0.709,0.0571,2.9,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.93,9300,4300,S/D
Rio Guabas,2021,GINEBRA,Rio Guabas,Rio Guabas - Antes Mina La Victoria,1394-2021,24/11/2021,12:20,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1623 - 04/02/2022,S/D,906056.26,1099877.04,24,S/D,12,104,500,290,764,720,44,2.16,15.5,7.53,52.2,49.1,7.82,7.2,2.2,S/D,0.25,0.314,0.047,0.202,0.0959,57,0.596,2.63,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.11,459.9999999999999,459.9999999999999,S/D
Rio Guabas,2022,GINEBRA,Rio Guabas,Rio Guabas - Antes Mina La Victoria,0921-2022,17/06/2022,11:47,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1011 - 26/07/2022,S/D,906407.41,1100077.61,23,8.16,19,201,24,18.4,114,16,98,2.72,11,8.11,78.1,82.1,12.1,12.6,2.2,0.78,0.25,0.415,0.028,0.202,0.0959,1.31,0.0571,2.64,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.13,2300,400,S/D
Rio Guabas,2022,GINEBRA,Rio Guabas,Rio Guabas - Antes Mina La Victoria,1144-2022,16/08/2022,12:15,Aguas Superficiales,16/08/2022 al 13/09/2022 Fin de este informe,1249 - 20/09/2022,S/D,906407.41,1100077.61,21,8.23,20.3,106,11,9.33,112,18,94,4.81,11,7.61,63.8,70,12.2,9.6,2.2,1.01,0.25,0.473,0.048,0.202,0.155,0.697,0.0571,3.26,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.6,2400,430,S/D
Rio Guabas,2023,GINEBRA,Rio Guabas,Rio Guabas - Antes Mina La Victoria,0822-2023,20/06/2023,11:21,Aguas Superficiales,20/06/2023 al 04/08/2023 Fin de este informe,1178 - 10/10/2023,S/D,906407.41,1100077.61,25,8.23,19.2,126,11,12.6,110,20,90,4.44,15.1,7.2,90.1,67.3,11.4,9.46,2.2,1.44,0.25,0.654,0.047,0.202,0.322,1.19,0.0571,3.16,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.5,2400,2400,S/D
Rio Guabas,2023,GINEBRA,Rio Guabas,Rio Guabas - Antes Mina La Victoria,1055-2023,08/08/2023,12:05,Aguas Superficiales,08/08/2023 al 24/08/2023 Fin de este informe,1344 - 26/10/2023,S/D,906407.41,1100077.61,26,8.29,21.8,164,32,11.4,150,19,131,6.79,11,7.1,90.6,68.2,17,6.3,4.99,1.78,0.25,0.766,0.089,0.202,0.207,1.83,0.0851,6.06,0.908,S/D,S/D,S/D,S/D,S/D,S/D,4.04,9300,4300,S/D
Rio Guabas,2024,GINEBRA,Rio Guabas,Rio Guabas - Antes Mina La Victoria,0051-2024,07/03/2024,11:40,Aguas Superficiales,07/03/2024 al 07/06/2024 Fin de este informe,0353 - 19/04/2024,S/D,906407.41,1100077.61,26,7.5,19.9,122,7,7.46,46,11.7,34.3,2.44,12.4,7.36,87.5,61.3,11.5,7.9,2.5,S/D,S/D,0.755,0.054,0.326,0.12,0.444,0.0587,4.82,0.374,S/D,S/D,S/D,S/D,S/D,S/D,3.29,2400,930.0000000000001,S/D
Rio Guabas,2024,GINEBRA,Rio Guabas,Rio Guabas - Antes Mina La Victoria,1222-2024,12/08/2024,11:45,Aguas Superficiales,12/08/2024 al 02/09/2024 Fin de este informe,1383 - 09/09/2024,S/D,906407.41,1100077.61,22,8.01,17.8,144,10,11.3,126,16.3,110,3.73,12.4,8.2,65.5,61.2,12.9,7.07,2.5,1.09,S/D,0.524,0.037,0.326,0.097,0.471,0.0587,3.69,0.59,S/D,S/D,S/D,S/D,S/D,S/D,5.26,1500,1500,S/D
Rio Guabas,2025,S/D,Rio Guabas,Rio Guabas - Antes Mina La Victoria,0377-2025,07/05/2025,13:21,Simple - Protocolo IDEAM,07/05/2025 al 29/05/2025,0580 - 29/07/2025,1580,906407.41,1100077.61,28,8.26,17.5,112,24,12.2,S/D,S/D,S/D,2.36,14.4,7.93,59.1,57.6,11.9,6.79,2.5,1.11,S/D,0.395,0.02,0.326,0.0946,1.6,0.069,2.3,0.515,S/D,S/D,S/D,S/D,S/D,S/D,2.5,600,15000,S/D
