Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Guabas,2016,GUACARI,Rio Guabas,Rio Guabas - Antes desembocadura a Río Cauca,0711-2016,27/07/2016,11:15,Aguas Superficiales,27/07/2016 al 05/09/2016,0762 - 07/09/2016,S/D,908679,1077900,26,7.78,20.9,679,0.75,S/D,503,11.6,491,1.88,19.9,3.85,361,190,38.5,22.9,7,S/D,1.22,1.63,0.121,0.253,0.297,0.67,0.526,8.83,0.907,S/D,S/D,S/D,S/D,S/D,S/D,15.3,S/D,S/D,S/D
Rio Guabas,2016,GUACARI,Rio Guabas,Rio Guabas - Antes desembocadura a Río Cauca,1206-2016,26/10/2016,12:50,Aguas Superficiales,26/10/2016 al 28/11/2016,1583 - 30/12/2016,S/D,908679,1077900,28,8.1,23.2,149,66,S/D,226,134,92,1.19,22.2,7.63,331,84,17.2,9.97,5.18,S/D,1.63,1.2,0.0166,0.0248,0.1,0.67,0.526,3.01,5.34,S/D,S/D,S/D,S/D,S/D,S/D,11.3,24000,1500,S/D
Rio Guabas,2017,GUACARI,Rio Guabas,Rio Guabas - Antes desembocadura a Río Cauca,0413-2017,26/04/2017,01:19,Aguas Superficiales,26/04/2017 al 29/06/2017,0385 - 12/06/2017,S/D,908679,1077900,25,7.95,23.7,163,24,S/D,220,192,28,2.1,22.3,7.53,71,79.6,15.6,9.87,2.81,2.11,1.79,1.33,0.017,0.0562,0.0509,1.26,0.353,2.28,0.251,S/D,S/D,S/D,S/D,S/D,S/D,6.48,3600,3600,S/D
Rio Guabas,2017,GUACARI,Rio Guabas,Rio Guabas - Antes desembocadura a Río Cauca,1132-2017,23/08/2017,11:45,Aguas Superficiales,23/08/2017 al 25/09/2017,1134 - 27/09/2017,S/D,908679,1077900,30,7.8,24,677,3.25,S/D,484,11.6,472,2.91,23.2,5.19,35.5,402,81.4,48.4,14.8,S/D,S/D,2.05,0.122,0.24,0.243,S/D,0.224,S/D,1.01,S/D,S/D,S/D,S/D,S/D,S/D,16.8,46000,9300,S/D
Rio Guabas,2018,GUACARI,Rio Guabas,Rio Guabas - Antes desembocadura a Río Cauca,0441-2018,17/04/2018,01:06,Aguas Superficiales,17/04/2018 al 02/05/2018,0435 - 27/04/2018,S/D,908679,1077900,27,8.06,21.9,136,25,S/D,234,134,100,2.02,32.2,7.32,71.9,70.2,12.5,9.48,1.62,S/D,S/D,0.204,0.0898,0.134,0.182,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5.78,24000,9300,S/D
Rio Guabas,2019,GUACARI,Rio Guabas,Rio Guabas - Antes desembocadura a Río Cauca,0282-2019,03/04/2019,11:54,Aguas Superficiales,03/04/2019 al 23/05/2019,0307 - 28/05/2019,S/D,908679.17,1077900.84,25,7.93,16,154,70,S/D,198,79,119,2.06,11.1,7.66,78.8,73.3,12.4,10.3,0.905,S/D,S/D,0.592,0.0898,0.134,0.072,0.865,0.353,2.3,0.702,S/D,S/D,S/D,S/D,S/D,S/D,3.6,24000,24000,S/D
Rio Guabas,2019,GUACARI,Rio Guabas,Rio Guabas - Antes desembocadura a Río Cauca,1053-2019,31/07/2019,02:20,Aguas Superficiales,31/07/2019 al 20/08/2019,1114 - 24/09/2019,S/D,908679.17,1077900.84,31,7.84,26,682,2.2,S/D,434,11.6,422,2.03,11.1,4.09,362,343,73.3,38.9,6.38,S/D,0.366,0.604,0.0898,0.134,0.225,0.318,0.353,9.88,1.27,S/D,S/D,S/D,S/D,S/D,S/D,13.3,930000.0000000001,230000,S/D
Rio Guabas,2020,GUACARI,Rio Guabas,Rio Guabas - Antes desembocadura a Río Cauca,0603-2020,15/10/2020,02:30,Aguas Superficiales,15/10/2020 al 24/11/2020 Fin de este informe,0642 - 14/12/2020,S/D,908679.17,1077900.84,30,S/D,27.5,612,1.4,22.1,384,11.6,372,3.08,49.1,2.73,346,370,89,36,5.47,S/D,0.25,1.48,0.071,0.203,0.226,0.133,0.11,11.5,1.01,S/D,S/D,S/D,S/D,S/D,S/D,13.1,93000,43000,S/D
Rio Guabas,2021,GUACARI,Rio Guabas,Rio Guabas - Antes desembocadura a Río Cauca,1082-2021,22/09/2021,01:20,Aguas Superficiales,22/09/2021 al 22/11/2021 Fin de este Informe,1279 - 29/11/2021,S/D,908679.17,1077900.84,30,S/D,24,347,85,197,354,122,232,5.64,30.7,5.21,255,192,32.9,26.7,5.73,S/D,0.25,2.9,0.071,0.252,0.0959,7.18,0.158,5.76,5.48,S/D,S/D,S/D,S/D,S/D,S/D,9.27,500000,23000,S/D
Rio Guabas,2021,GUACARI,Rio Guabas,Rio Guabas - Antes desembocadura a Río Cauca,1398-2021,24/11/2021,02:15,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1627 - 04/02/2022,S/D,908679.17,1077900.84,24,S/D,18,118,1300,1012,1858,1790,68,1.52,29.9,7.52,55.9,60.9,11.1,8.05,2.2,S/D,0.25,0.581,0.064,0.202,0.0959,86.1,1.18,2.88,0.891,S/D,S/D,S/D,S/D,S/D,S/D,3.89,2400,2400,S/D
