Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Guabas,2016,GINEBRA,Rio Guabas,Rio Guabas - puente Rojo - Bocatoma Acueducto de Ginebra,0710-2016,27/07/2016,10:19,Aguas Superficiales,27/07/2016 al 05/09/2016,0761 - 07/09/2016,S/D,908355,1094135,24,8.36,21.7,134,1.6,S/D,146,11.6,134,1.12,9.07,7.51,66.9,58,6.81,0.59,S/D,1.16,1.5,3.1,0.0246,0.0248,0.076,0.67,0.526,1.19,0.348,S/D,S/D,S/D,S/D,S/D,S/D,6.43,S/D,S/D,S/D
Rio Guabas,2016,GINEBRA,Rio Guabas,Rio Guabas - puente Rojo - Bocatoma Acueducto de Ginebra,1205-2016,26/10/2016,11:50,Aguas Superficiales,26/10/2016 al 28/11/2016,1582 - 30/12/2016,S/D,908355,1094135,28,8.23,20.2,116,21.1,S/D,126,19.6,106,1.1,12.6,7.73,253,62,13.2,7.05,4.93,S/D,1.68,1.21,0.0124,0.0248,0.06,0.67,0.526,2.65,4.38,S/D,S/D,S/D,S/D,S/D,S/D,7.85,430,230,S/D
Rio Guabas,2017,GINEBRA,Rio Guabas,Rio Guabas - puente Rojo - Bocatoma Acueducto de Ginebra,0412-2017,26/04/2017,12:35,Aguas Superficiales,26/04/2017 al 29/06/2017,0384 - 12/06/2017,S/D,908355,1094135,24,8.19,19.2,123,12.8,S/D,128,25,103,1.84,14.4,7.66,63.6,83.6,15.2,11.1,2.14,2.02,1.69,0.9,0.014,0.0562,0.0509,0.803,0.353,2,0.2,S/D,S/D,S/D,S/D,S/D,S/D,7,14200,5100,S/D
Rio Guabas,2017,GINEBRA,Rio Guabas,Rio Guabas - puente Rojo - Bocatoma Acueducto de Ginebra,1131-2017,23/08/2017,10:45,Aguas Superficiales,23/08/2017 al 25/09/2017,1133 - 27/09/2017,S/D,908355,1094135,32,7.96,20,143,1.15,S/D,102,11.6,90.4,1.47,16.9,7.44,88,82.6,19.2,8.41,8.66,S/D,S/D,0.9,0.122,0.24,0.084,S/D,0.109,S/D,0.443,S/D,S/D,S/D,S/D,S/D,S/D,7.31,11000,930.0000000000001,S/D
Rio Guabas,2018,GINEBRA,Rio Guabas,Rio Guabas - puente Rojo - Bocatoma Acueducto de Ginebra,0440-2018,17/04/2018,12:06,Aguas Superficiales,17/04/2018 al 02/05/2018,0434 - 27/04/2018,S/D,908355,1094135,24,8.33,18.1,114,10,S/D,124,45,79,2.19,15.1,7.73,58.1,44.8,11.7,3.79,2.19,S/D,S/D,0.204,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7.56,11000,930.0000000000001,S/D
Rio Guabas,2019,GINEBRA,Rio Guabas,Rio Guabas - Puente Rojo - Bocatoma Acueducto de Ginebra,0281-2019,03/04/2019,11:10,Aguas Superficiales,03/04/2019 al 23/05/2019,0306 - 28/05/2019,S/D,908284.76,1094051.34,20,8,14,112,33,S/D,118,42,76,1.53,11.1,7.66,56.5,52.1,11.6,5.63,0.862,S/D,S/D,0.471,0.0898,0.134,0.0662,0.782,0.353,1.4,0.743,S/D,S/D,S/D,S/D,S/D,S/D,2.83,24000,24000,S/D
Rio Guabas,2019,GINEBRA,Rio Guabas,Rio Guabas - Puente Rojo - Bocatoma Acueducto de Ginebra,1052-2019,31/07/2019,01:05,Aguas Superficiales,31/07/2019 al 20/08/2019,1113 - 24/09/2019,S/D,908284.76,1094051.34,30,8.11,21,136,4.5,S/D,106,11.6,94.4,1,11.1,6.93,75.1,65,10.2,9.63,0.862,S/D,0.366,0.165,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,4.57,2100,900,S/D
Rio Guabas,2020,GINEBRA,Rio Guabas,Rio Guabas - Puente Rojo - Bocatoma Acueducto de Ginebra,0602-2020,15/10/2020,01:45,Aguas Superficiales,15/10/2020 al 24/11/2020 Fin de este informe,0641 - 14/12/2020,S/D,908284.76,1094051.34,25,S/D,23.5,138,1.1,16.6,96,11.6,84.4,1.81,41.9,6.92,62.6,86.4,22,7.63,2.14,S/D,0.25,0.947,0.04,0.203,0.129,0.246,0.0571,3.63,0.8,S/D,S/D,S/D,S/D,S/D,S/D,6,2300,2300,S/D
Rio Guabas,2022,GINEBRA,Rio Guabas,Rio Guabas - Puente Rojo - Bocatoma Acueducto de Ginebra,0924-2022,17/06/2022,12:48,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1014 - 26/07/2022,S/D,908272.88,1094044.93,22,8.18,18.8,113,36,8.54,132,35,97,2.29,11,8.09,81.5,74.7,13,10.3,2.2,0.784,0.25,0.526,0.025,0.202,0.0959,1.64,0.0571,2.72,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.48,7500,4300,S/D
Rio Guabas,2022,GINEBRA,Rio Guabas,Rio Guabas - Puente Rojo - Bocatoma Acueducto de Ginebra,1147-2022,16/08/2022,01:16,Aguas Superficiales,16/08/2022 al 13/09/2022 Fin de este informe,1252 - 20/09/2022,S/D,908272.88,1094044.93,20,8.2,20.8,111,12,34.4,116,22,94,2.88,11,7.55,66.1,72.2,13.2,9.55,2.2,0.987,0.25,0.542,0.037,0.202,0.126,0.443,0.0571,3.21,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.85,9300,9300,S/D
