Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Guabas,2017,GINEBRA,Rio Guabas,Rio Guabas - Puente despues Mina La Victoria,0410-2017,26/04/2017,11:55,Aguas Superficiales,26/04/2017 al 29/06/2017,0382 - 12/06/2017,S/D,906663,1097877,24,7.74,17.5,120,5.5,S/D,126,65,61,1.82,22.3,7.43,61.1,69.7,12.4,9.41,2.27,1.94,1.89,0.54,0.015,0.0562,0.0509,0.67,0.353,1.93,0.2,S/D,S/D,S/D,S/D,S/D,S/D,6.79,9300,9300,S/D
Rio Guabas,2017,GINEBRA,Rio Guabas,Rio Guabas - Puente despues Mina La Victoria,1129-2017,23/08/2017,10:20,Aguas Superficiales,23/08/2017 al 25/09/2017,1131 - 27/09/2017,S/D,906663,1097877,28,8.23,18,143,2.65,S/D,258,11.6,246,2.98,16.1,7.65,81.1,81.6,16.8,9.63,10.4,S/D,S/D,1.04,0.122,0.24,0.148,S/D,0.109,S/D,1.05,S/D,S/D,S/D,S/D,S/D,S/D,7.13,4600,2400,S/D
Rio Guabas,2019,GINEBRA,Rio Guabas,Rio Guabas - Puente despues Mina La Victoria,0279-2019,03/04/2019,10:32,Aguas Superficiales,03/04/2019 al 23/05/2019,0304 - 28/05/2019,S/D,906663.71,1097877.49,20,7.98,12,113,33,S/D,124,34,90,1.69,11.1,7.74,53.3,50.2,11.2,5.39,0.862,S/D,S/D,0.554,0.0898,0.134,0.0662,0.601,0.353,1.5,0.546,S/D,S/D,S/D,S/D,S/D,S/D,3.83,4600,210,S/D
Rio Guabas,2021,GINEBRA,Rio Guabas,Rio Guabas - Puente despues Mina La Victoria,1079-2021,22/09/2021,11:50,Aguas Superficiales,22/09/2021 al 22/11/2021 Fin de este Informe,1276 - 29/11/2021,S/D,906663.71,1097877.49,23,S/D,19,128,7.3,26.5,134,19,115,3.78,11,7.4,58.9,57.2,11.7,6.83,2.2,S/D,0.25,0.605,0.061,0.202,0.204,0.954,0.0571,3.06,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.79,930.0000000000001,930.0000000000001,S/D
Rio Guabas,2021,GINEBRA,Rio Guabas,Rio Guabas - Puente despues Mina La Victoria,1395-2021,24/11/2021,12:45,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1624 - 04/02/2022,S/D,906663.71,1097877.49,23,S/D,12,101,1100,820,1858,1700,158,1.33,11,8.52,50.9,50.6,6.41,8.41,2.2,S/D,0.25,0.394,0.058,0.202,0.0959,138,1.59,2.7,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.63,430,150,S/D
Rio Guabas,2022,GINEBRA,Rio Guabas,Rio Guabas - Puente despues Mina La Victoria,0922-2022,17/06/2022,12:10,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1012 - 26/07/2022,S/D,906663.71,1097877.49,23,8.11,19.1,108,31,57.4,134,22,112,3.14,11,8,77.6,93.8,12.9,15,2.2,0.923,0.25,0.445,0.027,0.202,0.0959,1.34,0.0571,2.67,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.76,4300,2300,S/D
Rio Guabas,2022,GINEBRA,Rio Guabas,Rio Guabas - Puente despues Mina La Victoria,1145-2022,16/08/2022,12:35,Aguas Superficiales,16/08/2022 al 13/09/2022 Fin de este informe,1250 - 20/09/2022,S/D,906663.71,1097877.49,27,8.12,19.1,105,9.6,19.2,64,20,44,2.97,11,7.61,62.6,61.1,11.8,7.68,2.2,1.01,0.25,0.477,0.042,0.202,0.135,0.574,0.0571,3.21,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.67,15000,7500,S/D
Rio Guabas,2023,GINEBRA,Rio Guabas,Rio Guabas - Puente despues Mina La Victoria,0823-2023,20/06/2023,11:42,Aguas Superficiales,20/06/2023 al 04/08/2023 Fin de este informe,1179 - 10/10/2023,S/D,906663.71,1097877.49,26,8.27,20,128,11,12.7,98,15,83,3,60.9,7.38,90.2,61.9,14.5,6.22,2.2,1.41,0.25,0.634,0.05,0.202,0.423,0.814,0.0571,3.56,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.5,4600,1500,S/D
Rio Guabas,2023,GINEBRA,Rio Guabas,Rio Guabas - Puente despues Mina La Victoria,1056-2023,08/08/2023,12:35,Aguas Superficiales,08/08/2023 al 24/08/2023 Fin de este informe,1345 - 26/10/2023,S/D,906663.71,1097877.49,27,8.33,23.3,142,6.5,10.5,104,11.6,92.4,2.91,11,7.05,63.9,69.5,13.1,8.95,2.2,1.07,0.25,0.677,0.063,0.202,0.0946,0.421,0.0571,4.11,0.8,S/D,S/D,S/D,S/D,S/D,S/D,15,2400,430,S/D
Rio Guabas,2024,GINEBRA,Rio Guabas,Rio Guabas - Puente despues Mina La Victoria,0052-2024,07/03/2024,12:00,Aguas Superficiales,07/03/2024 al 12/04/2024 Fin de este informe,0354 - 19/04/2024,S/D,906663.71,1097877.49,27,7.49,21.3,119,6.8,6.22,100,11.7,88.3,2.05,12.4,7.44,73.2,58.9,13.2,6.32,2.5,S/D,S/D,0.706,0.047,0.326,0.0946,0.386,0.0587,4.59,0.342,S/D,S/D,S/D,S/D,S/D,S/D,3.23,230,93,S/D
