Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Guabas,2016,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,0709-2016,27/07/2016,10:05,Aguas Superficiales,27/07/2016 al 05/09/2016,0760 - 07/09/2016,S/D,1095215,908685,24,8.31,22.8,116,0.4,S/D,118,11.6,106,0.954,9.07,7.4,57.4,48,17.6,0.972,0.71,S/D,1.15,0.47,0.00748,0.0248,0.116,0.67,0.526,1.18,0.301,S/D,S/D,S/D,S/D,S/D,S/D,6.43,S/D,S/D,S/D
Rio Guabas,2016,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,1204-2016,26/10/2016,11:40,Aguas Superficiales,26/10/2016 al 28/11/2016,1581 - 30/12/2016,S/D,908685,1095215,28,S/D,22.5,90,18.1,S/D,118,45.6,72.4,0.954,17.4,7.77,195,68,12.8,8.75,4.91,S/D,1.57,1.21,0.00748,0.0248,0.08,0.67,0.526,2.37,4.25,S/D,S/D,S/D,S/D,S/D,S/D,6.88,230,36,S/D
Rio Guabas,2017,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,0411-2017,26/04/2017,12:18,Aguas Superficiales,26/04/2017 al 29/06/2017,0383 - 12/06/2017,S/D,908685,1095215,24,7.61,19,107,0.405,S/D,64,11.6,52.4,1.66,12.5,7.56,55.2,59.7,12.8,6.73,2.25,1.76,1.71,0.89,0.00973,0.0562,0.0509,0.67,0.353,2.29,0.2,S/D,S/D,S/D,S/D,S/D,S/D,5.54,360,300,S/D
Rio Guabas,2017,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,1130-2017,23/08/2017,10:37,Aguas Superficiales,23/08/2017 al 25/09/2017,1132 - 27/09/2017,S/D,908685,1095215,32,7.86,24,129,0.435,S/D,102,11.6,90.4,1.31,14.1,7.05,71.3,78.6,17.6,8.41,8.76,S/D,S/D,0.77,0.122,0.24,0.0662,S/D,0.109,S/D,0.481,S/D,S/D,S/D,S/D,S/D,S/D,7.65,90,36,S/D
Rio Guabas,2018,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,0439-2018,17/04/2018,11:50,Aguas Superficiales,17/04/2018 al 24/05/2018,0433 - 27/04/2018,S/D,908685,1095215,23,8.18,20.5,95.1,5.6,S/D,42,11.6,30.4,1.25,12.1,7.49,47.2,44.8,11.3,4.03,1.64,S/D,S/D,0.204,0.0898,0.134,0.078,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.4,430,36,S/D
Rio Guabas,2019,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,0280-2019,03/04/2019,10:50,Aguas Superficiales,03/04/2019 al 23/05/2019,0305 - 28/05/2019,S/D,908530.21,1095206.93,24,7.96,14,96.2,1.8,S/D,90,11.6,78.4,1.28,11.1,7.52,44.8,42.5,11.2,3.52,0.862,S/D,S/D,0.597,0.0898,0.134,0.0662,0.318,0.353,1.08,0.458,S/D,S/D,S/D,S/D,S/D,S/D,4.18,4600,4600,S/D
Rio Guabas,2019,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,1051-2019,31/07/2019,12:45,Aguas Superficiales,31/07/2019 al 20/08/2019,1112 - 24/09/2019,S/D,908530.21,1095206.93,29,7.98,21,119,0.95,S/D,48,11.6,36.4,1.03,11.1,6.73,60,54.8,13.8,4.94,1.35,S/D,0.366,0.18,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,5.6,230,90,S/D
Rio Guabas,2020,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,0601-2020,15/10/2020,01:30,Aguas Superficiales,15/10/2020 al 24/11/2020 Fin de este informe,0640 - 14/12/2020,S/D,908530.21,1095206.93,23,S/D,24.5,126,0.6,8.05,74,11.6,62.4,1.03,28,6.71,55.6,81.1,22.3,6.2,2.14,S/D,0.25,0.622,0.013,0.203,0.0935,0.133,0.0571,3.02,0.8,S/D,S/D,S/D,S/D,S/D,S/D,7.84,430,430,S/D
Rio Guabas,2021,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,1080-2021,22/09/2021,12:10,Aguas Superficiales,22/09/2021 al 22/11/2021 Fin de este Informe,1277 - 29/11/2021,S/D,908530.21,1095206.93,23,S/D,19,131,1.7,15,120,11.6,108,1.36,11,7.54,58.9,60.7,15.4,5.42,2.2,S/D,0.25,0.399,0.0101,0.202,0.0959,0.133,0.0571,2.46,0.8,S/D,S/D,S/D,S/D,S/D,S/D,5.57,930.0000000000001,230,S/D
Rio Guabas,2021,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,1396-2021,24/11/2021,01:10,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1625 - 04/02/2022,S/D,908530.21,1095206.93,23,S/D,15,104,700,366,1978,1970,8,0.828,11,7.6,48.5,50.4,11.7,5.18,2.2,S/D,0.25,0.627,0.038,0.202,0.0959,42.2,0.643,2.37,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.62,930.0000000000001,930.0000000000001,S/D
Rio Guabas,2022,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,0923-2022,17/06/2022,12:33,Aguas Superficiales,17/06/2022 al 21/07/2022 Fin de este informe,1013 - 26/07/2022,S/D,908685,1095215,22,8.11,20.8,119,60,50.2,178,73,105,1.8,11,7.44,82.4,77.5,16.7,8.7,2.2,0.825,0.25,0.515,0.01007,0.202,0.0959,2.42,0.0571,2.84,0.8,S/D,S/D,S/D,S/D,S/D,S/D,5.15,930.0000000000001,900,S/D
Rio Guabas,2022,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,1146-2022,16/08/2022,12:56,Aguas Superficiales,16/08/2022 al 13/09/2022 Fin de este informe,1251 - 20/09/2022,S/D,908685,1095215,20,8.22,21.6,109,9.5,38.4,78,11.6,66.4,1.07,11,7.27,63.6,58.2,16.2,4.3,2.2,0.7,0.25,0.493,0.01007,0.202,0.0959,0.36,0.0571,2.92,0.8,S/D,S/D,S/D,S/D,S/D,S/D,5.33,2300,400,S/D
Rio Guabas,2023,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,0824-2023,20/06/2023,12:05,Aguas Superficiales,20/06/2023 al 04/08/2023 Fin de este informe,1180 - 10/10/2023,S/D,908685,1095215,26,8.23,24.1,133,1.7,10.2,92,11.6,80.4,1.3,11,6.9,91.8,60,17,4.28,2.2,0.788,0.25,0.53,0.0101,0.202,0.128,0.268,0.0571,2.68,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.5,750,230,S/D
Rio Guabas,2023,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,1057-2023,08/08/2023,12:57,Aguas Superficiales,08/08/2023 al 24/08/2023 Fin de este informe,1346 - 26/10/2023,S/D,908685,1095215,28,*,25.9,137,1.5,6.22,106,11.6,94.4,1.47,11,6.8,85.8,70,17.9,6.18,2.2,0.488,0.25,0.482,0.0101,0.202,0.0946,0.133,0.0571,3.15,0.8,S/D,S/D,S/D,S/D,S/D,S/D,5.59,230,36,S/D
Rio Guabas,2024,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,0053-2024,07/03/2024,12:30,Aguas Superficiales,07/03/2024 al 12/04/2024 Fin de este informe,0355 - 19/04/2024,S/D,908685,1095215,26,7.38,23.5,128,1.6,6.22,54,11.7,42.3,1.14,12.4,6.91,67.2,58.2,15.2,4.91,2.5,S/D,S/D,0.483,0.0101,0.326,0.0946,0.147,0.0587,3.02,0.344,S/D,S/D,S/D,S/D,S/D,S/D,3.11,2400,240,S/D
Rio Guabas,2024,GINEBRA,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,1224-2024,12/08/2024,12:25,Aguas Superficiales,12/08/2024 al 02/09/2024 Fin de este informe,1385 - 09/09/2024,S/D,908685,1095215,26,7.93,21.6,126,0.75,6.22,96,11.7,84.3,2.07,12.4,7.83,70.5,57.2,14.9,4.84,2.5,0.844,S/D,0.35,0.0101,0.326,0.0946,0.124,0.0587,3.11,0.403,S/D,S/D,S/D,S/D,S/D,S/D,6.27,150,3,S/D
Rio Guabas,2025,S/D,Rio Guabas,Rio Guabas - Quebrada Los Lulos - Antes desembocadura a rio Guabas,0379-2025,07/05/2025,14:05,Simple - Protocolo IDEAM,07/05/2025 al 29/05/2025,0582 - 29/07/2025,1245,908685,1095215,24,8.14,19.9,102,4.7,6.22,S/D,S/D,S/D,1.18,12.4,7.52,54.1,53.8,12.1,5.73,2.5,1.05,S/D,0.474,0.0101,0.326,0.0946,0.239,0.114,2.33,0.733,S/D,S/D,S/D,S/D,S/D,S/D,2.5,184,430,S/D
