Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Guachal,2016,PALMIRA,Rio Guachal,Rio Guachal - Antes Desembocadura a Rio Cauca,0499-2016,14/06/2016,02:50,Aguas Superficiales,14/06/2016 al 28/07/2016,0537 - 01/08/2016,S/D,888483.783,1069415.273,32,7.75,27.1,450,21,S/D,336,68.6,267,3.42,90.2,2.8,107,100,20.8,11.7,56.9,S/D,1.6,0.744,0.0455,0.204,0.407,3.99,0.526,34.2,3.82,S/D,S/D,S/D,S/D,S/D,S/D,21.9,230,230,S/D
Rio Guachal,2016,PALMIRA,Rio Guachal,Rio Guachal - Antes Desembocadura a Rio Cauca,1276-2016,31/10/2016,01:40,Aguas Superficiales,31/10/2016 al 02/12/2016,1377 - 30/12/2016,S/D,888483.783,1069415.273,30,7.18,24.2,449,45,S/D,400,217,183,6.91,26.8,1.17,158,169,34.5,20.2,28.1,S/D,2.88,2.72,0.0472,0.368,0.64,11.7,0.526,15.5,21.5,S/D,S/D,S/D,S/D,S/D,S/D,26.7,9300,1500,S/D
Rio Guachal,2017,PALMIRA,Rio Guachal,Rio Guachal - Antes Desembocadura a Rio Cauca,0408-2017,26/04/2017,01:25,Aguas Superficiales,26/04/2017 al 30/05/2017,0380 - 12/06/2017,S/D,888483.783,1069415.273,22,7.47,18,232,27,S/D,420,87,333,13.9,768,2,182,215,46.1,24.3,10.9,S/D,3.07,1.48,0.074,0.401,0.487,1.72,0.353,11.3,3,S/D,S/D,S/D,S/D,S/D,S/D,38.1,1100000,459999.9999999999,S/D
Rio Guachal,2017,PALMIRA,Rio Guachal,Rio Guachal - Antes Desembocadura a Rio Cauca,1124-2017,22/08/2017,01:20,Aguas Superficiales,22/08/2017 al 25/09/2017,1126 - 27/09/2017,S/D,888483.783,1069415.273,34,7.51,22,547,23,S/D,460,104,356,8.59,47.6,1.91,157,185,42.9,19,67.3,S/D,S/D,0.58,0.122,0.24,0.522,S/D,0.304,S/D,3.65,S/D,S/D,S/D,S/D,S/D,S/D,30.6,1500000,930000.0000000001,S/D
Rio Guachal,2018,PALMIRA,Rio Guachal,Rio Guachal - Antes Desembocadura a Rio Cauca,0398-2018,16/04/2018,08:30,Aguas Superficiales,16/04/2018 al 02/05/2018,0392 - 27/04/2018,S/D,888483.783,1069415.273,28,7.63,23.2,264,29,S/D,548,357,191,6.95,59,3.34,132,120,32.3,9.67,8.21,S/D,S/D,0.904,0.295,0.134,0.238,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,28.3,46000,9300,S/D
Rio Guachal,2019,PALMIRA,Rio Guachal,Rio Guachal - Antes Desembocadura a Rio Cauca,0258-2019,02/04/2019,12:21,Aguas Superficiales,02/04/2019 al 22/05/2019,0287 - 28/05/2019,S/D,886478.16,1069365.4,28,7.13,26.3,238,*,S/D,2350,2290,60,19.1,82.8,1.06,99.3,122,27.1,13.1,3.77,S/D,S/D,0.159,0.0898,0.134,0.549,6.51,1.25,9.68,4.39,S/D,S/D,S/D,S/D,S/D,S/D,24,2400000,2400000,S/D
Rio Guachal,2019,PALMIRA,Rio Guachal,Rio Guachal - Antes Desembocadura a Rio Cauca,1258-2019,21/08/2019,01:20,Aguas Superficiales,21/08/2019 al 04/10/2019,1310 - 24/10/2019,S/D,886478.16,1069365.4,32,7.77,25,315,18.8,S/D,216,31,185,4.64,11.1,3.81,111,125,26.1,14.6,14.2,S/D,1.01,1.04,0.0898,0.134,0.462,0.849,0.353,11.9,3.51,S/D,S/D,S/D,S/D,S/D,S/D,21.3,43000,9000,S/D
Rio Guachal,2021,PALMIRA,Rio Guachal,Rio Guachal - Antes Desembocadura a Rio Cauca,0782-2021,09/08/2021,12:59,Aguas Superficiales,09/08/2021 al 04/10/2021 Fin de este Informe,0927 - 08/10/2021,S/D,886478.16,1069365.4,26,7.69,22.9,469,33,49,358,89,269,16.6,32.2,1.2,203,197,47.3,19.2,14.4,S/D,2.35,0.35,0.171,0.202,0.439,3.5,0.294,26.4,6.06,S/D,S/D,S/D,S/D,S/D,S/D,30.9,430000,230000,S/D
Rio Guachal,2021,PALMIRA,Rio Guachal,Rio Guachal - Antes Desembocadura a Rio Cauca,1389-2021,24/11/2021,01:19,Aguas Superficiales,24/11/2021 al 13/01/2022 Fin de este Informe,1618 - 04/02/2022,S/D,886478.16,1069365.4,30,7.72,23,301,85,147,536,337,199,10.9,38.5,2.29,131,137,27.6,16.6,8.55,S/D,0.997,0.523,0.051,0.202,0.0959,14.5,0.238,11.8,4.33,S/D,S/D,S/D,S/D,S/D,S/D,17.8,4600000,1500000,S/D
Rio Guachal,2022,PALMIRA,Rio Guachal,Rio Guachal - Antes Desembocadura a Rio Cauca,0620-2022,12/05/2022,02:03,Aguas Superficiales,12/05/2022 al 06/06/2022 Fin de este informe,0703 - 01/07/2022,S/D,886478.16,1069365.4,30,7.22,24,279,390,214,730,285,445,7.49,41.5,4.1,296,134,28.1,15.5,5.29,2.44,0.505,0.61,0.084,S/D,0.0959,20,0.421,5.29,0.924,S/D,S/D,S/D,S/D,S/D,S/D,12.4,15000000,15000000,S/D
