Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Guadalajara,2016,BUGA,Rio Guadalajara,Rio Guadalajara - Antes desembocadura de Quebrada La Magdalena - puente Colgante,0577-2016,29/06/2016,11:05,Aguas Superficiales,29/06/2016 al 26/07/2016,0663 - 22/08/2016,S/D,920657,1098217.79,26,S/D,24.2,96.7,3,S/D,44,11.6,32.4,1.6,21.2,7.46,57.7,36,6.41,4.86,0.283,S/D,1.23,0.15,0.00748,0.0248,0.0509,0.67,0.526,2.51,0.311,S/D,S/D,S/D,S/D,S/D,S/D,6.43,4300,4300,S/D
Rio Guadalajara,2016,BUGA,Rio Guadalajara,Rio Guadalajara - Antes desembocadura de Quebrada La Magdalena - puente Colgante,1257-2016,31/10/2016,10:55,Aguas Superficiales,31/10/2016 al 30/11/2016,1358 - 30/12/2016,S/D,920657,1098217.79,26,8.03,24,95,4.7,S/D,90,11.6,78.4,0.954,9.07,6.71,48.5,55,11.6,6.32,4.46,S/D,1.74,0.28,0.00748,0.0248,0.0509,0.67,0.526,2.68,3.26,S/D,S/D,S/D,S/D,S/D,S/D,6.43,2400,230,S/D
Rio Guadalajara,2017,BUGA,Rio Guadalajara,Rio Guadalajara - Antes desembocadura de Quebrada La Magdalena - puente Colgante,0200-2017,04/04/2017,10:32,Aguas Superficiales,04/04/2017 al 21/04/2017,0189 - 02/05/2017,S/D,920657,1098217.79,21,8.05,17.1,87.9,4.3,S/D,88,11.6,76.4,0.954,17.6,7.38,55.9,47,15.2,2.19,0.281,1.57,1.1,0.36,0.00973,0.0562,0.0509,0.67,0.353,0.626,0.356,S/D,S/D,S/D,S/D,S/D,S/D,6.3,*,*,S/D
Rio Guadalajara,2017,BUGA,Rio Guadalajara,Rio Guadalajara - Antes desembocadura de Quebrada La Magdalena - puente Colgante,1016-2017,09/08/2017,11:12,Aguas Superficiales,09/08/2017 al 31/08/2017,1015 - 25/09/2017,S/D,920657,1098217.79,23,7.9,17.7,114,1.8,S/D,114,14,100,0.85,39.2,7.47,67.3,65.7,12.8,8.19,2.69,S/D,S/D,0.381,0.122,0.24,0.0662,0.472,0.353,0.634,0.2,S/D,S/D,S/D,S/D,S/D,S/D,2.95,110,73,S/D
Rio Guadalajara,2018,BUGA,Rio Guadalajara,Rio Guadalajara - Antes desembocadura de Quebrada La Magdalena - puente Colgante,0362-2018,10/04/2018,11:52,Aguas Superficiales,10/04/2018 al 02/05/2018,0356 - 27/04/2018,S/D,920657,1098217.79,22,8.09,18.5,91.3,11,S/D,78,24,54,0.641,11.1,7.61,48.2,36.9,9.33,3.3,1.37,S/D,S/D,0.449,0.0898,0.0933,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.84,2100,230,S/D
Rio Guadalajara,2018,BUGA,Rio Guadalajara,Rio Guadalajara - Antes desembocadura de Quebrada La Magdalena - puente Colgante,1080-2018,09/08/2018,09:32,Aguas Superficiales,09/08/2018 al 22/08/2018,1045 - 03/09/2018,S/D,920657,1098217.79,22,8.33,18.4,112,4.2,S/D,90,11.6,78.4,0.228,11.1,7.75,50.4,44,12,3.41,3.56,S/D,S/D,0.73,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.39,150,73,S/D
Rio Guadalajara,2019,BUGA,Rio Guadalajara,Rio Guadalajara - Antes desembocadura de Quebrada La Magdalena - puente Colgante,0434-2019,25/04/2019,11:25,Aguas Superficiales,25/04/2019 al 25/06/2019,0509 - 08/07/2019,S/D,920981.72,1097828.79,25,7.7,17,81.4,95,S/D,182,123,59,1.77,14,7.44,40.3,34,8.33,3.22,0.862,S/D,S/D,0.327,0.0898,0.134,0.0662,1.95,0.353,3,0.666,S/D,S/D,S/D,S/D,S/D,S/D,1.76,4300,4300,S/D
Rio Guadalajara,2019,BUGA,Rio Guadalajara,Rio Guadalajara - Antes desembocadura de Quebrada La Magdalena - puente Colgante,0987-2019,25/07/2019,11:47,Aguas Superficiales,25/07/2019 al 17/09/2019,0983 - 09/09/2019,S/D,920981.72,1097828.79,26,S/D,19,106,24,S/D,122,29,93,0.993,14.9,7.22,42.1,48.7,10.2,5.66,0.862,S/D,0.366,0.052,0.0898,0.211,0.0662,0.468,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,2.92,4300,900,S/D
Rio Guadalajara,2020,BUGA,Rio Guadalajara,Rio Guadalajara - Antes desembocadura de Quebrada La Magdalena - puente Colgante,0645-2020,20/10/2020,10:30,Aguas Superficiales,20/10/2020 al 24/11/2020 Fin de este informe,0669 - 14/12/2020,S/D,920981.72,1097828.79,25,S/D,19,113,3,21.5,76,11.6,64.4,1.15,11,7.27,49.2,50.9,13.8,4.01,2.14,S/D,0.25,0.21,0.0101,0.203,0.0935,0.293,0.0571,3.57,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.77,4300,2300,S/D
Rio Guadalajara,2021,BUGA,Rio Guadalajara,Rio Guadalajara - Antes desembocadura de Quebrada La Magdalena - puente Colgante,0456-2021,22/06/2021,10:47,Agua,22/06/2021 al 16/07/2021 Fin de este informe,0495 - 03/08/2021,S/D,920981.72,1097828.79,S/D,7.85,19.3,95,2.5,6.22,92,11.6,80.4,2.61,11,7.79,63.1,38.4,9.38,3.65,2.2,S/D,0.25,0.281,0.0101,0.202,0.0935,0.274,0.0571,3.66,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.5,9300,9300,S/D
