Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Guadalajara,2016,BUGA,Rio Guadalajara,Rio Guadalajara - Bocatoma Acueducto Buga,0579-2016,29/06/2016,10:35,Aguas Superficiales,29/06/2016 al 26/07/2016,0665 - 22/08/2016,S/D,921438.5,1089484.73,26,8.73,28.4,109,1.5,S/D,94,11.6,82.4,2.83,23.1,7.59,65.3,46,10.4,4.86,0.52,S/D,1.11,0.15,0.00748,0.0248,0.076,0.67,0.526,3.27,0.405,S/D,S/D,S/D,S/D,S/D,S/D,6.43,4300,1500,S/D
Rio Guadalajara,2016,BUGA,Rio Guadalajara,Rio Guadalajara - Bocatoma Acueducto Buga,1259-2016,31/10/2016,10:29,Aguas Superficiales,31/10/2016 al 01/12/2016,1360 - 30/12/2016,S/D,921438.5,1089484.73,28,8.08,26.6,106,5.2,S/D,50,11.6,38.4,1.48,9.07,7.47,52.2,76,15.6,9,4.15,S/D,1.02,0.31,0.0121,0.0248,0.0509,1.27,0.526,2.88,4.28,S/D,S/D,S/D,S/D,S/D,S/D,6.43,11000,430,S/D
Rio Guadalajara,2017,BUGA,Rio Guadalajara,Rio Guadalajara - Bocatoma Acueducto Buga,0202-2017,04/04/2017,10:00,Aguas Superficiales,04/04/2017 al 10/05/2017,0191 - 02/05/2017,S/D,921438.5,1089484.73,26,8.16,19.7,103,6.2,S/D,98,11.6,86.4,1.13,18.4,7.8,69.7,69,14,8.27,0.281,S/D,1.16,0.34,0.00973,0.0562,0.0509,1.84,2.61,1.64,0.475,S/D,S/D,S/D,S/D,S/D,S/D,6.86,*,*,S/D
Rio Guadalajara,2017,BUGA,Rio Guadalajara,Rio Guadalajara - Bocatoma Acueducto Buga,1018-2017,09/08/2017,10:26,Aguas Superficiales,09/08/2017 al 31/08/2017,1017 - 25/09/2017,S/D,921438.5,1089484.73,26,8.17,21.1,134,1.4,S/D,198,14,184,2.45,41.6,7.44,81.2,81.6,14.8,10.8,3.13,S/D,S/D,0.41,0.122,0.24,0.0662,0.318,0.353,2.96,0.2,S/D,S/D,S/D,S/D,S/D,S/D,3.94,150,150,S/D
Rio Guadalajara,2018,BUGA,Rio Guadalajara,Rio Guadalajara - Bocatoma Acueducto Buga,0364-2018,10/04/2018,11:15,Aguas Superficiales,10/04/2018 al 02/05/2018,0358 - 27/04/2018,S/D,921438.5,1089484.73,23,8.15,20.3,99,14,S/D,76,33,43,1.28,11.1,7.74,60,48.5,10.5,5.42,2.61,S/D,S/D,0.51,0.0898,0.0933,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7.48,930.0000000000001,230,S/D
Rio Guadalajara,2018,BUGA,Rio Guadalajara,Rio Guadalajara - Bocatoma Acueducto Buga,1082-2018,09/08/2018,09:00,Aguas Superficiales,09/08/2018 al 22/08/2018,1047 - 03/09/2018,S/D,921438.5,1089484.73,26,S/D,22.1,129,2.5,S/D,88,11.6,76.4,1.31,14.8,7.73,57.4,47.7,13.1,3.64,4.39,S/D,S/D,0.672,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5.08,360,150,S/D
Rio Guadalajara,2019,BUGA,Rio Guadalajara,Rio Guadalajara - Bocatoma Acueducto Buga,0436-2019,25/04/2019,10:50,Aguas Superficiales,25/04/2019 al 25/06/2019,0511 - 08/07/2019,S/D,921607.5,1089480.73,31,7.63,22,88.1,130,S/D,222,143,79,1.51,11.1,7.61,39.3,37.8,8.71,3.9,0.862,S/D,S/D,0.635,0.0898,0.134,0.0662,1.47,0.353,3.49,0.886,S/D,S/D,S/D,S/D,S/D,S/D,2.55,2300,2300,S/D
Rio Guadalajara,2019,BUGA,Rio Guadalajara,Rio Guadalajara - Bocatoma Acueducto Buga,0989-2019,25/07/2019,11:13,Aguas Superficiales,25/07/2019 al 14/08/2019,0985 - 09/09/2019,S/D,921607.5,1089480.73,28,8.8,22,122,9.4,S/D,120,11.6,108,1.5,11.1,6.44,50.2,52.8,11.8,5.69,0.862,0.366,0.472,0.23,0.295,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,3.49,15000,7500,S/D
Rio Guadalajara,2020,BUGA,Rio Guadalajara,Rio Guadalajara - Bocatoma Acueducto Buga,0647-2020,20/10/2020,11:12,Aguas Superficiales,20/10/2020 al 24/11/2020 Fin de este informe,0671 - 14/12/2020,S/D,921607.5,1089480.73,29,8.64,22,112,3.2,33,78,11.6,66.4,1.37,11,7.14,*,49.2,12.8,4.21,2.14,S/D,0.25,0.181,0.0101,0.203,0.0935,0.325,0.0571,4.56,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.16,24000,4300,S/D
Rio Guadalajara,2021,BUGA,Rio Guadalajara,Rio Guadalajara - Bocatoma Acueducto Buga,0458-2021,22/06/2021,10:10,Agua,22/06/2021 al 16/07/2021 Fin de este informe,0497 - 03/08/2021,S/D,921607.5,1089480.73,S/D,7.91,21.4,106,17,11.5,124,55,69,3.26,11,7.72,67.3,40.2,10.5,3.4,2.2,S/D,0.25,0.306,0.0101,0.202,0.0935,1.78,0.0571,4.3,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.5,9300,2000,S/D
