Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Guadalajara,2016,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0576-2016,29/06/2016,11:15,Aguas Superficiales,29/06/2016 al 26/07/2016,0662 - 22/08/2016,S/D,920297.76,1100624.99,24,S/D,20.9,84.7,0.55,S/D,58,11.6,46.4,1.82,19.2,7.69,45.3,42,7.21,5.83,0.38,S/D,1.25,0.188,0.00748,0.0248,0.0809,0.67,0.526,1.61,0.203,S/D,S/D,S/D,S/D,S/D,S/D,6.43,360,3,S/D
Rio Guadalajara,2016,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,1256-2016,31/10/2016,11:14,Aguas Superficiales,31/10/2016 al 30/11/2016,1357 - 30/12/2016,S/D,920297.76,1100624.99,25,7.75,18.9,76.1,3.5,S/D,85,11.6,73.4,0.954,9.07,7.32,39.7,48,10,5.59,5.43,S/D,1.06,0.12,0.00748,0.0248,0.0509,0.67,0.526,1.91,2.22,S/D,S/D,S/D,S/D,S/D,S/D,6.43,90,3,S/D
Rio Guadalajara,2017,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0199-2017,04/04/2017,10:45,Aguas Superficiales,04/04/2017 al 21/04/2017,0188 - 02/05/2017,S/D,920297.76,1100624.99,22,8.01,15.4,74.9,3.6,S/D,86,11.6,74.4,2.07,13.5,7.89,53.3,51,10.8,5.83,0.281,1.61,1.36,0.34,0.00973,0.0562,0.0509,0.486,0.353,1.39,0.322,S/D,S/D,S/D,S/D,S/D,S/D,5.54,*,*,S/D
Rio Guadalajara,2017,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,1015-2017,09/08/2017,11:27,Aguas Superficiales,09/08/2017 al 31/08/2017,1014 - 25/09/2017,S/D,920297.76,1100624.99,25,7.85,16.4,95.5,0.86,S/D,82,11.6,70.4,0.2,44.9,7.49,62.4,69.7,13.6,8.68,2.36,S/D,S/D,0.391,0.122,0.24,0.0662,0.318,0.353,0.2,0.2,S/D,S/D,S/D,S/D,S/D,S/D,3.06,3.6,3.6,S/D
Rio Guadalajara,2018,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0361-2018,10/04/2018,12:03,Aguas Superficiales,10/04/2018 al 02/05/2018,0355 - 27/04/2018,S/D,920297.76,1100624.99,23,7.98,17.5,74.2,50,S/D,48,11.6,36.4,0.652,11.1,7.57,46.5,29.1,8.16,2.12,2.52,S/D,S/D,0.558,0.0898,0.0933,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.37,430,36,S/D
Rio Guadalajara,2018,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,1079-2018,09/08/2018,09:50,Aguas Superficiales,09/08/2018 al 22/08/2018,1044 - 03/09/2018,S/D,920297.76,1100624.99,21,S/D,18.1,91,0.5,S/D,74,11.6,62.4,0.579,11.1,7.97,40.2,34.6,9.37,2.73,3.25,S/D,S/D,0.718,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.38,9,4,S/D
Rio Guadalajara,2019,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0433-2019,25/04/2019,12:00,Aguas Superficiales,25/04/2019 al 25/06/2019,0508 - 08/07/2019,S/D,920392.76,1100691.99,25,7.74,17,64.7,90,S/D,188,66,122,2.02,11.1,7.5,32,28.4,6.44,2.99,0.862,S/D,S/D,0.322,0.0898,0.134,0.0662,1.47,0.353,2.36,0.533,S/D,S/D,S/D,S/D,S/D,S/D,1.6,2300,400,S/D
Rio Guadalajara,2019,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0986-2019,25/07/2019,12:01,Aguas Superficiales,25/07/2019 al 14/08/2019,0982 - 09/09/2019,S/D,920392.76,1100691.99,21,S/D,18,87.8,2.1,S/D,42,11.6,30.4,0.932,11.1,6.94,44.3,40.6,8.94,4.45,0.862,S/D,0.366,0.052,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,3.17,390,230,S/D
Rio Guadalajara,2020,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0644-2020,20/10/2020,10:05,Aguas Superficiales,20/10/2020 al 24/11/2020 Fin de este informe,0668 - 14/12/2020,S/D,920392.76,1100691.99,25,7.65,18,79.3,0.75,15.4,54,11.6,42.4,1.7,11,7.48,39.4,36.7,9.78,2.99,2.14,S/D,0.25,0.219,0.0101,0.203,0.0935,0.133,0.0571,2.99,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.77,430,430,S/D
Rio Guadalajara,2021,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0455-2021,22/06/2021,10:57,Agua,22/06/2021 al 16/07/2021 Fin de este informe,0494 - 03/08/2021,S/D,920392.76,1100691.99,S/D,7.84,17.6,81,1.4,6.22,86,11.6,74.4,2.89,19.4,7.72,53,31,7.09,3.23,2.2,S/D,0.25,0.28,0.0101,0.202,0.0935,0.133,0.0571,2.64,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.5,438.9999999999999,200,S/D
Rio Guadalajara,2021,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0699-2021,03/08/2021,11:00,Aguas Superficiales,03/08/2021 al 17/09/2021 Fin de este informe,0801 - 24/09/2021,S/D,920392.76,1100691.99,26,S/D,20.8,84.8,2.3,14.3,80,11.6,68.4,0.9,11,8.08,43.2,41,9.5,4.21,2.14,S/D,0.25,0.246,0.0101,0.203,0.0959,0.212,0.0571,2.62,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.77,2000,800,S/D
Rio Guadalajara,2022,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0337-2022,31/03/2022,01:00,Aguas Superficiales,31/03/2022 al 08/04/2022 Fin de este informe,0385 - 16/05/2022,S/D,920392.76,1100691.99,S/D,7.15,S/D,68.5,13,37.7,88,24,64,0.76,11,7.91,33.5,22.2,8.62,0.17,2.2,S/D,0.25,0.288,0.01007,0.202,0.0959,0.38,0.0571,2.74,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.66,230,90,S/D
Rio Guadalajara,2022,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,1004-2022,12/07/2022,11:02,Aguas Superficiales,12/07/2022 al 03/08/2022 Fin de este informe,1131 - 22/08/2022,S/D,920392.76,1100691.99,25,7.95,17.4,68.8,4.4,11,84,11.6,72.4,3.45,11,8.54,50.8,101,8.14,19.7,14.6,0.809,0.25,0.303,0.01007,0.0575,0.0959,0.323,0.0571,2.21,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.29,930.0000000000001,930.0000000000001,S/D
Rio Guadalajara,2023,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0399-2023,27/04/2023,01:01,Aguas Superficiales,27/04/2023 al 20/06/2023 Fin de este informe,0525 - 21/06/2023,S/D,920392.76,1100691.99,24,6.82,21.3,67.6,8.6,17.5,74,11.6,62.4,0.924,11,7.83,37,41.3,6.93,5.83,2.2,1.38,0.25,0.285,0.0101,0.202,0.0946,0.381,0.0571,2.7,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.5,1100,459.9999999999999,S/D
Rio Guadalajara,2023,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,1256-2023,30/08/2023,01:10,Aguas Superficiales,30/08/2023 al 15/09/2023 Fin de este informe,1545 - 20/11/2023,S/D,920392.76,1100691.99,28,S/D,19.2,87,2.5,10.4,102,11.6,90.4,0.924,46.4,7.22,72.7,45,9.22,5.35,2.2,S/D,0.25,0.223,0.0101,0.202,0.0946,0.133,0.0571,5.13,0.877,S/D,S/D,S/D,S/D,S/D,S/D,2.62,93,36,S/D
Rio Guadalajara,2024,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0575-2024,28/05/2024,11:50,Aguas Superficiales,28/05/2024 al 20/06/2024 Fin de este informe,0766 - 05/07/2024,S/D,920392.76,1100691.99,27,8.19,18.6,73.3,5,6.62,62,11.7,50.3,0.924,12.4,7.9,35.3,34.9,7.66,3.84,2.5,S/D,S/D,0.261,0.0101,0.326,0.0946,0.141,0.0587,2.53,0.33,S/D,S/D,S/D,S/D,S/D,S/D,2.59,230,92,S/D
Rio Guadalajara,2024,BUGA,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,1173-2024,31/07/2024,12:00,Aguas Superficiales,31/07/2024 al 22/08/2024 Fin de este informe,1353 - 09/09/2024,S/D,920392.76,1100691.99,28,8.12,19.7,82.5,1.5,18.5,74,11.7,62.3,1.9,12.4,8.36,41.2,35.2,7.74,3.87,2.5,0.463,S/D,0.226,0.0101,0.326,0.0946,0.125,0.0587,2.99,1.02,S/D,S/D,S/D,S/D,S/D,S/D,2.8,430,92,S/D
Rio Guadalajara,2025,S/D,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0440-2025,14/05/2025,10:50,Simple - Protocolo IDEAM,14/05/2025 al 29/06/2025,0670 - 01/09/2025,1580,920392.76,1100691.99,25,6.6,17,79,3.2,6.22,80,11.7,68,1.8,12.4,7.8,39,36,7.8,4,2.5,0.59,S/D,0.31,0.0101,0.326,0.0946,0.15,0.0587,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,2.5,92,92,S/D
Rio Guadalajara,2025,S/D,Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,0918-2025,13/08/2025,10:55,Simple - Protocolo IDEAM,13/08/2025 al 11/09/2025,1131 - 28/10/2025,1580,920392.76,1100691.99,29,7.32,17,77,4,6.22,98,11.7,86.3,1.57,12.4,7.91,47.5,37.7,9.95,3.13,2.5,0.463,0.32,0.332,0.0101,0.326,0.0946,0.124,0.0587,3.97,1.09,S/D,S/D,S/D,S/D,S/D,S/D,3.3,930.0000000000001,230,S/D
