Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Guadalajara,2016,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Balneario los Guaduales,0578-2016,29/06/2016,10:50,Aguas Superficiales,29/06/2016 al 26/07/2016,0664 - 22/08/2016,S/D,922103.33,1093930.39,26,S/D,23,99.9,1,S/D,50,11.6,38.4,1.99,21.9,7.34,57,40,7.21,5.35,0.38,S/D,1.15,0.12,0.00748,0.0248,0.0509,0.67,0.526,2.6,0.346,S/D,S/D,S/D,S/D,S/D,S/D,6.43,2300,2300,S/D
Rio Guadalajara,2016,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Balneario los Guaduales,1258-2016,31/10/2016,10:40,Aguas Superficiales,31/10/2016 al 30/11/2016,1359 - 30/12/2016,S/D,922103.33,1093930.39,27,8.03,24.8,96.7,5,S/D,44,11.6,32.4,1.15,9.07,7.44,48.5,60,12.8,6.81,4.25,S/D,1.01,0.31,0.00748,0.0248,0.0509,0.67,0.526,2.8,4.45,S/D,S/D,S/D,S/D,S/D,S/D,6.43,750,150,S/D
Rio Guadalajara,2017,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Balneario los Guaduales,0201-2017,04/04/2017,10:22,Aguas Superficiales,04/04/2017 al 21/04/2017,0190 - 02/05/2017,S/D,922103.33,1093930.39,28,8.08,18.3,90.9,7.5,S/D,98,13,85,1.06,13.5,7.73,55.3,59,12,7.05,0.281,1.71,1.14,0.37,0.00973,0.0562,0.0509,1.1,0.353,0.373,0.537,S/D,S/D,S/D,S/D,S/D,S/D,6.39,*,*,S/D
Rio Guadalajara,2017,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Balneario los Guaduales,1017-2017,09/08/2017,10:52,Aguas Superficiales,09/08/2017 al 31/08/2017,1016 - 25/09/2017,S/D,922103.33,1093930.39,26,7.96,19.2,119,1.35,S/D,110,11.6,98.4,1.1,42.6,7.24,73.4,74.6,15.2,8.9,2.83,S/D,S/D,0.395,0.122,0.24,0.211,0.318,0.353,0.671,0.2,S/D,S/D,S/D,S/D,S/D,S/D,4.74,72,110,S/D
Rio Guadalajara,2018,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Balneario los Guaduales,0363-2018,10/04/2018,11:40,Aguas Superficiales,10/04/2018 al 02/05/2018,0357 - 27/04/2018,S/D,922103.33,1093930.39,23,8.21,19.7,82.4,60,S/D,192,172,20,0.879,11.1,7.58,51.4,32,9.72,1.89,2.15,S/D,S/D,0.465,0.0898,0.0933,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5.74,750,90,S/D
Rio Guadalajara,2018,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Balneario los Guaduales,1081-2018,09/08/2018,09:15,Aguas Superficiales,09/08/2018 al 22/08/2018,1046 - 03/09/2018,S/D,922103.33,1093930.39,22,S/D,21.3,115,2.2,S/D,88,11.6,76.4,0.383,11.2,7.77,51.2,39.3,13.5,1.36,3.29,S/D,S/D,0.652,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3.75,390,72,S/D
Rio Guadalajara,2019,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Balneario los Guaduales,0435-2019,25/04/2019,11:10,Aguas Superficiales,25/04/2019 al 25/06/2019,0510 - 08/07/2019,S/D,922434.33,1093553.39,30,7.89,21,81.3,95,S/D,212,130,82,1.47,11.1,7.45,42.9,35,7.58,3.91,0.862,S/D,S/D,0.459,0.0898,0.134,0.0662,1.94,0.353,3.16,0.795,S/D,S/D,S/D,S/D,S/D,S/D,2.12,9300,9300,S/D
Rio Guadalajara,2019,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Balneario los Guaduales,0988-2019,25/07/2019,11:31,Aguas Superficiales,25/07/2019 al 14/08/2019,0984 - 09/09/2019,S/D,922434.33,1093553.39,25,S/D,21,109,5.2,S/D,98,11.6,86.4,0.859,11.1,7.33,5.59,47.7,11,4.94,0.862,S/D,0.366,0.052,0.0898,0.134,0.0662,0.366,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,3.18,15000,3000,S/D
Rio Guadalajara,2020,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Balneario los Guaduales,0646-2020,20/10/2020,10:55,Aguas Superficiales,20/10/2020 al 24/11/2020 Fin de este informe,0670 - 14/12/2020,S/D,922434.33,1093553.39,27,S/D,21,103,2.8,24,78,11.6,66.4,2.3,11,6.83,51.2,46.8,12.1,4.04,2.14,S/D,0.25,0.191,0.0101,0.203,0.0935,0.386,0.0571,4.09,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.77,21000,2100,S/D
Rio Guadalajara,2021,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Balneario los Guaduales,0457-2021,22/06/2021,10:31,Agua,22/06/2021 al 16/07/2021 Fin de este informe,0496 - 03/08/2021,S/D,922434.33,1093553.39,S/D,7.99,21.1,94.6,21,15,132,53,79,2.46,11,7.61,63,38.5,4.45,6.66,2.2,S/D,0.25,0.289,0.0101,0.202,0.0935,2.12,0.0571,3.66,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.5,2400,2400,S/D
