Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Guadalajara,2016,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0580-2016,29/06/2016,10:12,Aguas Superficiales,29/06/2016 al 26/07/2016,0666 - 22/08/2016,S/D,922381.26,1085839.82,28,9.02,25.7,141,1.5,S/D,70,11.6,58.4,2.71,28.1,8.31,69,64,13.6,7.29,1.65,S/D,1.3,0.115,0.00748,0.218,0.501,0.67,0.526,3.46,0.461,S/D,S/D,S/D,S/D,S/D,S/D,6.43,110000,24000,S/D
Rio Guadalajara,2016,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,1260-2016,31/10/2016,10:01,Aguas Superficiales,31/10/2016 al 01/12/2016,1361 - 30/12/2016,S/D,922381.26,1085839.82,28,8.04,25.7,109,23.6,S/D,162,86,76,0.954,10.2,6.95,54.8,68,14.4,7.78,3.67,S/D,0.98,0.32,0.00748,0.035,0.09,0.74,0.526,2.45,4.32,S/D,S/D,S/D,S/D,S/D,S/D,6.43,2300,360,S/D
Rio Guadalajara,2017,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0203-2017,04/04/2017,09:42,Aguas Superficiales,04/04/2017 al 10/05/2017,0192 - 02/05/2017,S/D,922381.26,1085839.82,28,8.13,19.5,106,25.3,S/D,134,27,107,1.98,21.4,7.58,71.4,109,22.8,12.6,0.281,1.81,1.08,0.44,0.00973,0.0562,0.0509,0.549,0.353,2.42,0.475,S/D,S/D,S/D,S/D,S/D,S/D,8.95,*,*,S/D
Rio Guadalajara,2017,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,1019-2017,09/08/2017,10:10,Aguas Superficiales,09/08/2017 al 30/08/2017,1018 - 25/09/2017,S/D,922381.26,1085839.82,27,8.68,21.8,137,4.35,S/D,158,18,140,1.41,31.7,8.29,91.1,79.6,18.4,8.17,3.39,S/D,S/D,0.342,0.122,0.24,3.36,0.318,0.353,1.9,0.2,S/D,S/D,S/D,S/D,S/D,S/D,3.8,290,290,S/D
Rio Guadalajara,2018,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0365-2018,10/04/2018,10:49,Aguas Superficiales,10/04/2018 al 02/05/2018,0359 - 27/04/2018,S/D,922381.26,1085839.82,23,S/D,20.5,100,17,S/D,29.8,13,18.2,1.68,12.9,7.67,52.3,37.8,9.72,3.3,3.57,S/D,S/D,0.535,0.0898,0.0933,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8.36,430,90,S/D
Rio Guadalajara,2018,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,1083-2018,09/08/2018,08:10,Aguas Superficiales,09/08/2018 al 22/08/2018,1048 - 03/09/2018,S/D,922381.26,1085839.82,26,S/D,22.1,135,1.2,S/D,66,11.6,54.4,1.06,11.1,7.86,58.8,50.5,14.2,3.64,3.36,S/D,S/D,0.552,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7,290,290,S/D
Rio Guadalajara,2019,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0437-2019,25/04/2019,10:23,Aguas Superficiales,25/04/2019 al 25/06/2019,0512 - 08/07/2019,S/D,922696.26,1085457.82,27,7.73,20,92.8,130,S/D,244,146,98,1.37,20.5,7.23,42.9,38.8,7.96,4.59,0.862,S/D,S/D,0.434,0.0898,0.134,0.067,1.47,0.353,3.52,0.91,S/D,S/D,S/D,S/D,S/D,S/D,2.77,9300,2300,S/D
Rio Guadalajara,2019,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0990-2019,25/07/2019,10:47,Aguas Superficiales,25/07/2019 al 14/08/2019,0986 - 09/09/2019,S/D,922696.26,1085457.82,28,8.95,24,125,3.7,S/D,84,11.6,72.4,1.48,11.1,7.13,38.5,53.8,8.54,7.9,1.1,S/D,0.366,0.052,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,3.58,2400,2400,S/D
Rio Guadalajara,2020,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0648-2020,20/10/2020,11:27,Aguas Superficiales,20/10/2020 al 24/11/2020 Fin de este informe,0672 - 14/12/2020,S/D,922696.26,1085457.82,29,8.68,24,116,3.3,33.5,100,11.6,88.4,1.74,11,6.93,*,52,12.5,5.06,2.14,S/D,0.25,0.192,0.0101,0.203,0.0935,0.546,0.0571,4.81,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.19,2000,930.0000000000001,S/D
Rio Guadalajara,2021,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0459-2021,22/06/2021,09:37,Agua,22/06/2021 al 16/07/2021 Fin de este informe,0498 - 03/08/2021,S/D,922696.26,1085457.82,S/D,8.08,21.6,108,17,20.3,162,46,116,2.82,11,7.67,70,44.1,10.1,4.57,2.2,S/D,0.25,0.294,0.0101,0.202,0.0935,1.71,0.0571,4.15,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.69,9300,9300,S/D
Rio Guadalajara,2021,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0703-2021,03/08/2021,09:50,Aguas Superficiales,03/08/2021 al 17/09/2021 Fin de este informe,0805 - 24/09/2021,S/D,922696.26,1085457.82,27,S/D,22.3,120,22,26,108,29,79,1.28,11,7.8,60,56.7,13.2,5.76,2.14,S/D,0.25,0.254,0.0101,0.203,0.0959,1.38,0.0624,4.51,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.91,93000,43000,S/D
Rio Guadalajara,2022,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0333-2022,31/03/2022,12:25,Aguas Superficiales,31/03/2022 al 08/04/2022 Fin de este informe,0381 - 16/05/2022,S/D,922696.26,1085457.82,27,7.24,21,96.5,45,8.65,152,53,99,0.62,11,7.64,46.4,37.3,10.1,2.92,2.2,S/D,0.25,0.316,0.01007,0.202,0.0959,0.94,0.0571,4.15,0.997,S/D,S/D,S/D,S/D,S/D,S/D,3.31,430000,430000,S/D
Rio Guadalajara,2022,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,1008-2022,12/07/2022,11:23,Aguas Superficiales,12/07/2022 al 03/08/2022 Fin de este informe,1135 - 22/08/2022,S/D,922696.26,1085457.82,30,8.08,21.3,97.7,22,22,216,31,185,0.55,11,7.5,70.6,49.6,11.7,4.96,2.12,0.846,0.25,0.303,0.01007,0.0575,0.0959,1.27,0.0571,3.77,0.8,S/D,S/D,S/D,S/D,S/D,S/D,5.13,43000,43000,S/D
Rio Guadalajara,2023,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0403-2023,27/04/2023,11:30,Aguas Superficiales,27/04/2023 al 20/06/2023 Fin de este informe,0529 - 21/06/2023,S/D,922696.26,1085457.82,27,7.53,21.5,95.5,45,33,150,57,93,0.924,11,7.68,50.1,59,10,8.27,2.2,0.732,0.25,0.315,0.0101,0.202,0.0946,2.24,0.249,4.1,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.72,9300,4300,S/D
Rio Guadalajara,2023,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,1260-2023,30/08/2023,11:05,Aguas Superficiales,30/08/2023 al 15/09/2023 Fin de este informe,1549 - 20/11/2023,S/D,922696.26,1085457.82,32,S/D,22.5,129,6.2,19.4,110,11.6,98.4,1.55,11,6.89,92.4,54.9,12.8,5.59,2.2,S/D,0.25,0.222,0.0101,0.202,0.0946,0.273,0.0571,5.8,1.13,S/D,S/D,S/D,S/D,S/D,S/D,3.47,24000,11000,S/D
Rio Guadalajara,2024,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0579-2024,28/05/2024,01:30,Aguas Superficiales,28/05/2024 al 20/06/2024 Fin de este informe,0770 - 05/07/2024,S/D,922696.26,1085457.82,28,8.36,25.2,108,14,6.22,104,17,87,1.52,12.4,7.45,56.7,47.1,11,4.79,2.5,S/D,S/D,0.226,0.0101,0.326,0.0946,0.717,0.0587,4.49,0.866,S/D,S/D,S/D,S/D,S/D,S/D,3.77,11000,4600,S/D
Rio Guadalajara,2024,BUGA,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,1177-2024,31/07/2024,11:15,Aguas Superficiales,31/07/2024 al 22/08/2024 Fin de este informe,1357 - 09/09/2024,S/D,922696.26,1085457.82,29,8.36,22.9,163,5.3,18.6,138,11.7,126,5.44,16.8,7.74,71.4,50.6,13.8,3.91,3.87,2.55,S/D,0.226,0.0101,0.326,0.189,0.282,0.0587,8.17,1.35,S/D,S/D,S/D,S/D,S/D,S/D,6.22,4600000,4600000,S/D
Rio Guadalajara,2025,S/D,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0444-2025,14/05/2025,13:20,Simple - Protocolo IDEAM,14/05/2025 al 29/06/2025,0674 - 01/09/2025,955,922696.26,1085457.82,28,7.4,22,105,39,15,156,57,99,0.94,12.4,7.5,54,49,12,4.6,2.5,0.56,S/D,0.27,0.0101,0.326,0.0946,2.2,0.07,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,2.9,372,9300,S/D
Rio Guadalajara,2025,S/D,Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,0922-2025,13/08/2025,12:15,Simple - Protocolo IDEAM,13/08/2025 al 11/09/2025,1135 - 28/10/2025,955,922696.26,1085457.82,25,8.03,21,113,12,7.14,126,14.6,111,1.23,12.4,8.04,71,55.2,14.9,4.38,2.5,0.498,0.32,0.356,0.0101,0.326,0.0946,0.573,0.0587,5.74,1.26,S/D,S/D,S/D,S/D,S/D,S/D,4.13,46000,24000,S/D
