Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Guadalajara,2016,BUGA,Rio Guadalajara,Rio Guadalajara - antes desembocadura a Rio Cauca (El Porvenir),0581-2016,29/06/2016,09:59,Aguas Superficiales,29/06/2016 al 26/07/2016,0667 - 22/08/2016,S/D,922629.99,1082309.79,27,7.67,25.1,189,3.5,S/D,138,11.6,126,6.07,36.3,4.12,109,66,14.4,7.29,10,S/D,1.77,0.27,0.101,0.134,0.278,0.67,0.526,7.23,1.7,S/D,S/D,S/D,S/D,S/D,S/D,8.98,24000,2300,S/D
Rio Guadalajara,2016,BUGA,Rio Guadalajara,Rio Guadalajara - antes desembocadura a Rio Cauca (El Porvenir),1261-2016,31/10/2016,08:50,Aguas Superficiales,31/10/2016 al 01/12/2016,1362 - 30/12/2016,S/D,922629.99,1082309.79,26,7.79,23.6,113,10.4,S/D,82,11.6,70.4,2.17,9.07,7.44,55.6,72,15.2,8.27,3.69,S/D,1.11,0.41,0.00916,0.0248,0.08,0.67,0.526,2.61,5.04,S/D,S/D,S/D,S/D,S/D,S/D,6.43,4300,2300,S/D
Rio Guadalajara,2017,BUGA,Rio Guadalajara,Rio Guadalajara - antes desembocadura a Rio Cauca (El Porvenir),0204-2017,04/04/2017,08:25,Aguas Superficiales,04/04/2017 al 21/04/2017,0193 - 02/05/2017,S/D,922629.99,1082309.79,24,7.77,17,111,4.6,S/D,96,11.6,84.4,1.26,13.5,7.43,66.4,61,12.4,7.29,0.281,1.72,1.48,0.49,0.00973,0.0562,0.0509,0.318,0.353,1.97,0.564,S/D,S/D,S/D,S/D,S/D,S/D,7.24,*,*,S/D
Rio Guadalajara,2017,BUGA,Rio Guadalajara,Rio Guadalajara - antes desembocadura a Rio Cauca (El Porvenir),1020-2017,09/08/2017,08:54,Aguas Superficiales,09/08/2017 al 31/08/2017,1019 - 25/09/2017,S/D,922629.99,1082309.79,27,7.59,22.2,168,4.9,S/D,314,56,258,7.05,84.6,5.48,105,116,24,13.6,4.9,S/D,S/D,0.41,0.122,0.24,0.0662,0.688,0.353,8.9,0.523,S/D,S/D,S/D,S/D,S/D,S/D,4.4,4300,2300,S/D
Rio Guadalajara,2018,BUGA,Rio Guadalajara,Rio Guadalajara - antes desembocadura a Rio Cauca (El Porvenir),0366-2018,10/04/2018,10:33,Aguas Superficiales,10/04/2018 al 02/05/2018,0360 - 27/04/2018,S/D,922629.99,1082309.79,23,8.1,20.7,124,2.4,S/D,88,39,49,1.73,17,7.36,58.7,41.7,12.8,2.36,1.51,S/D,S/D,0.41,0.0898,0.0933,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.72,9300,2300,S/D
Rio Guadalajara,2018,BUGA,Rio Guadalajara,Rio Guadalajara - antes desembocadura a Rio Cauca (El Porvenir),1084-2018,09/08/2018,06:45,Aguas Superficiales,09/08/2018 al 22/08/2018,1049 - 03/09/2018,S/D,922629.99,1082309.79,23,8.07,23.3,164,1.45,S/D,68,11.6,56.4,1.71,11.1,6.45,75.6,68.3,15.4,7.27,4.88,S/D,S/D,0.608,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8.73,150000,23000,S/D
Rio Guadalajara,2019,BUGA,Rio Guadalajara,Rio Guadalajara - antes desembocadura a Rio Cauca (El Porvenir),0438-2019,25/04/2019,10:03,Aguas Superficiales,25/04/2019 al 25/06/2019,0513 - 08/07/2019,S/D,922949.99,1081928.79,27,7.65,19,90.2,90,S/D,182,84,98,1.83,11.1,7.53,44.6,39.7,8.71,4.36,0.862,S/D,S/D,0.567,0.0898,0.134,0.0662,1.55,0.353,3.62,1.07,S/D,S/D,S/D,S/D,S/D,S/D,2.61,43000,43000,S/D
Rio Guadalajara,2019,BUGA,Rio Guadalajara,Rio Guadalajara - antes desembocadura a Rio Cauca (El Porvenir),0991-2019,25/07/2019,10:30,Aguas Superficiales,25/07/2019 al 14/08/2019,0987 - 09/09/2019,S/D,922949.99,1081928.79,28,S/D,24,157,19.5,S/D,152,35,117,2.25,11.1,7.73,46.4,71.1,19.9,5.2,2.03,S/D,0.366,0.052,0.0898,0.134,0.083,0.475,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,4.4,110000,50000,S/D
Rio Guadalajara,2020,BUGA,Rio Guadalajara,Rio Guadalajara - antes desembocadura a Rio Cauca (El Porvenir),0649-2020,20/10/2020,11:55,Aguas Superficiales,20/10/2020 al 24/11/2020 Fin de este informe,0673 - 14/12/2020,S/D,922949.99,1081928.79,31,S/D,24,127,5.8,47.4,84,15,69,2.68,11,7.2,61,54,13.6,4.89,2.14,S/D,0.25,0.199,0.0101,0.203,0.0935,0.796,0.0571,4.98,0.855,S/D,S/D,S/D,S/D,S/D,S/D,3.77,80000,23000,S/D
Rio Guadalajara,2021,BUGA,Rio Guadalajara,Rio Guadalajara - antes desembocadura a Rio Cauca (El Porvenir),0460-2021,22/06/2021,07:54,Agua,22/06/2021 al 16/07/2021 Fin de este informe,0499 - 03/08/2021,S/D,922629.99,1082309.79,S/D,7.54,20,114,45,61.6,208,95,113,3.31,11,7.65,74,45.9,11.7,4.08,2.2,S/D,0.25,0.303,0.019,0.202,0.0935,4.09,0.0571,4.3,0.8,S/D,S/D,S/D,S/D,S/D,S/D,2.77,9300,9300,S/D
