Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio La Paila,2016,ZARZAL,Rio La Paila,Rio La Paila - antes desembocadura a Rio Cauca,0224-2016,04/05/2016,12:00,Aguas Superficiales,04/05/2016 al 25/05/2016,0265 - 09/06/2016,S/D,972298.09,1103499.63,28,7.81,28.6,337,25,S/D,288,11.6,276,44.3,52.4,0.5,133,166,45.7,12.6,1.71,S/D,1.22,0.598,0.0092,0.061,0.52,1.32,0.526,11,4.67,S/D,S/D,S/D,S/D,S/D,S/D,11,11000,150,S/D
Rio La Paila,2016,ZARZAL,Rio La Paila,Rio La Paila - antes desembocadura a Rio Cauca,1201-2016,25/10/2016,01:00,Aguas Superficiales,25/10/2016 al 23/11/2016,1297 - 12/12/2016,S/D,972298.09,1103499.63,24,7.79,23.3,202,360,S/D,951,623,328,2.61,72.8,5.8,83.1,108,20.8,13.6,9.88,S/D,1.69,2.32,0.0485,0.108,0.22,4.85,0.586,3.27,43.5,S/D,S/D,S/D,S/D,S/D,S/D,14.5,9300,2300,S/D
Rio La Paila,2017,ZARZAL,Rio La Paila,Rio La Paila - antes desembocadura a Rio Cauca,0222-2017,04/04/2017,01:00,Aguas Superficiales,04/04/2017 al 03/05/2017,0211 - 02/05/2017,S/D,972298.09,1103499.63,32,7.27,29.2,343,30,S/D,268,48,220,26.6,119,0.5,152,175,35.7,20.9,10.6,3.02,1.26,0.0921,0.00973,0.171,0.174,1.21,0.353,7.31,3.38,S/D,S/D,S/D,S/D,S/D,S/D,13,*,*,S/D
Rio La Paila,2017,ZARZAL,Rio La Paila,Rio La Paila - antes desembocadura a Rio Cauca,1074-2017,15/08/2017,11:20,Aguas Superficiales,15/08/2017 al 18/09/2017,1065 - 27/09/2017,S/D,972298.09,1103499.63,32,6.8,27,439,60,S/D,444,34,410,110,186,0.386,215,215,43.7,25.8,1.37,S/D,S/D,0.204,0.122,0.24,0.49,S/D,0.344,S/D,5.13,S/D,S/D,S/D,S/D,S/D,S/D,1.2,4300000,360000,S/D
Rio La Paila,2018,ZARZAL,Rio La Paila,Rio La Paila - antes desembocadura a Rio Cauca,0286-2018,21/03/2018,10:50,Aguas Superficiales,21/03/2018 al 02/05/2018,0285 - 24/04/2018,S/D,972298.09,1103499.63,28,6.58,29.1,417,120,S/D,814,400,414,229,587,0.386,133,189,42.8,20,12.6,S/D,S/D,0.295,0.0898,1.21,3.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.61,2300,930.0000000000001,S/D
Rio La Paila,2018,ZARZAL,Rio La Paila,Rio La Paila - antes desembocadura a Rio Cauca,1098-2018,09/08/2018,01:30,Aguas Superficiales,09/08/2018 al 22/08/2018,1063 - 03/09/2018,S/D,972298.09,1103499.63,31,7.71,28,375,115,S/D,666,443,223,5.93,111,4.53,159,174,31.9,23,7.01,S/D,S/D,0.482,0.0898,0.134,0.75,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,22,2400000,430000,S/D
Rio La Paila,2019,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura a Rio Cauca,0425-2019,23/04/2019,02:10,Aguas Superficiales,23/04/2019 al 25/06/2019,0500 - 08/07/2019,S/D,972431.11,1103551.29,29,7.4,25,167,600,S/D,568,433,135,9.86,27.4,2.57,66.1,68,13.6,8.27,4.15,S/D,S/D,1.14,0.0898,0.134,0.509,2.28,0.353,6.1,4.44,S/D,S/D,S/D,S/D,S/D,S/D,12.6,43000,15000,S/D
Rio La Paila,2019,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura a Rio Cauca,0950-2019,23/07/2019,12:20,Aguas Superficiales,23/07/2019 al 14/08/2019,0946 - 09/09/2019,S/D,972431.11,1103551.29,28,7.61,24,378,45,S/D,292,20,272,33.8,105,1.2,180,168,36.2,18.9,8.94,S/D,0.366,0.052,0.0898,0.134,0.067,1.03,0.353,12.6,4.22,S/D,S/D,S/D,S/D,S/D,S/D,8.04,230000,230000,S/D
Rio La Paila,2020,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura a Rio Cauca,0193-2020,16/07/2020,03:35,Aguas Superficiales,16/07/2020 al 27/07/2020 Fin de este informe,0184 - 31/07/2020,S/D,972431.11,1103551.29,31,7.56,29.8,344,22,S/D,182,37,145,13.1,90.2,1.53,161,152,30.4,18.5,7.37,S/D,0.25,0.181,0.016,0.203,0.393,1.46,0.192,15.3,3.77,S/D,S/D,S/D,S/D,S/D,S/D,11.6,93000,43000,S/D
Rio La Paila,2021,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura a Rio Cauca,1443-2021,30/11/2021,03:07,Aguas Superficiales,30/11/2021 al 13/01/2022,1654 - 07/02/2022,S/D,972431.11,1103551.29,25,S/D,20,230,500,42.5,580,470,110,9.24,93.2,5.03,119,98.5,18.1,13,5.13,S/D,0.25,0.255,0.021,0.202,0.0959,12.4,0.385,9.3,2.82,S/D,S/D,S/D,S/D,S/D,S/D,7.61,93000,93000,S/D
