Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio La Paila,2016,ZARZAL,Rio La Paila,Rio La Paila - Planta Acuavalle,0223-2016,04/05/2016,12:40,Aguas Superficiales,04/05/2016 al 25/05/2016,0264 - 09/06/2016,S/D,966803.2,1114914.54,28,7.81,28.6,262,24,S/D,232,15,217,2.02,47.9,5.59,89.3,120,23.2,15.1,0.281,S/D,1.21,1.13,0.0199,0.051,0.111,0.75,0.526,6.92,2.48,S/D,S/D,S/D,S/D,S/D,S/D,11.8,4600,210,S/D
Rio La Paila,2016,ZARZAL,Rio La Paila,Rio La Paila - Planta Acuavalle,1200-2016,25/10/2016,03:09,Aguas Superficiales,25/10/2016 al 23/11/2016,1296 - 12/12/2016,S/D,966803.2,1114914.54,27,7.97,23,157,714,S/D,1818,1140,678,2.19,157,7.05,63.2,112,21.6,14.1,6.68,S/D,1.72,*,0.0505,0.105,0.406,15.4,1.41,4.98,30.9,S/D,S/D,S/D,S/D,S/D,S/D,*,43000,9000,S/D
Rio La Paila,2017,ZARZAL,Rio La Paila,Rio La Paila - Planta Acuavalle,0221-2017,04/04/2017,10:30,Aguas Superficiales,04/04/2017 al 11/05/2017,0210 - 02/05/2017,S/D,966803.2,1114914.54,30,7.75,28,272,8.6,S/D,184,16,168,0.954,13,6.29,116,121,24.8,14.3,8.77,2.06,1.34,0.99,0.015,0.0562,0.0509,0.537,0.353,4.34,1.04,S/D,S/D,S/D,S/D,S/D,S/D,9.44,*,*,S/D
Rio La Paila,2017,ZARZAL,Rio La Paila,Rio La Paila - Planta Acuavalle,1073-2017,15/08/2017,10:45,Aguas Superficiales,15/08/2017 al 18/09/2017,1064 - 27/09/2017,S/D,966803.2,1114914.54,31,7.4,26,287,1.05,S/D,214,11.6,202,1.44,41.6,7.34,153,153,32.1,17.7,12.4,S/D,S/D,0.85,0.122,0.24,0.0662,S/D,0.11,S/D,2.1,S/D,S/D,S/D,S/D,S/D,S/D,4.73,430,90,S/D
Rio La Paila,2018,ZARZAL,Rio La Paila,Rio La Paila - Planta Acuavalle,0285-2018,21/03/2018,11:20,Aguas Superficiales,21/03/2018 al 02/05/2018,0284-1 - 06/12/2018,S/D,966803.2,1114914.54,25,8.09,27.9,260,5.8,S/D,162,14,148,2.1,17.3,6.37,124,105,24.9,10.4,9.46,S/D,S/D,0.569,0.0898,0.0933,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.99,4300,360,S/D
Rio La Paila,2018,ZARZAL,Rio La Paila,Rio La Paila - Planta Acuavalle,1097-2018,09/08/2018,11:00,Aguas Superficiales,09/08/2018 al 22/08/2018,1062 - 03/09/2018,S/D,966803.2,1114914.54,28,8.19,25,268,5,S/D,176,11.6,164,1.19,14.8,6.83,119,128,21.4,18.2,7.82,S/D,S/D,1.03,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.4,2400000,150,S/D
Rio La Paila,2019,ZARZAL,Rio La Paila,Rio La Paila - Planta Acuavalle,0424-2019,23/04/2019,01:10,Aguas Superficiales,23/04/2019 al 25/06/2019,0499 - 08/07/2019,S/D,966822.2,1114881.54,29,7.88,25.2,174,270,S/D,390,247,143,3.42,25.1,6.9,79.4,73.7,15.5,8.5,4.41,S/D,S/D,1.09,0.0898,0.134,0.191,2.63,0.353,5.84,2.75,S/D,S/D,S/D,S/D,S/D,S/D,5.64,24000,24000,S/D
Rio La Paila,2019,ZARZAL,Rio La Paila,Rio La Paila - Planta Acuavalle,0949-2019,23/07/2019,12:45,Aguas Superficiales,23/07/2019 al 14/08/2019,0945 - 09/09/2019,S/D,966822.2,1114881.54,28,8.93,26,281,4,S/D,176,11.6,164,1.25,11.1,6.46,*,129,25.6,15.8,7.21,S/D,0.366,0.247,0.0898,0.134,0.0662,0.318,0.353,5.59,1.36,S/D,S/D,S/D,S/D,S/D,S/D,4.9,230,40,S/D
Rio La Paila,2020,ZARZAL,Rio La Paila,Rio La Paila - Planta Acuavalle,0192-2020,16/07/2020,02:44,Aguas Superficiales,16/07/2020 al 27/07/2020 Fin de este informe,0183 - 31/07/2020,S/D,966822.2,1114881.54,30,7.98,27.7,229,5.8,S/D,44,11.6,32.4,1.58,11.1,5.98,106,105,21.4,12.6,6.55,S/D,0.25,0.619,0.0101,0.203,0.0935,0.666,0.0571,8.2,1.95,S/D,S/D,S/D,S/D,S/D,S/D,6.15,4300,230,S/D
Rio La Paila,2021,ZARZAL,Rio La Paila,Rio La Paila - Planta Acuavalle,0649-2021,22/07/2021,01:03,Aguas Superficiales,22/07/2021 al 25/08/2021 Fin de este informe,0730 - 01/09/2021,S/D,966822.2,1114881.54,31,S/D,27,293,1.4,17.4,138,11.6,126,2.74,11.1,6.6,141,692,48.9,139,8.25,S/D,0.25,0.556,1.73,0.202,0.0935,0.337,0.0571,9.8,1.88,S/D,S/D,S/D,S/D,S/D,S/D,4.45,230,90,S/D
