Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio La Paila,2016,ZARZAL,Rio La Paila,Rio La Paila - Puente Paila arriba - vía a Sevilla,0221-2016,04/05/2016,01:30,Aguas Superficiales,04/05/2016 al 25/05/2016,0262 - 09/06/2016,S/D,960626.61,1115575.58,29,7.76,27.7,455,24,S/D,360,25,335,2.63,54.3,4.95,115,240,36.1,36.5,30.5,S/D,1.23,1.26,0.0149,0.074,0.114,1.31,0.526,11.7,3.09,S/D,S/D,S/D,S/D,S/D,S/D,22.4,4600,210,S/D
Rio La Paila,2016,ZARZAL,Rio La Paila,Rio La Paila - Puente Paila arriba - vía a Sevilla,1198-2016,25/10/2016,04:26,Aguas Superficiales,25/10/2016 al 22/11/2016,1294 - 12/12/2016,S/D,960626.61,1115575.58,27,7.8,24.4,402,2,S/D,264,11.6,252,1.1,21.1,5.75,135,180,37.3,21.2,35.1,S/D,1.72,0.59,0.0171,0.0248,0.08,0.67,0.526,12.8,37.7,S/D,S/D,S/D,S/D,S/D,S/D,12.7,4300,2300,S/D
Rio La Paila,2017,ZARZAL,Rio La Paila,Rio La Paila - Puente Paila arriba - vía a Sevilla,0219-2017,04/04/2017,11:00,Aguas Superficiales,04/04/2017 al 11/05/2017,0208 - 02/05/2017,S/D,960626.61,1115575.58,30,7.54,28,351,7.3,S/D,240,11.6,228,0.954,11,6.14,131,157,32.1,18.7,19.9,2.4,1.38,0.49,0.00973,0.0562,0.0509,0.71,0.353,9.35,1.36,S/D,S/D,S/D,S/D,S/D,S/D,14.7,*,*,S/D
Rio La Paila,2017,BUGALAGRANDE,Rio La Paila,Rio La Paila - Puente Paila arriba - vía a Sevilla,1071-2017,15/08/2017,12:00,Aguas Superficiales,15/08/2017 al 18/09/2017,1062 - 27/09/2017,S/D,960626.61,1115575.58,28,7,26,398,4.4,S/D,260,11.6,248,1.38,49.1,6.72,182,187,38.1,22.4,26.8,S/D,S/D,0.34,0.122,0.24,0.0662,S/D,0.163,S/D,8.02,S/D,S/D,S/D,S/D,S/D,S/D,9.19,4600,930.0000000000001,S/D
Rio La Paila,2018,BUGALAGRANDE,Rio La Paila,Rio La Paila - Puente Paila arriba - vía a Sevilla,0283-2018,21/03/2018,12:30,Aguas Superficiales,21/03/2018 al 02/05/2018,0282-1 - 06/12/2018,S/D,960626.61,1115575.58,27,7.84,27,370,1.2,S/D,226,11.6,214,1.99,18.3,6.91,149,167,34.6,19.6,51.5,S/D,S/D,0.219,0.0898,0.0933,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,13.5,2300,430,S/D
Rio La Paila,2018,BUGALAGRANDE,Rio La Paila,Rio La Paila - Puente Paila arriba - vía a Sevilla,1095-2018,09/08/2018,11:40,Aguas Superficiales,09/08/2018 al 22/08/2018,1060 - 03/09/2018,S/D,960626.61,1115575.58,29,8.11,25,364,3.2,S/D,260,11.6,248,2.17,13.3,6.57,154,155,33,17.7,25,S/D,S/D,0.696,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,15.5,4600,930.0000000000001,S/D
Rio La Paila,2019,BUGALAGRANDE,Rio La Paila,Rio La Paila - Puente Paila arriba - vía a Sevilla,0422-2019,23/04/2019,12:30,Aguas Superficiales,23/04/2019 al 25/06/2019,0497 - 08/07/2019,S/D,960671.16,1115539.94,24,7.92,23.5,206,210,S/D,392,169,223,4.7,44.7,6.32,86.2,81.3,18.9,8.27,8.01,S/D,S/D,0.483,0.0898,0.134,0.283,2.04,0.353,8.71,3.64,S/D,S/D,S/D,S/D,S/D,S/D,7.91,9300,9300,S/D
Rio La Paila,2019,BUGALAGRANDE,Rio La Paila,Rio La Paila - Puente Paila arriba - vía a Sevilla,0947-2019,23/07/2019,01:20,Aguas Superficiales,23/07/2019 al 17/09/2019,0943 - 09/09/2019,S/D,960671.16,1115539.94,28,8.65,26,369,2,S/D,214,11.6,202,1.2,11.1,7.53,164,159,35.8,16.9,20.7,S/D,0.366,0.052,0.0898,0.134,0.0662,0.318,0.353,15.3,1.69,S/D,S/D,S/D,S/D,S/D,S/D,9.42,15000,7300,S/D
Rio La Paila,2020,BUGALAGRANDE,Rio La Paila,Rio La Paila - Puente Paila arriba - vía a Sevilla,0190-2020,16/07/2020,01:36,Aguas Superficiales,16/07/2020 al 27/07/2020 Fin de este informe,0181 - 31/07/2020,S/D,960671.16,1115539.94,30,8.67,28.8,374,11,S/D,232,22,210,1.98,17.4,9.39,137,166,34.8,19.3,32.2,S/D,0.25,0.181,0.024,0.203,0.0935,0.927,0.062,16.6,1.87,S/D,S/D,S/D,S/D,S/D,S/D,10.5,2400,2400,S/D
Rio La Paila,2021,BUGALAGRANDE,Rio La Paila,Rio La Paila - Puente Paila arriba - vía a Sevilla,0647-2021,22/07/2021,01:55,Aguas Superficiales,22/07/2021 al 25/08/2021 Fin de este informe,0728 - 01/09/2021,S/D,960671.16,1115539.94,31,S/D,28,405,1.5,22.5,226,11.6,214,2.61,15.5,8.05,174,885,267,53.5,22.8,S/D,0.25,0.201,1.82,0.202,0.0935,0.333,0.0615,17.3,2.11,S/D,S/D,S/D,S/D,S/D,S/D,10.1,930.0000000000001,930.0000000000001,S/D
