Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio La Paila,2016,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,0222-2016,04/05/2016,01:00,Aguas Superficiales,04/05/2016 al 25/05/2016,0263 - 09/06/2016,S/D,966637.94,1117021.6,28,7.81,28.6,325,10,S/D,232,11.6,220,1.26,34.7,6.14,100,140,29.7,16,5.21,S/D,1.24,1.24,0.00882,0.0248,0.0907,0.884,0.526,6.9,1.68,S/D,S/D,S/D,S/D,S/D,S/D,9.9,430,90,S/D
Rio La Paila,2016,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,1199-2016,25/10/2016,02:48,Aguas Superficiales,25/10/2016 al 22/11/2016,1295 - 12/12/2016,S/D,966637.94,1117021.6,27,7.96,22.8,148,693,S/D,2558,1290,1268,3.48,76.1,7.54,62.4,104,20,13.1,6.55,S/D,1.7,*,0.0496,0.209,0.421,11.3,0.918,3.77,33.1,S/D,S/D,S/D,S/D,S/D,S/D,*,2300,2300,S/D
Rio La Paila,2017,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,0220-2017,04/04/2017,11:40,Aguas Superficiales,04/04/2017 al 11/05/2017,0209 - 02/05/2017,S/D,966637.94,1117021.6,30,7.97,28.6,298,6.7,S/D,202,11.6,190,0.954,9.07,5.99,126,122,25.3,14.3,8.84,2.65,1.14,0.52,0.00973,0.0562,0.0509,1.24,0.353,6.53,1.44,S/D,S/D,S/D,S/D,S/D,S/D,10.7,*,*,S/D
Rio La Paila,2017,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,1072-2017,15/08/2017,12:30,Aguas Superficiales,15/08/2017 al 18/09/2017,1063 - 27/09/2017,S/D,966637.94,1117021.6,28,S/D,26,262,3,S/D,200,11.6,188,1.17,40.6,6.29,148,143,30.5,16.3,12.9,S/D,S/D,0.35,0.122,0.24,0.0662,S/D,0.109,S/D,1.68,S/D,S/D,S/D,S/D,S/D,S/D,6.55,230,230,S/D
Rio La Paila,2018,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,0284-2018,21/03/2018,11:50,Aguas Superficiales,21/03/2018 al 02/05/2018,0283-1 - 06/12/2018,S/D,966637.94,1117021.6,28,9.05,27.6,264,4,S/D,162,18,144,1.84,18.3,7.08,124,103,24.9,9.9,11.8,S/D,S/D,0.138,0.0898,0.0933,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7.31,430,30,S/D
Rio La Paila,2018,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,1096-2018,09/08/2018,12:00,Aguas Superficiales,09/08/2018 al 22/08/2018,1061 - 03/09/2018,S/D,966637.94,1117021.6,29,8.3,23,260,2.6,S/D,196,11.6,184,1.15,11.1,7.39,116,119,16.1,19.1,9.42,S/D,S/D,0.796,0.0898,0.134,0.07,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.62,2400,230,S/D
Rio La Paila,2019,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,0423-2019,23/04/2019,12:50,Aguas Superficiales,23/04/2019 al 25/06/2019,0498 - 08/07/2019,S/D,966637.8911436548,1117021.619933143,24,8.01,23.6,202,220,S/D,382,177,205,4.89,54.5,6.21,86.6,82.2,18.2,8.96,8.08,S/D,S/D,0.749,0.0898,0.134,0.272,1.93,0.353,8.75,3.64,S/D,S/D,S/D,S/D,S/D,S/D,8.19,43000,23000,S/D
Rio La Paila,2019,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,0948-2019,23/07/2019,01:45,Aguas Superficiales,23/07/2019 al 14/08/2019,0944 - 09/09/2019,S/D,966637.8911436548,1117021.619933143,28,8.84,26,293,1.9,S/D,120,11.6,108,1.12,11.1,6.46,149,133,27.7,15.6,8.67,S/D,0.366,0.064,0.0898,0.134,0.0662,0.318,0.353,6.44,1.27,S/D,S/D,S/D,S/D,S/D,S/D,5.48,1100,1100,S/D
Rio La Paila,2020,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,0191-2020,16/07/2020,02:02,Aguas Superficiales,16/07/2020 al 27/07/2020 Fin de este informe,0182 - 31/07/2020,S/D,966637.8911436548,1117021.619933143,30,8.85,28.6,374,1.9,S/D,160,11.6,148,1.29,11.1,9.33,154,58.6,21.1,1.46,23.9,S/D,0.25,0.181,0.0101,0.203,0.0935,0.349,0.0571,15.2,1.91,S/D,S/D,S/D,S/D,S/D,S/D,9.74,230,40,S/D
Rio La Paila,2021,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,0648-2021,22/07/2021,01:27,Aguas Superficiales,22/07/2021 al 25/08/2021 Fin de este informe,0729 - 01/09/2021,S/D,966637.8911436548,1117021.619933143,30,S/D,27,435,1.6,19,232,11.6,220,2.05,15.1,7.02,199,1058,194,140,21.2,S/D,0.25,0.201,1.92,0.202,0.0935,0.296,0.0571,17.4,2.08,S/D,S/D,S/D,S/D,S/D,S/D,10.6,2400,2400,S/D
Rio La Paila,2021,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,0650-2021,22/07/2021,12:10,Aguas Superficiales,22/07/2021 al 25/08/2021 Fin de este informe,0731 - 01/09/2021,S/D,966637.8911436548,1117021.619933143,32,S/D,29,421,150,273,504,323,181,125,243,1.05,170,876,119,141,12.4,S/D,0.25,0.201,1.56,0.202,1.5,9.14,0.338,21.6,5.3,S/D,S/D,S/D,S/D,S/D,S/D,10.1,930000.0000000001,930000.0000000001,S/D
Rio La Paila,2021,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,1441-2021,30/11/2021,01:35,Aguas Superficiales,30/11/2021 al 13/01/2022 Fin de este informe,1652 - 07/02/2022,S/D,966637.8911436548,1117021.619933143,24,S/D,21,245,140,371,362,177,185,2.86,41.7,6.62,123,103,21.4,12.1,6.39,S/D,0.25,0.285,0.034,0.202,0.0959,5.97,0.139,11,3.12,S/D,S/D,S/D,S/D,S/D,S/D,7.26,4600,2400,S/D
Rio La Paila,2022,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,0420-2022,19/04/2022,01:15,Aguas Superficiales,19/04/2022 al 28/04/2022 Fin de este informe,0469 - 24/05/2022,S/D,966637.8911436548,1117021.619933143,24,7.97,24.7,280,90,25.7,364,156,208,2.29,21.4,6.48,122,122,24.2,14.9,7.73,S/D,0.25,0.465,0.021,0.202,0.0959,4.2,0.124,9.85,2.27,S/D,S/D,S/D,S/D,S/D,S/D,5.87,430000,40000,S/D
Rio La Paila,2022,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,1088-2022,26/07/2022,02:01,Aguas Superficiales,26/07/2022 al 05/08/2022 Fin de este informe,1222 - 06/09/2022,S/D,966637.8911436548,1117021.619933143,27,7.63,24.3,277,450,680,600,153,447,2.27,24.9,5.98,143,121,29.7,11.3,15.5,1.56,0.25,0.303,0.011,0.088,0.0959,13.6,0.332,13.8,2.63,S/D,S/D,S/D,S/D,S/D,S/D,8.02,43000,43000,S/D
Rio La Paila,2023,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,0509-2023,09/05/2023,10:40,Aguas Superficiales,09/05/2023 al 23/06/2023 Fin de este informe,0765 - 13/09/2023,S/D,966637.8911436548,1117021.619933143,30,8.57,26.6,366,3,18.7,260,11.6,248,1.09,26.1,8.28,176,174,32.9,22.4,2.2,0.528,0.25,0.201,0.0101,0.202,0.0946,0.192,0.0571,14,1.83,S/D,S/D,S/D,S/D,S/D,S/D,2.5,24000,24000,S/D
Rio La Paila,2023,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,1273-2023,31/08/2023,11:35,Aguas Superficiales,31/08/2023 al 19/09/2023 Fin de este informe,1557 - 20/11/2023,S/D,966637.8911436548,1117021.619933143,30,8.32,26.9,289,3,17.3,218,11.6,206,1.25,11,8.74,161,186,18.4,34.1,19.3,S/D,0.25,0.201,0.011,0.202,0.0946,0.19,0.0571,16.9,2.17,S/D,S/D,S/D,S/D,S/D,S/D,9.5,46000,46000,S/D
Rio La Paila,2024,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,0824-2024,20/06/2024,10:15,Aguas Superficiales,20/06/2024 al 24/07/2024 Fin de este informe,1090 - 13/08/2024,S/D,966637.8911436548,1117021.619933143,25,7.72,23.5,311,50,S/D,282,41.1,241,1.77,22.2,6.45,152,137,30,15.1,21.4,2.02,S/D,0.426,0.012,0.326,0.205,3.02,0.085,13.9,3.29,S/D,S/D,S/D,S/D,S/D,S/D,13.8,4600,4300,S/D
Rio La Paila,2024,ZARZAL,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,1239-2024,12/08/2024,12:40,Aguas Superficiales,12/08/2024 al 03/09/2024 Fin de este informe,1399 - 09/09/2024,S/D,966637.8911436548,1117021.619933143,27,8.8,26.8,339,3.9,13.8,236,11.7,224,1.81,12.4,10.3,159,145,31.3,16.3,13.8,0.463,S/D,0.226,0.017,0.326,0.0946,0.184,0.0587,10.3,1.61,S/D,S/D,S/D,S/D,S/D,S/D,8.5,4600,2400,S/D
Rio La Paila,2025,S/D,Rio La Paila,Rio La Paila - Antes desembocadura del rio Totoro,0738-2025,10/07/2025,11:30,Simple - Protocolo IDEAM,10/07/2025 al 30/07/2025,0877 - 29/09/2025,990,966637.8911436548,1117021.619933143,33.9,8.83,25.5,360,1.9,10.5,237,11.7,225,1.4,12.4,9.57,209,185,43.3,18.7,18,0.419,S/D,0.226,0.0101,0.326,0.0946,0.138,0.0587,14.1,1.57,S/D,S/D,S/D,S/D,S/D,S/D,15,37,230,S/D
