Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Nima,2016,PALMIRA,Rio Nima,Rio Nima - Acueducto Nima,0358-2016,24/05/2016,09:20,Aguas Superficiales,24/05/2016 al 09/06/2016,0389 - 06/07/2016,S/D,881663.72,1099577.52,22,8.37,21.4,170,3,S/D,102,11.6,90.4,1.31,13.9,7.54,49.8,148,29.7,18,3.54,S/D,0.99,0.151,0.00748,0.0248,0.0922,0.669,0.526,2.39,0.637,S/D,S/D,S/D,S/D,S/D,S/D,27.5,930.0000000000001,430,S/D
Rio Nima,2016,PALMIRA,Rio Nima,Rio Nima - Acueducto Nima,1232-2016,27/10/2016,09:55,Aguas Superficiales,27/10/2016 al 25/11/2016,1350 - 30/12/2016,S/D,881663.72,1099577.52,24,7.7,14.6,202,21,S/D,228,88.5,140,0.954,9.07,7.53,56.6,104,21.6,12.2,5.24,S/D,1.21,0.1,0.00748,0.0248,0.059,0.67,0.526,2.9,4.49,S/D,S/D,S/D,S/D,S/D,S/D,45.3,230,36,S/D
Rio Nima,2017,PALMIRA,Rio Nima,Rio Nima - Acueducto Nima,0228-2017,05/04/2017,09:30,Aguas Superficiales,05/04/2017 al 11/05/2017,0213 - 22/05/2017,S/D,881663.72,1099577.52,26,8.08,13,180,20,S/D,152,38,114,0.954,9.07,7.81,60.2,86,17.2,10.5,1.1,2.02,1.24,0.48,0.00973,0.0562,0.0509,7.85,0.353,3.09,0.522,S/D,S/D,S/D,S/D,S/D,S/D,26.5,*,*,S/D
Rio Nima,2017,PALMIRA,Rio Nima,Rio Nima - Acueducto Nima,1157-2017,24/08/2017,10:30,Aguas Superficiales,24/08/2017 al 26/09/2017,1159 - 13/10/2017,S/D,881663.72,1099577.52,15,8.03,17,187,1.05,S/D,340,12,328,1.21,11.1,6.56,70.7,115,28.9,10.5,2.71,S/D,S/D,8.67,0.122,0.24,0.0662,S/D,0.245,S/D,0.634,S/D,S/D,S/D,S/D,S/D,S/D,29.2,930.0000000000001,430,S/D
Rio Nima,2018,PALMIRA,Rio Nima,Rio Nima - Acueducto Nima,0351-2018,10/04/2018,10:00,Aguas Superficiales,10/04/2018 al 02/05/2018,0345 - 27/04/2018,S/D,881663.72,1099577.52,23,7.88,18,187,1.7,S/D,224,110,114,1.09,15.1,7.63,63.3,78.6,24.5,4.24,2.97,S/D,S/D,0.562,0.0898,0.0933,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,33.1,230,36,S/D
Rio Nima,2018,PALMIRA,Rio Nima,Rio Nima - Acueducto Nima,1266-2018,30/08/2018,10:31,Aguas Superficiales,30/08/2018 al 05/09/2018,1329 - 10/10/2018,S/D,881663.72,1099577.52,24,8.32,16.2,120,3.6,S/D,112,11.6,100,1.65,22.5,7.91,33.3,57,16.1,4.09,1.99,S/D,S/D,0.304,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,24.3,430,430,S/D
Rio Nima,2019,PALMIRA,Rio Nima,Rio Nima - Acueducto Nima,0448-2019,25/04/2019,10:32,Aguas Superficiales,25/04/2019 al 25/06/2019,0523 - 08/07/2019,S/D,881663.72,1099577.52,25,8.11,19.5,168,320,S/D,570,464,106,1.68,11.1,7.41,54.3,71.8,18.6,6.2,4.34,S/D,S/D,2.33,0.0898,0.134,0.164,3.26,0.353,2.74,0.858,S/D,S/D,S/D,S/D,S/D,S/D,28.7,90,90,S/D
Rio Nima,2019,PALMIRA,Rio Nima,Rio Nima - Acueducto Nima,1017-2019,30/07/2019,09:35,Aguas Superficiales,30/07/2019 al 15/08/2019,1093 - 24/09/2019,S/D,881663.72,1099577.52,17,8.19,10,143,3.2,S/D,142,17,125,0.921,11.1,7.02,60.2,68,21.2,3.7,1.35,S/D,0.366,0.0638,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,23.4,430,430,S/D
Rio Nima,2021,PALMIRA,Rio Nima,Rio Nima - Acueducto Nima,0465-2021,22/06/2021,10:40,Agua,22/06/2021 al 16/07/2021 Fin de este informe,0504 - 03/08/2021,S/D,881663.72,1099577.52,25,S/D,19,151,32,15,204,83,121,1.98,12.5,8.07,51.5,63.9,15.9,5.88,2.2,S/D,0.25,0.22,0.0101,0.202,0.0935,2.42,0.0571,2.23,0.8,S/D,S/D,S/D,S/D,S/D,S/D,21,2400,2400,S/D
Rio Nima,2021,PALMIRA,Rio Nima,Rio Nima - Acueducto Nima,0709-2021,03/08/2021,10:00,Aguas Superficiales,03/08/2021 al 17/09/2021 Fin de este informe,0811 - 24/09/2021,S/D,881663.72,1099577.52,28,7.41,16.5,116,19,33,140,45,95,1.29,11,8.22,39,70.6,19.4,5.42,2.14,S/D,0.25,0.171,0.0101,0.203,0.0959,1.9,0.0786,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,17.5,2400,2400,S/D
