Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Nima,2016,PALMIRA,Rio Nima,Rio Nima - Antes Caserio de tenjo,0357-2016,24/05/2016,08:55,Aguas Superficiales,24/05/2016 al 16/06/2016,0388 - 06/07/2016,S/D,880912.47,1102479.59,20,8.34,19.5,167,3,S/D,122,11.6,110,1.18,24.7,7.74,40.8,130,25.7,16,4.79,S/D,0.99,0.115,0.00748,0.0248,0.0585,0.669,0.526,2.31,0.385,S/D,S/D,S/D,S/D,S/D,S/D,28.6,230,36,S/D
Rio Nima,2016,PALMIRA,Rio Nima,Rio Nima - Antes Caserio de tenjo,1231-2016,27/10/2016,09:35,Aguas Superficiales,27/10/2016 al 25/11/2016,1349 - 30/12/2016,S/D,880912.47,1102479.59,22,7.6,13.4,182,19,S/D,224,44,180,0.954,9.07,7.65,51.8,99,20.8,11.4,4.72,S/D,1.16,0.37,0.00748,0.0248,0.802,0.67,0.526,2.04,4.5,S/D,S/D,S/D,S/D,S/D,S/D,44.2,430,230,S/D
Rio Nima,2017,PALMIRA,Rio Nima,Rio Nima - Antes Caserio de tenjo,0227-2017,05/04/2017,09:10,Aguas Superficiales,05/04/2017 al 11/05/2017,0212 - 22/05/2017,S/D,880912.47,1102479.59,22,7.88,12,179,18,S/D,166,33,133,0.96,9.07,8.02,55.8,85,17.6,9.97,0.84,1.86,1.38,0.56,0.00973,0.0562,0.0509,0.318,0.353,1.56,0.524,S/D,S/D,S/D,S/D,S/D,S/D,27.4,*,*,S/D
Rio Nima,2017,PALMIRA,Rio Nima,Rio Nima - Antes Caserio de tenjo,1156-2017,24/08/2017,10:15,Aguas Superficiales,24/08/2017 al 26/09/2017,1158 - 13/10/2017,S/D,880912.47,1102479.59,22,7.79,16,172,0.7,S/D,96,11.6,84.4,1.37,16.1,7.48,235,120,30.5,10.7,2.09,S/D,S/D,9.54,0.122,0.24,0.0662,S/D,0.109,S/D,11.7,S/D,S/D,S/D,S/D,S/D,S/D,32.2,1220,1220,S/D
Rio Nima,2018,PALMIRA,Rio Nima,Rio Nima - Antes Caserio de tenjo,0350-2018,10/04/2018,09:35,Aguas Superficiales,10/04/2018 al 02/05/2018,0344 - 27/04/2018,S/D,880912.47,1102479.59,20,8.07,11,285,1.1,S/D,226,118,108,1.02,11.6,7.66,65.9,69.8,24.1,2.36,2.82,S/D,S/D,0.716,0.0898,0.0933,0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,35.3,90,"<3,00+01",S/D
Rio Nima,2018,PALMIRA,Rio Nima,Rio Nima - Antes Caserio de tenjo,1265-2018,30/08/2018,10:52,Aguas Superficiales,30/08/2018 al 05/09/2018,1328 - 10/10/2018,S/D,880912.47,1102479.59,24,8.28,14.9,113,3.5,S/D,108,11.6,96.4,1.7,28,8.09,31.6,44,12.4,3.18,1.94,S/D,S/D,0.169,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,23.7,2400,930.0000000000001,S/D
Rio Nima,2019,PALMIRA,Rio Nima,Rio Nima - Antes Caserio de tenjo,0447-2019,25/04/2019,10:54,Aguas Superficiales,25/04/2019 al 25/06/2019,0522 - 08/07/2019,S/D,880912.47,1102479.59,25,8.22,19,149,270,S/D,532,404,128,2.58,12.1,7.51,49,80.3,22.7,5.74,3.33,S/D,S/D,1.68,0.0898,0.134,0.187,4.12,0.396,4.06,0.913,S/D,S/D,S/D,S/D,S/D,S/D,29.5,430,430,S/D
Rio Nima,2019,PALMIRA,Rio Nima,Rio Nima - Antes Caserio de tenjo,1016-2019,30/07/2019,09:04,Aguas Superficiales,30/07/2019 al 15/08/2019,1092 - 24/09/2019,S/D,880912.47,1102479.59,16,8.26,10,139,2.1,S/D,118,13,105,1.31,11.1,7.89,56.8,62.9,20.4,2.94,0.957,S/D,0.366,0.052,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,20.7,90,40,S/D
Rio Nima,2021,PALMIRA,Rio Nima,Rio Nima - Antes Caserio de tenjo,0464-2021,22/06/2021,11:05,Agua,22/06/2021 al 16/07/2021 Fin de este informe,0503 - 03/08/2021,S/D,880912.47,1102479.59,26,S/D,17.5,145,22,19,180,63,117,2.41,11,8.24,37,60.3,16,4.98,2.2,S/D,0.25,0.201,0.0101,0.202,0.0935,1.73,0.0571,2.19,0.8,S/D,S/D,S/D,S/D,S/D,S/D,21.7,930.0000000000001,930.0000000000001,S/D
Rio Nima,2021,PALMIRA,Rio Nima,Rio Nima - Antes Caserio de tenjo,0708-2021,03/08/2021,10:25,Aguas Superficiales,03/08/2021 al 17/09/2021 Fin de este informe,0810 - 24/09/2021,S/D,880912.47,1102479.59,27,7.24,16.2,110,13,41.3,114,32,82,1.09,11,8.35,36,59.7,13.7,6.2,2.14,S/D,0.25,0.171,0.0101,0.203,0.0959,1.51,0.0844,2,0.8,S/D,S/D,S/D,S/D,S/D,S/D,17.4,90,90,S/D
