Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Nima,2016,EL CERRITO,Rio Nima,Rio Nima - antes desembocadura a rio Amaime,0359-2016,24/05/2016,10:20,Aguas Superficiales,24/05/2016 al 09/06/2016,0390 - 06/07/2016,S/D,890332,1088729,28,8.03,27.3,367,3,S/D,244,11.6,232,2.42,33.4,6.34,137,242,47.3,30.1,7.48,S/D,0.96,1.25,0.0425,0.221,0.264,0.669,0.526,4.74,3.17,S/D,S/D,S/D,S/D,S/D,S/D,40.8,11000,2400,S/D
Rio Nima,2016,EL CERRITO,Rio Nima,Rio Nima - antes desembocadura a rio Amaime,1233-2016,27/10/2016,11:20,Aguas Superficiales,27/10/2016 al 25/11/2016,1351 - 30/12/2016,S/D,890332,1088729,28,7.68,20.2,295,6.2,S/D,256,11.6,244,1.07,9.37,6.77,101,145,29.3,17.5,7.14,S/D,1.29,1.53,0.068,0.207,0.37,0.67,0.526,3.95,11.1,S/D,S/D,S/D,S/D,S/D,S/D,38.8,9300,4300,S/D
Rio Nima,2017,EL CERRITO,Rio Nima,Rio Nima - antes desembocadura a rio Amaime,0229-2017,05/04/2017,10:50,Aguas Superficiales,05/04/2017 al 11/05/2017,0214 - 22/05/2017,S/D,890332,1088729,25,7.97,16,240,88,S/D,294,120,174,1.12,9.07,7.08,91.2,124,25.7,14.6,0.281,1.96,1.5,1.36,0.018,0.0562,0.0509,0.928,0.353,1.86,0.649,S/D,S/D,S/D,S/D,S/D,S/D,25.2,*,*,S/D
Rio Nima,2017,EL CERRITO,Rio Nima,Rio Nima - antes desembocadura a rio Amaime,1158-2017,24/08/2017,11:21,Aguas Superficiales,24/08/2017 al 26/09/2017,1160 - 13/10/2017,S/D,890332,1088729,24,7.72,17,351,1.25,S/D,534,14,520,1.43,22.1,2.55,80.4,183,39.7,20.4,6.16,S/D,S/D,0.55,0.122,0.24,0.269,S/D,0.153,S/D,1.57,S/D,S/D,S/D,S/D,S/D,S/D,25.5,930000.0000000001,210000,S/D
Rio Nima,2018,EL CERRITO,Rio Nima,Rio Nima - antes desembocadura a rio Amaime,0352-2018,10/04/2018,11:25,Aguas Superficiales,10/04/2018 al 02/05/2018,0346 - 27/04/2018,S/D,890332,1088729,26,8.02,22,361,240,S/D,624,326,298,3.54,29.7,7.18,82.9,94.1,20.6,10.4,2.96,S/D,S/D,0.612,0.0898,0.0933,0.245,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,27.6,2100,90,S/D
Rio Nima,2018,EL CERRITO,Rio Nima,Rio Nima - antes desembocadura a rio Amaime,1267-2018,30/08/2018,12:34,Aguas Superficiales,30/08/2018 al 12/09/2018,1330 - 10/10/2018,S/D,890283.11,1088751.85,28,7.7,21.9,204,5.6,S/D,160,11.6,148,5.08,28.3,6.31,80.1,91.6,21.7,9.09,3.08,S/D,S/D,0.296,0.0898,0.134,0.108,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,25.7,430000,150000,S/D
Rio Nima,2019,EL CERRITO,Rio Nima,Rio Nima - Antes desembocadura a rio Amaime,0449-2019,25/04/2019,12:04,Aguas Superficiales,25/04/2019 al 25/06/2019,0524 - 08/07/2019,S/D,890283.11,1088751.85,29,7.84,22.4,225,390,S/D,1060,1010,50,20.3,28.8,6.52,88.9,123,32.2,10.3,4.21,S/D,S/D,2.05,0.0898,0.134,0.236,3.45,0.353,9.55,1.97,S/D,S/D,S/D,S/D,S/D,S/D,25.1,90,90,S/D
Rio Nima,2019,EL CERRITO,Rio Nima,Rio Nima - Antes desembocadura a rio Amaime,1018-2019,30/07/2019,11:00,Aguas Superficiales,30/07/2019 al 15/08/2019,1094 - 24/09/2019,S/D,890283.11,1088751.85,26,7.65,16,317,17,S/D,254,25,229,28.1,47.7,3.72,142,143,34.6,13.8,6.08,S/D,0.366,0.0595,0.188,0.483,1.61,0.597,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,20.2,4600000,4600000,S/D
Rio Nima,2021,EL CERRITO,Rio Nima,Rio Nima - Antes desembocadura a rio Amaime,0466-2021,22/06/2021,12:50,Agua,22/06/2021 al 16/07/2021 Fin de este informe,0505 - 03/08/2021,S/D,890283.11,1088751.85,27,S/D,22.5,216,85,28.3,370,213,157,3.37,17.4,7.3,107,93.3,22.8,8.87,2.36,S/D,0.25,0.393,0.021,0.202,0.0935,7.86,0.166,3.61,0.921,S/D,S/D,S/D,S/D,S/D,S/D,20.4,93000,93000,S/D
Rio Nima,2021,EL CERRITO,Rio Nima,Rio Nima - Antes desembocadura a rio Amaime,0710-2021,03/08/2021,10:25,Aguas Superficiales,03/08/2021 al 17/09/2021 Fin de este informe,0812 - 24/09/2021,S/D,890283.11,1088751.85,27,7.24,19.8,170,65,43,324,188,136,6.27,13.4,6.92,71,91.5,17.9,11.4,2.2,S/D,0.25,0.278,0.024,0.203,0.0959,9.76,0.202,2.3,0.8,S/D,S/D,S/D,S/D,S/D,S/D,18.8,240000,240000,S/D
