Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Palo,2015,Guachené,Río Palo,Antes de PTAR Guachené,S/D,17/06/2015,S/D,S/D,S/D,S/D,1034.49,837409.1,1076339.9,S/D,7.49,20.4,151.8,94,389,S/D,153,S/D,0.7,7,8.7,50.6,62.2,S/D,S/D,S/D,S/D,S/D,2.12,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,82400,10000,S/D
Rio Palo,2015,Guachené,Río Palo,Antes de PTAR Guachené,S/D,15/07/2015,S/D,S/D,S/D,S/D,1034.49,837409.1,1076339.9,S/D,7.71,21.2,144.5,110,266,S/D,204,S/D,0.9,4,8.1,48.9,56.4,S/D,S/D,S/D,S/D,S/D,2.2,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,78000,8000,S/D
Rio Palo,2015,Guachené,Río Palo,Antes de PTAR Guachené,S/D,16/09/2015,S/D,S/D,S/D,S/D,1034.49,837409.1,1076339.9,S/D,7.62,22.3,162.3,196,180,S/D,527,S/D,0.5,10,6.51,54.5,60.3,S/D,S/D,S/D,S/D,S/D,1.11,0.07,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7200,100,S/D
Rio Palo,2015,Guachené,Río Palo,Antes de PTAR Guachené,S/D,05/11/2015,S/D,S/D,S/D,S/D,1034.49,837409.1,1076339.9,S/D,6.4,S/D,106.9,36.4,93,S/D,49.2,S/D,0.6,10,8.87,48.6,S/D,S/D,S/D,S/D,S/D,S/D,S/D,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4500,S/D,S/D
Rio Palo,2016,Guachené,Río Palo,Antes de PTAR Guachené,S/D,05/04/2016,S/D,S/D,S/D,S/D,1034.49,837409.1,1076339.9,S/D,6.7,19.8,100.8,39.1,202,S/D,77,S/D,0.6,10,7.38,48.6,51.4,S/D,S/D,S/D,S/D,S/D,2.31,0.03,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,180000,4000,S/D
Rio Palo,2016,Guachené,Río Palo,Antes de PTAR Guachené,S/D,23/08/2016,S/D,S/D,S/D,S/D,1034.49,837409.1,1076339.9,S/D,3.85,21.5,177.7,51.3,116,S/D,101,S/D,0.9,15,6.38,28,39.8,S/D,S/D,S/D,S/D,S/D,2.75,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,69000,3000,S/D
Rio Palo,2016,Guachené,Río Palo,Antes de PTAR Guachené,S/D,24/10/2016,S/D,S/D,S/D,S/D,1034.49,837409.1,1076339.9,S/D,7.51,21.8,158.3,16.3,66,S/D,25.6,S/D,1.7,15,6.51,53.3,70.2,S/D,S/D,S/D,S/D,S/D,2.72,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,25800,1000,S/D
Rio Palo,2017,Guachené,Río Palo,Antes de PTAR Guachené,S/D,17/05/2017,S/D,S/D,S/D,S/D,1003,837689.685499999,1075986.20449999,S/D,8.9,24.1,542,36.5,440,S/D,91.4,S/D,18.3,94.1,2.37,S/D,202,S/D,S/D,S/D,S/D,S/D,0.04,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,1.036,140000,0.79
Rio Palo,2017,Guachené,Río Palo,Antes de PTAR Guachené,S/D,11/07/2017,S/D,S/D,S/D,S/D,1003,837689.685499999,1075986.20449999,S/D,6.67,17.6,70.4,15.6,102,S/D,34.2,S/D,0.8,14,7.2,29,47.2,S/D,S/D,S/D,S/D,S/D,0.01,0.15,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,2900,200,S/D
Rio Palo,2017,Guachené,Río Palo,Antes de PTAR Guachené,S/D,11/10/2017,S/D,S/D,S/D,S/D,1003,837689.685499999,1075986.20449999,S/D,7.53,23.2,89.4,9,59,S/D,26.2,S/D,0.8,14,7.98,11,67.7,S/D,S/D,S/D,S/D,S/D,0.01,0.46,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3900,10,0
