Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Palo,2017,Caloto,Río Palo,Bocatoma corregimiento El Palo,S/D,17/05/2017,S/D,S/D,S/D,S/D,1039,830374.823799999,1081019.17269999,S/D,8.79,21.8,250.8,15.5,209,S/D,41,S/D,0.8,14,6.71,S/D,109,S/D,S/D,S/D,S/D,S/D,0.04,0.33,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,16400,1000,0.15
Rio Palo,2017,Caloto,Río Palo,Bocatoma corregimiento El Palo,S/D,11/07/2017,S/D,S/D,S/D,S/D,1039,830374.823799999,1081019.17269999,S/D,6.72,16.6,69.3,4.5,91,S/D,20.3,S/D,0.8,14,5.22,27,45,S/D,S/D,S/D,S/D,S/D,0.02,0.14,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4800,10,S/D
Rio Palo,2017,Caloto,Río Palo,Bocatoma corregimiento El Palo,S/D,11/10/2017,S/D,S/D,S/D,S/D,1039,830374.823799999,1081019.17269999,S/D,7.21,22.6,87.1,4,40,S/D,15,S/D,0.8,14,8.01,12,62.2,S/D,S/D,S/D,S/D,S/D,0.01,0.43,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,1400,10,3.081
Rio Palo,2018,Caloto,Río Palo,Bocatoma corregimiento El Palo,S/D,17/04/2018,S/D,S/D,S/D,S/D,1102.7,830374.823799999,1081019.17269999,S/D,8.37,19.1,103.8,37.1,242,S/D,117,S/D,0.8,14,7.45,44.9,47,S/D,S/D,S/D,S/D,S/D,1.7,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,21800,1900,S/D
Rio Palo,2018,Caloto,Río Palo,Bocatoma corregimiento El Palo,S/D,26/06/2018,S/D,S/D,S/D,S/D,1102.7,830374.823799999,1081019.17269999,S/D,8.01,17,103.2,13.1,27,S/D,75.3,S/D,0.8,14,7.04,38.3,40.5,S/D,S/D,S/D,S/D,S/D,0.1,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,15200,1100,S/D
Rio Palo,2018,Caloto,Río Palo,Bocatoma corregimiento El Palo,S/D,19/09/2018,S/D,S/D,S/D,S/D,1102.7,830374.823799999,1081019.17269999,S/D,8.28,19.5,121.3,21.4,114,S/D,57,S/D,0.8,14,7.21,46.1,51.5,S/D,S/D,S/D,S/D,S/D,0.1,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3200,10,3.535
Rio Palo,2019,Caloto,Río Palo,Bocatoma corregimiento El Palo,S/D,25/04/2019,S/D,S/D,S/D,S/D,1102.7,830374.823799999,1081019.17269999,S/D,7.48,18,93.8,128,650,S/D,380,S/D,9.9,17.3,8.41,36.5,38.1,S/D,S/D,S/D,S/D,S/D,0.1,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8900,600,S/D
Rio Palo,2019,Caloto,Río Palo,Bocatoma corregimiento El Palo,S/D,31/07/2019,S/D,S/D,S/D,S/D,1102.7,830374.823799999,1081019.17269999,S/D,7.67,17,89.8,1.9,4,S/D,9.9,S/D,0.89,14.9,7.71,41.5,44.8,S/D,S/D,S/D,S/D,S/D,0.25,0.33,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3400,100,6.262
Rio Palo,2019,Caloto,Río Palo,Bocatoma corregimiento El Palo,S/D,05/12/2019,S/D,S/D,S/D,S/D,1102.7,830374.823799999,1081019.17269999,S/D,7.32,18.1,96.81,11.4,103,S/D,251,S/D,0.89,14.9,7.02,46.4,47.7,S/D,S/D,S/D,S/D,S/D,0.31,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,17900,900,S/D
Rio Palo,2021,Caloto,Río Palo,Bocatoma corregimiento El Palo,S/D,10/06/2021,S/D,S/D,S/D,S/D,1102.7,830374.823799999,1081019.17269999,S/D,7.36,16.5,76.32,28.2,82,S/D,182,S/D,10,18,8.16,36.8,57.8,S/D,S/D,S/D,0.7,S/D,0.64,< 0.02,S/D,1.44,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,48840,1460,S/D
