Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Palo,2015,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,17/06/2015,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,6.94,24.9,241.3,7.7,35,S/D,29,S/D,3.8,11.4,3.2,80,94.7,S/D,S/D,S/D,S/D,S/D,2,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,20000,1000,S/D
Rio Palo,2015,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,15/07/2015,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.92,20.6,95.2,24.4,78,S/D,26.1,S/D,4,9.4,5.6,82.2,85,S/D,S/D,S/D,S/D,S/D,1.98,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,25000,1000,S/D
Rio Palo,2015,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,16/09/2015,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.26,29.2,355,7.8,55,S/D,27.3,S/D,4.8,10,2.89,130,103,S/D,S/D,S/D,S/D,S/D,1.06,0.98,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,22000,700,S/D
Rio Palo,2015,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,05/11/2015,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.15,S/D,158.2,82.7,146,S/D,149,S/D,0.6,17.3,5.51,53.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,11000,S/D,S/D
Rio Palo,2016,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,05/04/2016,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,6.65,22.9,153.1,78.7,222,S/D,122,S/D,8.8,26.4,4.39,61.3,64.2,S/D,S/D,S/D,S/D,S/D,2.95,0.06,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5100,200,S/D
Rio Palo,2016,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,23/08/2016,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.57,25.6,863,43.7,99,S/D,148,S/D,6.4,54.6,1.08,173,115,S/D,S/D,S/D,S/D,S/D,3.92,0.03,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,500000,10000,S/D
Rio Palo,2016,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,24/10/2016,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.45,25.3,217.2,88.5,259,S/D,128,S/D,3.6,25.5,3.65,66,85.8,S/D,S/D,S/D,S/D,S/D,3.9,0.12,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,32000,1000,S/D
Rio Palo,2017,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,17/05/2017,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.25,20.4,148.6,150,261,S/D,528,S/D,0.8,14,4.15,45.6,63.7,S/D,S/D,S/D,S/D,S/D,0.02,0.48,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,29000,2000,S/D
Rio Palo,2017,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,11/07/2017,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.24,20.5,106.3,24,99,S/D,57,S/D,1,14,5.84,42,58.1,S/D,S/D,S/D,S/D,S/D,0.01,0.41,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,12000,1000,3.492
Rio Palo,2017,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,11/10/2017,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,8.1,25.2,213.5,39.7,268,S/D,170,S/D,5.6,14,4.71,15,84.3,S/D,S/D,S/D,S/D,S/D,0.06,0.7,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,31000,1000,5.117
Rio Palo,2018,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,17/04/2018,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.83,22.4,162.5,58.8,265,S/D,184,S/D,1,14,5.73,71,69.6,S/D,S/D,S/D,S/D,S/D,2,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,1536,30000,5.728
Rio Palo,2018,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,26/06/2018,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.61,21.3,153.8,27.6,42,S/D,170,S/D,0.8,14,5.39,59.6,61.1,S/D,S/D,S/D,S/D,S/D,0.19,0.19,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,35600,5400,S/D
Rio Palo,2018,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,19/09/2018,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.57,24.3,186.3,23.3,206,S/D,71.4,S/D,0.8,14,5.31,70,69.6,S/D,S/D,S/D,S/D,S/D,0.14,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7500,150,S/D
Rio Palo,2019,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,25/04/2019,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.23,21.5,140.1,283,1530,S/D,397,S/D,9.9,39.9,6.6,51.1,53.9,S/D,S/D,S/D,S/D,S/D,0.1,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6800,100,S/D
Rio Palo,2019,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,31/07/2019,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.85,22.8,162.9,12.4,28,S/D,46.7,S/D,1,14.9,3.9,67.4,62.9,S/D,S/D,S/D,S/D,S/D,0.43,0.03,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,53600,1900,S/D
Rio Palo,2019,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,05/12/2019,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,7.33,22.1,144.6,140,133,S/D,1265,S/D,1.6,27.8,5.34,48,56.6,S/D,S/D,S/D,S/D,S/D,2.34,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,77600,4000,S/D
Rio Palo,2020,Puerto Tejada,Río Palo,Desembocadura a río Cauca,S/D,16/06/2020,S/D,S/D,S/D,S/D,959.94,852161.496799999,1068793.4982,S/D,6.74,20.3,123.9,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.99,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D
