Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Palo,2017,Guachené,Río Palo,Después de PTAR Guachené,S/D,17/05/2017,S/D,S/D,S/D,S/D,981,838241.5603,1074929.7437,S/D,8.91,23.5,334,36.8,294,S/D,87.5,S/D,1.5,19.5,5.36,S/D,134,S/D,S/D,S/D,S/D,S/D,0.03,0.62,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,98000,10000,1.34
Rio Palo,2017,Guachené,Río Palo,Después de PTAR Guachené,S/D,11/07/2017,S/D,S/D,S/D,S/D,981,838241.5603,1074929.7437,S/D,6.51,18,69.6,13.2,104,S/D,39.3,S/D,1,38.5,6.24,29,41,S/D,S/D,S/D,S/D,S/D,0.01,0.31,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,18000,1000,S/D
Rio Palo,2017,Guachené,Río Palo,Después de PTAR Guachené,S/D,11/10/2017,S/D,S/D,S/D,S/D,981,838241.5603,1074929.7437,S/D,7.83,23.9,158.3,4.6,52,S/D,14.4,S/D,0.8,14,7.86,12,65.4,S/D,S/D,S/D,S/D,S/D,0.01,0.42,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,600,100,0
Rio Palo,2018,Guachené,Río Palo,Después de PTAR Guachené,S/D,17/04/2018,S/D,S/D,S/D,S/D,1011.67,838241.5603,1074929.7437,S/D,7.99,20.9,119.3,39.3,162,S/D,119,S/D,0.8,14,7.09,48.9,50.6,S/D,S/D,S/D,S/D,S/D,1.4,0.03,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,33600,5300,S/D
Rio Palo,2018,Guachené,Río Palo,Después de PTAR Guachené,S/D,26/06/2018,S/D,S/D,S/D,S/D,1011.7,838241.5603,1074929.7437,S/D,7.56,19.4,118.2,20.9,28,S/D,48,S/D,0.8,14,6.37,42.4,44.5,S/D,S/D,S/D,S/D,S/D,0.1,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,21000,1800,S/D
Rio Palo,2018,Guachené,Río Palo,Después de PTAR Guachené,S/D,19/09/2018,S/D,S/D,S/D,S/D,1011.7,838241.5603,1074929.7437,S/D,7.63,21.9,133,134,772,S/D,287,S/D,0.8,14,6.47,48.8,55.8,S/D,S/D,S/D,S/D,S/D,0.1,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,12600,100,S/D
Rio Palo,2019,Guachené,Río Palo,Después de PTAR Guachené,S/D,25/04/2019,S/D,S/D,S/D,S/D,1011.7,838241.5603,1074929.7437,S/D,7.34,19.7,104.5,161,800,S/D,332,S/D,9.9,14.9,7.64,40.2,41.8,S/D,S/D,S/D,S/D,S/D,0.1,< 0.12,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8000,300,S/D
Rio Palo,2019,Guachené,Río Palo,Después de PTAR Guachené,S/D,31/07/2019,S/D,S/D,S/D,S/D,1011.7,838241.5603,1074929.7437,S/D,7.64,19.2,95.8,2.3,4,S/D,14,S/D,0.89,14.9,5.74,45,45.9,S/D,S/D,S/D,S/D,S/D,0.28,0.19,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5000,100,S/D
Rio Palo,2019,Guachené,Río Palo,Después de PTAR Guachené,S/D,05/12/2019,S/D,S/D,S/D,S/D,1011.7,838241.5603,1074929.7437,S/D,6.99,20.6,128.9,17.2,165,S/D,237,S/D,0.89,14.9,6.9,47.9,51,S/D,S/D,S/D,S/D,S/D,0.42,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8500,700,S/D
Rio Palo,2020,Guachené,Río Palo,Después de PTAR Guachené,S/D,16/06/2020,S/D,S/D,S/D,S/D,1011.67,838241.5603,1074929.7437,S/D,6.85,19,76.43,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8.32,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,17.76
Rio Palo,2020,Guachené,Río Palo,Después de PTAR Guachené,S/D,28/10/2020,S/D,S/D,S/D,S/D,1011.67,838241.5603,1074929.7437,S/D,6.56,21.2,170.6,1.7,25,S/D,10,S/D,10,15,5.92,67.6,76.9,S/D,S/D,S/D,0.16,S/D,0.15,< 0.02,S/D,0.14,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,68000,16000,5.7
