Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Palo,2017,Guachené,Rio Palo,Puente PICC,S/D,17/05/2017,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,6.69,18.7,118.9,127,154,S/D,264,S/D,1,14,4.78,37.7,50.4,S/D,S/D,S/D,S/D,S/D,0.02,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,57000,1000,S/D
Rio Palo,2017,Guachené,Rio Palo,Puente PICC,S/D,11/07/2017,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,7.01,18.6,99.9,15.4,107,S/D,51.3,S/D,1.1,14,6.21,38,50.2,S/D,S/D,S/D,S/D,S/D,0.07,0.92,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,10000,1000,7.87
Rio Palo,2017,Guachené,Rio Palo,Puente PICC,S/D,11/10/2017,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,8.27,25,242.3,69.1,337,S/D,154,S/D,2.3,14,5.97,19,83.4,S/D,S/D,S/D,S/D,S/D,0.05,0.55,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7000,1000,4.609
Rio Palo,2018,Guachené,Rio Palo,Puente PICC,S/D,17/04/2018,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,8.09,22.4,138,40.8,157,S/D,172,S/D,0.8,14,5.63,61.5,55.7,S/D,S/D,S/D,S/D,S/D,1.7,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,115200,1800,S/D
Rio Palo,2018,Guachené,Rio Palo,Puente PICC,S/D,26/06/2018,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,7.57,22.4,53.1,35.3,41,S/D,126,S/D,0.8,14,6.62,55,49,S/D,S/D,S/D,S/D,S/D,0.1,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,28600,2900,S/D
Rio Palo,2018,Guachené,Rio Palo,Puente PICC,S/D,19/09/2018,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,7.94,23.6,205,11.7,161,S/D,31,S/D,1.1,20.1,6.57,79.6,64,S/D,S/D,S/D,S/D,S/D,0.24,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4000,100,S/D
Rio Palo,2019,Guachené,Rio Palo,Puente PICC,S/D,25/04/2019,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,7.32,20.6,124.6,152,950,S/D,285,S/D,9.9,14.9,6.62,48.7,45.4,S/D,S/D,S/D,S/D,S/D,0.1,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,29200,500,S/D
Rio Palo,2019,Guachené,Rio Palo,Puente PICC,S/D,31/07/2019,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,7.56,20.5,145.5,6.9,23,S/D,37,S/D,1,14.9,4.67,60.5,52.6,S/D,S/D,S/D,S/D,S/D,0.47,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,2000,100,S/D
Rio Palo,2019,Guachené,Rio Palo,Puente PICC,S/D,05/12/2019,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,7.53,21.2,177.8,60.3,61,S/D,748,S/D,1.2,14.9,5.91,57.9,55.4,S/D,S/D,S/D,S/D,S/D,1.09,0.08,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,60000,100,S/D
Rio Palo,2020,Guachené,Rio Palo,Puente PICC,S/D,16/06/2020,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,6.99,18.7,101.5,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7.6,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,23.29
Rio Palo,2020,Guachené,Rio Palo,Puente PICC,S/D,28/10/2020,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,6.23,23.8,266.8,4.6,89,S/D,18.7,S/D,10,15,4.3,98.8,96.2,S/D,S/D,S/D,0.45,S/D,0.41,< 0.02,S/D,0.75,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,36000,6900,S/D
Rio Palo,2021,Guachené,Rio Palo,Puente PICC,S/D,10/06/2021,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,7.29,18.6,110.8,37.4,109,S/D,356,S/D,10,15.1,5.87,43.2,57.8,S/D,S/D,S/D,0.94,S/D,0.76,0.04,S/D,3.63,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,43520,740,S/D
Rio Palo,2021,Guachené,Rio Palo,Puente PICC,S/D,25/08/2021,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,7.35,20.8,311,75.9,72,S/D,516,S/D,10,15,4.91,49.2,89.9,S/D,S/D,S/D,1.7,S/D,1.37,0.1,S/D,0.45,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,241960,25950,S/D
Rio Palo,2021,Guachené,Rio Palo,Puente PICC,S/D,10/11/2021,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,6.48,19.9,170.3,43.1,432,S/D,345,S/D,10,16.7,5.89,56.4,70.6,S/D,S/D,S/D,S/D,S/D,0.1,< 0.02,S/D,0.51,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,34000,800,21.25
Rio Palo,2022,Guachené,Rio Palo,Puente PICC,S/D,21/05/2022,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,7.1,20.4,131.7,129,486,S/D,330,S/D,10,15,6.02,53.1,57.8,S/D,S/D,S/D,0.6,S/D,0.49,0.04,S/D,1.27,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,29000,100,30.6
Rio Palo,2022,Guachené,Rio Palo,Puente PICC,S/D,30/08/2022,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,7.6,21.9,178.3,5.5,89,S/D,70,S/D,10,15,7.6,76.1,19.2,S/D,S/D,S/D,0.5,S/D,0.26,0.03,S/D,0.99,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,120000,400,S/D
Rio Palo,2022,Guachené,Rio Palo,Puente PICC,S/D,31/10/2022,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,7.86,20.2,156.3,68.6,850,S/D,729,S/D,10,15,7.69,52.8,64.2,S/D,S/D,S/D,0.72,S/D,0.61,0.06,S/D,0.14,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4720,400,58.04
Rio Palo,2023,Guachené,Rio Palo,Puente PICC,S/D,13/04/2023,S/D,S/D,S/D,S/D,1034,846214.2349354,1073737.058073993,S/D,7.75,20.1,153.3,30.3,1210,S/D,384,S/D,10,15,7.59,64.5,78.4,S/D,S/D,S/D,1.3,S/D,0.46,0.03,S/D,0.11,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,9300,0,S/D
