Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Palo,2015,Puerto Tejada,Río Palo,Puente Perico Negro,S/D,17/06/2015,S/D,S/D,S/D,S/D,1011.67,847428.5203,1072880.82969999,S/D,7.03,23.1,235.9,12.6,42,S/D,63,S/D,10.6,20.6,7.64,80,74.4,S/D,S/D,S/D,S/D,S/D,2.11,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,28000,1000,S/D
Rio Palo,2015,Puerto Tejada,Río Palo,Puente Perico Negro,S/D,15/07/2015,S/D,S/D,S/D,S/D,1011.67,847428.5203,1072880.82969999,S/D,7.5,22.3,243.7,29.8,79,S/D,108,S/D,13.8,38.4,7.13,83.2,65.4,S/D,S/D,S/D,S/D,S/D,2.21,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,37000,1000,S/D
Rio Palo,2015,Puerto Tejada,Río Palo,Puente Perico Negro,S/D,16/09/2015,S/D,S/D,S/D,S/D,1011.67,847428.5203,1072880.82969999,S/D,7.31,27.2,377,14.4,84,S/D,62,S/D,13.9,35.7,3.65,134,98.9,S/D,S/D,S/D,S/D,S/D,1.42,1.03,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,112000,500,S/D
Rio Palo,2015,Puerto Tejada,Río Palo,Puente Perico Negro,S/D,05/11/2015,S/D,S/D,S/D,S/D,1011.67,847428.5203,1072880.82969999,S/D,7.42,S/D,146.1,61.3,106,S/D,134,S/D,10,10,7.81,56.2,S/D,S/D,S/D,S/D,S/D,S/D,S/D,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,22000,S/D,S/D
Rio Palo,2016,Puerto Tejada,Río Palo,Puente Perico Negro,S/D,05/04/2016,S/D,S/D,S/D,S/D,1011.67,847428.5203,1072880.82969999,S/D,6.38,21.3,151.3,48.5,159,S/D,97.3,S/D,12.9,35.3,6.79,50.9,57.8,S/D,S/D,S/D,S/D,S/D,2.42,0.03,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,131000,4000,S/D
Rio Palo,2016,Puerto Tejada,Río Palo,Puente Perico Negro,S/D,23/08/2016,S/D,S/D,S/D,S/D,1011.67,847428.5203,1072880.82969999,S/D,7.85,23.8,321,44.2,15,S/D,60,S/D,2.9,15,4.71,59.3,62.6,S/D,S/D,S/D,S/D,S/D,2.03,0.06,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,23000,1000,S/D
Rio Palo,2016,Puerto Tejada,Río Palo,Puente Perico Negro,S/D,24/10/2016,S/D,S/D,S/D,S/D,1011.67,847428.5203,1072880.82969999,S/D,7.56,24.3,244.3,60.6,111,S/D,123,S/D,3.2,20.6,4.82,81.2,78.2,S/D,S/D,S/D,S/D,S/D,2.01,0.28,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,109000,2000,S/D
Rio Palo,2017,Puerto Tejada,Río Palo,Puente Perico Negro,S/D,17/05/2017,S/D,S/D,S/D,S/D,1011.67,847428.5203,1072880.82969999,S/D,6.66,19,118,118,201,S/D,321,S/D,0.8,30.6,4.58,38.9,57.6,S/D,S/D,S/D,S/D,S/D,0.05,0.63,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,428000,12000,S/D
Rio Palo,2017,Puerto Tejada,Río Palo,Puente Perico Negro,S/D,11/07/2017,S/D,S/D,S/D,S/D,1011.67,847428.5203,1072880.82969999,S/D,7.12,22.2,91.9,28.6,228,S/D,41.4,S/D,7.2,17.4,6.12,41,55.9,S/D,S/D,S/D,S/D,S/D,0.02,0.94,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,21000,2000,S/D
Rio Palo,2017,Puerto Tejada,Río Palo,Puente Perico Negro,S/D,11/10/2017,S/D,S/D,S/D,S/D,1011.67,847428.5203,1072880.82969999,S/D,8.31,25.7,245.7,58.6,372,S/D,102,S/D,5.1,14.9,5.26,19,82.7,S/D,S/D,S/D,S/D,S/D,0.07,0.62,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,584000,15000,0
