Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Palo,2017,Puerto Tejada,Río Palo,Puente Puerto Tejada,S/D,17/05/2017,S/D,S/D,S/D,S/D,1007.08,848982.3175,1072809.55769999,S/D,7.25,19.8,135.2,109,210,S/D,471,S/D,0.8,25.9,4.45,39.4,52.6,S/D,S/D,S/D,S/D,S/D,0.03,0.6,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,44000,4000,S/D
Rio Palo,2017,Puerto Tejada,Río Palo,Puente Puerto Tejada,S/D,11/07/2017,S/D,S/D,S/D,S/D,1007.08,848982.3175,1072809.55769999,S/D,21.3,21.3,112.4,17.3,134,S/D,149,S/D,2.5,20.7,5.84,45,57.4,S/D,S/D,S/D,S/D,S/D,0.01,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,20000,2000,S/D
Rio Palo,2017,Puerto Tejada,Río Palo,Puente Puerto Tejada,S/D,11/10/2017,S/D,S/D,S/D,S/D,1007.08,848982.3175,1072809.55769999,S/D,8.16,25,178.4,898,2710,S/D,1265,S/D,5.8,70.4,5.52,9,83.4,S/D,S/D,S/D,S/D,S/D,0.11,0.6,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,87000,2000,0
Rio Palo,2018,Puerto Tejada,Río Palo,Puente Puerto Tejada,S/D,17/04/2018,S/D,S/D,S/D,S/D,959.94,848982.3175,1072809.55769999,S/D,7.85,23.1,161.1,54.4,253,S/D,336,S/D,0.8,14,4.98,67.8,70.9,S/D,S/D,S/D,S/D,S/D,2.4,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,47200,9000,S/D
Rio Palo,2018,Puerto Tejada,Río Palo,Puente Puerto Tejada,S/D,26/06/2018,S/D,S/D,S/D,S/D,959.94,848982.3175,1072809.55769999,S/D,7.64,23.9,258.7,29.2,38,S/D,423,S/D,0.8,14,5.59,56.9,59.2,S/D,S/D,S/D,S/D,S/D,0.21,0.21,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,31800,4200,S/D
Rio Palo,2018,Puerto Tejada,Río Palo,Puente Puerto Tejada,S/D,19/09/2018,S/D,S/D,S/D,S/D,959.94,848982.3175,1072809.55769999,S/D,7.78,24.7,169.6,60.7,291,S/D,116,S/D,0.8,14,6.51,57.5,73.4,S/D,S/D,S/D,S/D,S/D,0.1,0.05,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3800,100,S/D
Rio Palo,2019,Puerto Tejada,Río Palo,Puente Puerto Tejada,S/D,25/04/2019,S/D,S/D,S/D,S/D,959.94,848982.3175,1072809.55769999,S/D,7.27,22.1,141.6,291,1380,S/D,403,S/D,9.9,20.3,7.17,52.4,52,S/D,S/D,S/D,S/D,S/D,0.1,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3000,100,S/D
Rio Palo,2019,Puerto Tejada,Río Palo,Puente Puerto Tejada,S/D,31/07/2019,S/D,S/D,S/D,S/D,959.94,848982.3175,1072809.55769999,S/D,7.74,22.6,164.6,14.7,12,S/D,107,S/D,1.4,14.9,4.62,68.1,64.6,S/D,S/D,S/D,S/D,S/D,0.45,0.04,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6600,200,S/D
Rio Palo,2019,Puerto Tejada,Río Palo,Puente Puerto Tejada,S/D,05/12/2019,S/D,S/D,S/D,S/D,959.94,848982.3175,1072809.55769999,S/D,7.51,22.9,149.2,57.4,477,S/D,863,S/D,1.5,14.9,6.05,57,62.6,S/D,S/D,S/D,S/D,S/D,1.11,0.06,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6000,1700,26.7
Rio Palo,2020,Puerto Tejada,Río Palo,Puente Puerto Tejada,S/D,16/06/2020,S/D,S/D,S/D,S/D,959.94,848982.3175,1072809.55769999,S/D,6.61,21.3,132.2,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7.33,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,25.02
