Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Palo,2017,Guachené,Rio Palo,Puente del Maíz,S/D,17/05/2017,S/D,S/D,S/D,S/D,1007,841650.841931863,1073101.393912217,S/D,6.72,12.1,94.9,91.7,162,S/D,270,S/D,0.8,14,7.68,30.7,44.8,S/D,S/D,S/D,S/D,S/D,0.01,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,133000,3000,S/D
Rio Palo,2017,Guachené,Rio Palo,Puente del Maíz,S/D,11/07/2017,S/D,S/D,S/D,S/D,1007,841650.841931863,1073101.393912217,S/D,6.59,18.8,73.6,16.5,109,S/D,63,S/D,1.1,14.7,6.31,29,40.6,S/D,S/D,S/D,S/D,S/D,0.13,0.24,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,16000,1000,S/D
Rio Palo,2017,Guachené,Rio Palo,Puente del Maíz,S/D,11/10/2017,S/D,S/D,S/D,S/D,1007,841650.841931863,1073101.393912217,S/D,7.92,24,160.9,5.6,51,S/D,12.3,S/D,0.8,14,7.93,13,69,S/D,S/D,S/D,S/D,S/D,0.02,0.56,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,500,100,0
Rio Palo,2018,Guachené,Rio Palo,Puente del Maíz,S/D,17/04/2018,S/D,S/D,S/D,S/D,1007,841650.841931863,1073101.393912217,S/D,7.92,21.4,114.4,47.6,157,S/D,161,S/D,0.8,14,6.5,50.2,49.9,S/D,S/D,S/D,S/D,S/D,1.9,0.07,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,30800,2100,S/D
Rio Palo,2018,Guachené,Rio Palo,Puente del Maíz,S/D,26/06/2018,S/D,S/D,S/D,S/D,1007,841650.841931863,1073101.393912217,S/D,7.79,19.4,95.4,31.1,34,S/D,152,S/D,0.8,14,6.42,39.4,42.9,S/D,S/D,S/D,S/D,S/D,0.1,0.1,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,20800,1900,S/D
Rio Palo,2018,Guachené,Rio Palo,Puente del Maíz,S/D,19/09/2018,S/D,S/D,S/D,S/D,1007,841650.841931863,1073101.393912217,S/D,7.69,22.3,127.7,17.3,120,S/D,60.7,S/D,0.8,14,6.5,50.4,56,S/D,S/D,S/D,S/D,S/D,0.1,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,2200,100,S/D
Rio Palo,2019,Guachené,Rio Palo,Puente del Maíz,S/D,25/04/2019,S/D,S/D,S/D,S/D,1007,841650.841931863,1073101.393912217,S/D,7.35,20.1,104.2,132,820,S/D,216,S/D,9.9,14.9,7.61,39.8,41.6,S/D,S/D,S/D,S/D,S/D,0.1,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,30800,200,S/D
Rio Palo,2019,Guachené,Rio Palo,Puente del Maíz,S/D,31/07/2019,S/D,S/D,S/D,S/D,1007,841650.841931863,1073101.393912217,S/D,7.68,19.8,100.7,3.9,9,S/D,25.3,S/D,0.89,14.9,5.56,46.1,46.8,S/D,S/D,S/D,S/D,S/D,0.3,< 0.02,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,1400,100,S/D
Rio Palo,2019,Guachené,Rio Palo,Puente del Maíz,S/D,05/12/2019,S/D,S/D,S/D,S/D,1007,841650.841931863,1073101.393912217,S/D,7.63,21.2,129.1,45.6,343,S/D,380,S/D,0.89,21.4,5.96,46.1,51.5,S/D,S/D,S/D,S/D,S/D,0.74,0.05,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,39200,1800,21.22
Rio Palo,2020,Guachené,Rio Palo,Puente del Maíz,S/D,16/06/2020,S/D,S/D,S/D,S/D,1007,841650.841931863,1073101.393912217,S/D,6.64,22.3,107.5,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.43,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,23.29
