Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Riofrio,2016,RIOFRIO,Rio Riofrio,Rio Riofrio - antes Municipio Riofrio,0381-2016,25/05/2016,10:50,Aguas Superficiales,25/05/2016 al 18/07/2016,0426 - 19/07/2016,S/D,951436.99,1086667.66,30,S/D,26.3,83.9,4,S/D,106,11.6,94.4,1.21,12.9,8.65,55.5,40,7.21,5.35,3.8,S/D,1.17,0.258,0.00748,0.071,0.141,0.67,0.526,1.21,0.667,S/D,S/D,S/D,S/D,S/D,S/D,7.08,2400,230,S/D
Rio Riofrio,2016,RIOFRIO,Rio Riofrio,Rio Riofrio - antes Municipio Riofrio,1215-2016,26/10/2016,10:45,Aguas Superficiales,26/10/2016 al 25/11/2016,1306 - 12/12/2016,S/D,951436.99,1086667.66,25,6.63,17,81,31,S/D,120,38,82,0.954,9.07,7.68,35.4,59,12,7.05,3.14,S/D,1.64,0.46,0.00994,0.0248,0.0509,0.67,0.526,1.77,4.73,S/D,S/D,S/D,S/D,S/D,S/D,7.36,430,90,S/D
Rio Riofrio,2017,RIOFRIO,Rio Riofrio,Rio Riofrio - antes Municipio Riofrio,0253-2017,06/04/2017,10:03,Aguas Superficiales,06/04/2017 al 24/05/2017,0238 - 22/05/2017,S/D,1086667.66,951436.99,28,8.03,18.1,88.4,4.8,S/D,200,11.6,188,0.954,19.8,7.76,39.5,33,7.21,3.65,0.281,*,1.17,0.52,0.00973,0.0562,0.0509,1,0.353,4.4,0.643,S/D,S/D,S/D,S/D,S/D,S/D,6.2,*,*,S/D
Rio Riofrio,2017,RIOFRIO,Rio Riofrio,Rio Riofrio - antes Municipio Riofrio,0978-2017,03/08/2017,11:31,Aguas Superficiales,03/08/2017 al 31/08/2017,0953 - 11/09/2017,S/D,951436.99,1086667.66,32,7.25,21,114,3.5,S/D,100,11.6,88.4,1.23,12,7.56,66.6,71.6,15.2,8.17,4.76,S/D,S/D,0.565,0.122,0.24,0.0662,0.427,0.353,0.2,0.2,S/D,S/D,S/D,S/D,S/D,S/D,7.34,2400,210,S/D
Rio Riofrio,2018,RIOFRIO,Rio Riofrio,Rio Riofrio - antes Municipio Riofrio,0386-2018,11/04/2018,12:05,Aguas Superficiales,11/04/2018 al 02/05/2018,0380 - 27/04/2018,S/D,951436.99,1086667.66,28,8.05,22,103,270,S/D,240,236,18.2,1.87,20.9,7.42,40,33,8.94,2.59,1.84,S/D,S/D,0.577,0.0898,0.0933,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.83,2900,750,S/D
Rio Riofrio,2018,RIOFRIO,Rio Riofrio,Rio Riofrio - antes Municipio Riofrio,1046-2018,02/08/2018,09:45,Aguas Superficiales,02/08/2018 al 22/08/2018,1015 - 03/09/2018,S/D,951436.99,1086667.66,27,8.16,21.5,90.1,43,S/D,120,43,77,1.03,11.1,7.6,35.9,43,7.12,6.14,0.13,S/D,S/D,0.0519,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,0.523,2400,210,S/D
Rio Riofrio,2019,RIOFRIO,Rio Riofrio,Rio Riofrio - Antes Municipio Riofrio,0477-2019,30/04/2019,11:20,Aguas Superficiales,30/04/2019 al 02/07/2019,0533 - 08/07/2019,S/D,951470.99,1086639.66,26,7.55,24.2,86.1,25,S/D,64,21,43,1.21,11.1,7.48,38.1,36.9,8.71,3.68,0.862,S/D,S/D,0.984,0.0898,0.134,0.0662,0.613,0.353,1.52,0.591,S/D,S/D,S/D,S/D,S/D,S/D,4.1,20000,20000,S/D
Rio Riofrio,2019,RIOFRIO,Rio Riofrio,Rio Riofrio - Antes Municipio Riofrio,1047-2019,31/07/2019,10:35,Aguas Superficiales,31/07/2019 al 15/08/2019,1021 - 09/09/2019,S/D,951470.99,1086639.66,28,S/D,23.2,113,29,S/D,128,30,98,1.09,11.1,7.33,58.6,50.8,11.4,5.45,0.933,S/D,0.366,0.104,0.0898,0.134,0.0662,0.654,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,4.62,4300,4300,S/D
Rio Riofrio,2020,RIOFRIO,Rio Riofrio,Rio Riofrio - Antes Municipio Riofrio,0358-2020,15/09/2020,10:00,Aguas Superficiales,15/09/2020 al 08/10/2020 Fin de este informe,0401 - 14/10/2020,S/D,951470.99,1086639.66,28,7.99,22.1,90.9,13,S/D,36,25,11,1.1,11.5,7.43,82.1,40.6,9.74,3.96,2.14,S/D,0.25,0.377,0.0101,0.203,0.0935,1.76,0.0571,3.06,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.37,24000,24000,S/D
Rio Riofrio,2021,RIOFRIO,Rio Riofrio,Rio Riofrio - Antes Municipio Riofrio,0480-2021,23/06/2021,11:00,Agua,23/06/2021 al 16/07/2021 Fin de este informe,0519 - 03/08/2021,S/D,951470.99,1086639.66,30,6.8,23.6,101,25,10.4,102,33,69,1.56,11,7.14,46.2,42.3,8.66,5.03,2.2,S/D,0.25,0.445,0.014,0.202,0.0935,2.36,0.0571,2.66,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.58,93000,93000,S/D
