Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Riofrio,2016,RIOFRIO,Rio Riofrio,Rio Riofrio - antes desembocadura a Río Cauca,0382-2016,25/05/2016,10:35,Aguas Superficiales,25/05/2016 al 18/07/2016,0427 - 19/07/2016,S/D,949748.72,1088176.74,29,S/D,27,88.7,8,S/D,123,11.6,111,2.15,19.3,7.94,52.4,68,14.4,7.78,4.06,S/D,1.17,0.237,0.00748,0.0248,0.0972,0.67,0.526,1.5,0.815,S/D,S/D,S/D,S/D,S/D,S/D,7.54,2400,230,S/D
Rio Riofrio,2016,RIOFRIO,Rio Riofrio,Rio Riofrio - antes desembocadura a Río Cauca,1216-2016,26/10/2016,10:30,Aguas Superficiales,26/10/2016 al 25/11/2016,1307 - 12/12/2016,S/D,949748.72,1088176.74,25,6.49,17,82,27,S/D,112,36,76,0.98,9.07,7.46,37.4,60,11.2,7.78,3.43,S/D,1.51,0.52,0.0107,0.0248,0.06,0.67,0.526,1.87,4.73,S/D,S/D,S/D,S/D,S/D,S/D,7.4,24000,2300,S/D
Rio Riofrio,2017,RIOFRIO,Rio Riofrio,Rio Riofrio - antes desembocadura a Río Cauca,0254-2017,06/04/2017,09:51,Aguas Superficiales,06/04/2017 al 24/05/2017,0239 - 22/05/2017,S/D,949748.72,1088176.74,28,7.93,17.4,93.5,4,S/D,96,11.6,84.4,1.21,9.07,7.51,43.2,48,10.8,5.11,0.281,*,1.56,0.55,"<0 ,00973",0.0562,0.0509,0.67,0.353,3.22,0.735,S/D,S/D,S/D,S/D,S/D,S/D,6.09,*,*,S/D
Rio Riofrio,2017,RIOFRIO,Rio Riofrio,Rio Riofrio - antes desembocadura a Río Cauca,0979-2017,03/08/2017,11:16,Aguas Superficiales,03/08/2017 al 31/08/2017,0954 - 11/09/2017,S/D,949748.72,1088176.74,32,7.01,22,129,1.9,S/D,130,11.6,118,1.98,13.5,7.54,73.6,92.5,16,12.8,5.02,S/D,S/D,0.461,0.122,0.24,0.0662,0.799,0.353,0.2,0.2,S/D,S/D,S/D,S/D,S/D,S/D,4.23,11000,11000,S/D
Rio Riofrio,2018,RIOFRIO,Rio Riofrio,Rio Riofrio - antes desembocadura a Río Cauca,1047-2018,02/08/2018,09:35,Aguas Superficiales,02/08/2018 al 22/08/2018,1016 - 03/09/2018,S/D,949748.72,1088176.74,26,8.26,21.5,92,35,S/D,124,48,76,1.13,11.1,7.65,36.6,44.9,8.24,5.91,2.16,S/D,S/D,0.526,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5.23,24000,2100,S/D
Rio Riofrio,2019,RIOFRIO,Rio Riofrio,Rio Riofrio - Antes desembocadura a Río Cauca,0478-2019,30/04/2019,10:35,Aguas Superficiales,30/04/2019 al 02/07/2019,0534 - 08/07/2019,S/D,949748.72,1088146.74,26,7.71,23,133,13,S/D,112,19,93,2.07,11.1,7.65,41.6,40.6,9.09,4.37,0.862,S/D,S/D,0.985,0.0898,0.134,0.0662,0.483,0.353,1.8,0.643,S/D,S/D,S/D,S/D,S/D,S/D,3.94,50000,50000,S/D
Rio Riofrio,2020,RIOFRIO,Rio Riofrio,Rio Riofrio - Antes desembocadura a Río Cauca,0359-2020,15/09/2020,11:49,Aguas Superficiales,15/09/2020 al 08/10/2020 Fin de este informe,0402 - 14/10/2020,S/D,949748.72,1088146.74,28,7.98,24.4,99.6,9,S/D,48,11.6,36.4,2.21,17.1,7.17,90.1,40.9,10.2,3.77,2.14,S/D,0.25,0.354,0.011,0.203,0.0935,1.58,0.0571,3.51,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.54,24000,24000,S/D
Rio Riofrio,2021,RIOFRIO,Rio Riofrio,Rio Riofrio - Antes desembocadura a Río Cauca,0481-2021,23/06/2021,10:45,Agua,23/06/2021 al 16/07/2021 Fin de este informe,0520 - 03/08/2021,S/D,949748.72,1088146.74,28,6.9,23.3,106,8.4,12.1,108,11.6,96.4,2.53,11,7.27,48.3,93.4,9.46,17,2.2,S/D,0.25,0.446,0.011,0.202,0.0935,0.587,0.0571,3.17,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.79,43000,43000,S/D
Rio Riofrio,2021,RIOFRIO,Rio Riofrio,Rio Riofrio - Antes desembocadura a Río Cauca,1285-2021,25/10/2021,09:23,Aguas Superficiales,25/10/2021 al 15/12/2021 Fin de este informe,1550 - 03/02/2022,S/D,949748.72,1088146.74,24,S/D,21.6,83.2,85,44.8,176,106,70,1.89,11.3,7.44,37.2,32.1,7.66,3.16,2.2,S/D,0.25,0.373,0.013,0.202,0.0959,8.2,0.128,2.29,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.59,150000,150000,S/D
Rio Riofrio,2022,RIOFRIO,Rio Riofrio,Rio Riofrio - Antes desembocadura a Río Cauca,0324-2022,30/03/2022,12:40,Aguas Superficiales,30/03/2022 al 06/04/2022 Fin de este informe,0369 - 09/05/2022,S/D,949748.72,1088146.74,26.7,7.15,22.6,81.9,40,20.7,146,85,61,0.869,14.9,7.2,35.8,38,7.7,4.57,2.2,S/D,0.25,0.391,0.011,0.202,0.0959,2.17,0.0813,3,0.963,S/D,S/D,S/D,S/D,S/D,S/D,3.89,93000,43000,S/D
