Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Riofrio,2016,RIOFRIO,Rio Riofrio,Rio Riofrio - Bocatoma Acueducto de Riofrio,0380-2016,25/05/2016,11:10,Aguas Superficiales,25/05/2016 al 09/06/2016,0425 - 19/07/2016,S/D,953133.88,1082821.56,30,S/D,27,98.5,2,S/D,124,11.6,112,0.954,10.8,7.5,65.1,52,11.2,5.83,3.96,S/D,1.15,0.289,0.00748,0.078,0.397,1.63,0.526,2.07,0.447,S/D,S/D,S/D,S/D,S/D,S/D,7.08,4600,930.0000000000001,S/D
Rio Riofrio,2016,RIOFRIO,Rio Riofrio,Rio Riofrio - Bocatoma Acueducto de Riofrio,1214-2016,26/10/2016,11:00,Aguas Superficiales,26/10/2016 al 23/11/2016,1305 - 12/12/2016,S/D,953133.88,1082821.56,26,6.67,17,79.4,18,S/D,112,35.3,76.7,0.954,16.1,6.54,33.2,46,8.42,6.08,3.33,S/D,1.65,0.76,0.00784,0.0248,0.06,0.67,0.526,1.75,4.05,S/D,S/D,S/D,S/D,S/D,S/D,6.43,2400,230,S/D
Rio Riofrio,2017,RIOFRIO,Rio Riofrio,Rio Riofrio - Bocatoma Acueducto de Riofrio,0252-2017,06/04/2017,10:14,Aguas Superficiales,06/04/2017 al 24/05/2017,0237 - 22/05/2017,S/D,953133.88,1082821.56,29,8.15,18.5,104,2.7,S/D,206,11.6,194,1.22,9.07,7.56,47.2,55,10.4,7.05,0.281,*,1.33,0.45,0.00973,0.0562,0.0509,0.699,0.353,3.36,0.938,S/D,S/D,S/D,S/D,S/D,S/D,6.2,*,*,S/D
Rio Riofrio,2017,RIOFRIO,Rio Riofrio,Rio Riofrio - Bocatoma Acueducto de Riofrio,0977-2017,03/08/2017,11:46,Aguas Superficiales,03/08/2017 al 31/08/2017,0952 - 11/09/2017,S/D,953133.88,1082821.56,31,7.1,22,130,3.5,S/D,134,11.6,122,1.44,15.4,6.97,75.8,64.7,15.2,6.49,4.78,S/D,S/D,0.494,0.122,0.24,0.0662,0.888,0.353,2.25,0.2,S/D,S/D,S/D,S/D,S/D,S/D,4.14,1500,900,S/D
Rio Riofrio,2018,RIOFRIO,Rio Riofrio,Rio Riofrio - Bocatoma Acueducto de Riofrio,0385-2018,11/04/2018,12:20,Aguas Superficiales,11/04/2018 al 02/05/2018,0379 - 27/04/2018,S/D,953133.88,1082821.56,29,8.15,22,92,50,S/D,214,145,69,2.12,22,7.32,50.5,41.7,10.9,3.54,1.94,S/D,S/D,0.575,0.0898,0.0933,0.09,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.73,11000,230,S/D
Rio Riofrio,2018,RIOFRIO,Rio Riofrio,Rio Riofrio - Bocatoma Acueducto de Riofrio,1045-2018,02/08/2018,10:05,Aguas Superficiales,02/08/2018 al 22/08/2018,1014 - 03/09/2018,S/D,953133.88,1082821.56,27,8.18,21.5,94.1,36.8,S/D,110,29,81,1.17,11.1,7.42,37.5,43,8.62,5.23,3.99,S/D,S/D,0.695,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5.82,4300,1500,S/D
Rio Riofrio,2019,RIOFRIO,Rio Riofrio,Rio Riofrio - Bocatoma Acueducto de Riofrio,0476-2019,30/04/2019,11:33,Aguas Superficiales,30/04/2019 al 02/07/2019,0532 - 08/07/2019,S/D,953133.88,1082821.56,24,7.85,22.5,95.5,14,S/D,102,11.6,90.4,1.21,11.1,7.25,41.9,38.8,9.09,3.91,0.862,S/D,S/D,0.397,0.0898,0.134,0.0662,0.417,0.353,2.41,0.648,S/D,S/D,S/D,S/D,S/D,S/D,3.87,24000,9300,S/D
Rio Riofrio,2019,RIOFRIO,Rio Riofrio,Rio Riofrio - Bocatoma Acueducto de Riofrio,1046-2019,31/07/2019,10:50,Aguas Superficiales,31/07/2019 al 15/08/2019,1020 - 09/09/2019,S/D,953133.88,1082821.56,25,S/D,23.4,119,2.5,S/D,130,11.6,118,1.18,11.1,6.97,58.7,52.8,12.2,5.42,1.25,S/D,0.366,0.168,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,4.8,24000,9300,S/D
Rio Riofrio,2020,RIOFRIO,Rio Riofrio,Rio Riofrio - Bocatoma Acueducto de Riofrio,0357-2020,15/09/2020,10:22,Aguas Superficiales,15/09/2020 al 08/10/2020 Fin de este informe,0400 - 14/10/2020,S/D,953133.88,1082821.56,28,7.98,22.6,97.7,6.5,S/D,24,11.6,12.4,1.01,11.1,7.35,93.3,42.1,10.7,3.74,2.14,S/D,0.25,0.369,0.0101,0.203,0.0935,0.914,0.0571,3.17,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.52,4300,2300,S/D
Rio Riofrio,2021,RIOFRIO,Rio Riofrio,Rio Riofrio - Bocatoma Acueducto de Riofrio,0479-2021,23/06/2021,11:20,Agua,23/06/2021 al 16/07/2021 Fin de este informe,0518 - 03/08/2021,S/D,953133.88,1082821.56,30,6.82,23.1,108,9,10.2,108,11.6,96.4,1.46,11,7.37,50,58.5,9.5,8.46,2.2,S/D,0.25,0.461,0.018,0.202,0.0935,0.524,0.0571,3.26,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.71,24000,24000,S/D
