Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Riofrio,2016,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Guayabal,0378-2016,25/05/2016,11:40,Aguas Superficiales,25/05/2016 al 09/06/2016,0423 - 19/07/2016,S/D,948073,1078663,30,8.32,24.4,77.1,2,S/D,96,11.6,84.4,0.954,17.9,7.24,48.8,32,8.02,2.92,3.34,S/D,1.16,0.406,0.00748,0.0248,0.0509,0.67,0.526,0.888,0.251,S/D,S/D,S/D,S/D,S/D,S/D,6.98,4600,2100,S/D
Rio Riofrio,2016,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Guayabal,1212-2016,26/10/2016,11:35,Aguas Superficiales,26/10/2016 al 23/11/2016,1303 - 12/12/2016,S/D,948073,1078663,26,7.17,16,68.2,22.3,S/D,92,27.6,64.4,0.954,16.2,7.5,28.7,70,13.2,9,3.39,S/D,1.67,0.75,0.00748,0.0248,0.06,0.67,0.526,1.72,3.31,S/D,S/D,S/D,S/D,S/D,S/D,6.43,2300,360,S/D
Rio Riofrio,2017,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Guayabal,0250-2017,06/04/2017,11:00,Aguas Superficiales,06/04/2017 al 24/05/2017,0235 - 22/05/2017,S/D,948073,1078663,29,8.06,17.8,80.6,1.9,S/D,168,11.6,156,0.954,9.07,7.47,37.2,34,7.21,3.89,0.281,*,0.98,0.44,0.00973,0.0562,0.0509,0.649,0.353,2.08,0.479,S/D,S/D,S/D,S/D,S/D,S/D,6.26,*,*,S/D
Rio Riofrio,2017,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Guayabal,0975-2017,03/08/2017,12:25,Aguas Superficiales,03/08/2017 al 31/08/2017,0950 - 11/09/2017,S/D,948073,1078663,32,7.4,27.4,99.8,0.87,S/D,244,24,220,2.9,14.4,7.07,54.2,69.7,15.2,7.71,4.63,S/D,S/D,0.44,0.122,0.24,0.0662,0.403,0.353,0.2,0.2,S/D,S/D,S/D,S/D,S/D,S/D,4.82,11000,1500,S/D
Rio Riofrio,2018,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Guayabal,0383-2018,11/04/2018,01:10,Aguas Superficiales,11/04/2018 al 02/05/2018,0377 - 27/04/2018,S/D,948073,1078663,30,8.05,21,76.6,270,S/D,410,314,96,2.21,26,7.55,37.1,34.9,6.61,4.48,1.54,S/D,S/D,0.522,0.0898,0.0933,0.251,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.13,4600,750,S/D
Rio Riofrio,2018,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Guayabal,1043-2018,02/08/2018,10:50,Aguas Superficiales,02/08/2018 al 22/08/2018,1012 - 03/09/2018,S/D,948073,1078663,28,8.19,20.5,62.4,27,S/D,98,39,59,1.18,11.1,7.6,24.1,29,4.87,4.09,1.98,S/D,S/D,0.576,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.96,4600,750,S/D
Rio Riofrio,2019,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Guayabal,0474-2019,30/04/2019,12:00,Aguas Superficiales,30/04/2019 al 02/07/2019,0530 - 08/07/2019,S/D,947895.64,1078973.19,24,7.82,22.4,62.5,5.7,S/D,88,11.6,76.4,1.21,11.1,7.24,29.3,27.4,6.44,2.76,0.862,S/D,S/D,0.645,0.0898,0.134,0.0662,0.489,0.353,1.04,0.472,S/D,S/D,S/D,S/D,S/D,S/D,3.67,230,90,S/D
Rio Riofrio,2019,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Guayabal,1044-2019,31/07/2019,11:30,Aguas Superficiales,31/07/2019 al 15/08/2019,1018 - 09/09/2019,S/D,947895.64,1078973.19,21.5,8.23,21.5,83.1,3,S/D,104,11.6,92.4,0.559,11.1,7.05,44.3,37.6,8.54,3.96,0.982,S/D,0.366,0.052,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,4.53,430,230,S/D
Rio Riofrio,2020,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Guayabal,0355-2020,15/09/2020,11:12,Aguas Superficiales,15/09/2020 al 08/10/2020 Fin de este informe,0398 - 14/10/2020,S/D,947895.64,1078973.19,26,7.86,21.8,74.1,6.7,S/D,38,11.6,26.4,0.632,11.1,7.32,61.9,31.1,8.3,2.53,2.14,S/D,0.25,0.294,0.0101,0.203,0.0935,1.16,0.0571,2.47,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.67,24000,24000,S/D
Rio Riofrio,2021,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Guayabal,0477-2021,23/06/2021,12:00,Agua,23/06/2021 al 16/07/2021 Fin de este informe,0516 - 03/08/2021,S/D,947895.64,1078973.19,30,6.9,21.8,88.2,4.6,7.8,82,11.6,70.4,1.27,11,7.38,40,33.4,7.86,3.36,2.2,S/D,0.25,0.374,0.0101,0.202,0.0935,0.361,0.0571,2.32,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.05,21000,9300,S/D
