Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Riofrio,2016,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Valcanes,0377-2016,25/05/2016,11:45,Aguas Superficiales,25/05/2016 al 09/06/2016,0422 - 19/07/2016,S/D,947284.19,1076196.94,30,8.35,23.5,63.8,6.5,S/D,82,11.6,70.4,0.97,19.8,7.54,66,36,8.02,3.89,3.15,S/D,1.11,0.255,0.00748,0.0248,0.0509,0.67,0.526,0.796,0.267,S/D,S/D,S/D,S/D,S/D,S/D,7,2400,2400,S/D
Rio Riofrio,2016,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Valcanes,1211-2016,26/10/2016,11:50,Aguas Superficiales,26/10/2016 al 23/11/2016,1302 - 12/12/2016,S/D,947284.19,1076196.94,26,7.43,16,61.3,22,S/D,100,27,73,0.954,12.7,7.68,26.5,46,8.02,6.32,3.2,S/D,1.59,0.42,0.00748,0.0248,0.0509,0.67,0.526,1.71,2.77,S/D,S/D,S/D,S/D,S/D,S/D,6.66,4600,750,S/D
Rio Riofrio,2017,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Valcanes,0249-2017,06/04/2017,11:15,Aguas Superficiales,06/04/2017 al 24/05/2017,0234 - 22/05/2017,S/D,947284.19,1076196.94,26,8.06,16.7,80.6,3.7,S/D,220,11.6,208,0.954,9.07,7.43,31.6,36,8.02,3.89,0.281,*,1.01,0.77,0.00973,0.0562,0.0509,1.33,0.353,3.98,0.663,S/D,S/D,S/D,S/D,S/D,S/D,14.2,*,*,S/D
Rio Riofrio,2017,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Valcanes,0974-2017,03/08/2017,12:29,Aguas Superficiales,03/08/2017 al 31/08/2017,0949 - 11/09/2017,S/D,947284.19,1076196.94,31,7.28,23,93.9,1.9,S/D,264,11.6,252,1.55,11.1,6.85,55.7,65.8,12.8,8.22,4.44,S/D,S/D,0.45,0.122,0.24,0.0662,0.321,0.353,0.2,0.2,S/D,S/D,S/D,S/D,S/D,S/D,4.24,230,230,S/D
Rio Riofrio,2018,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Valcanes,0382-2018,11/04/2018,01:00,Aguas Superficiales,11/04/2018 al 02/05/2018,0376 - 27/04/2018,S/D,947284.19,1076196.94,30,8.1,20.5,80.3,300,S/D,418,271,147,1.51,24.8,7.59,38.9,33,5.44,4.72,1.32,S/D,S/D,0.384,0.0898,0.0933,0.096,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.94,11000,2400,S/D
Rio Riofrio,2018,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Valcanes,1042-2018,02/08/2018,10:45,Aguas Superficiales,02/08/2018 al 22/08/2018,1011 - 03/09/2018,S/D,947284.19,1076196.94,28,8.1,21.7,75.7,18.4,S/D,84,27,57,1.69,11.1,7.55,30,29,6.75,2.96,2.12,S/D,S/D,0.526,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5.19,230,230,S/D
Rio Riofrio,2019,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Valcanes,0473-2019,30/04/2019,12:05,Aguas Superficiales,30/04/2019 al 02/07/2019,0529 - 08/07/2019,S/D,947824.64,1078320.19,24,7.89,21.7,73.4,9.4,S/D,104,13,91,1.36,11.1,7.25,32.3,31.2,8.71,2.3,0.862,S/D,S/D,0.497,0.0898,0.134,0.0662,0.318,0.353,1.05,0.444,S/D,S/D,S/D,S/D,S/D,S/D,4.25,4300,4300,S/D
Rio Riofrio,2019,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Valcanes,1043-2019,31/07/2019,11:25,Aguas Superficiales,31/07/2019 al 15/08/2019,1017 - 09/09/2019,S/D,947824.64,1078320.19,26,8.21,22.9,95.3,2.2,S/D,118,13,105,0.91,11.1,6.97,50.2,43.6,11,3.94,1.44,S/D,0.366,0.117,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,5.13,24000,24000,S/D
Rio Riofrio,2020,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Valcanes,0354-2020,15/09/2020,11:01,Aguas Superficiales,15/09/2020 al 08/10/2020 Fin de este informe,0397 - 14/10/2020,S/D,947824.64,1078320.19,26,7.94,22.3,77.3,6.9,S/D,34,12,22,1.1,11.1,7.37,62.4,30.4,7.86,2.63,2.14,S/D,0.25,0.308,0.0101,0.203,0.0935,0.778,0.0571,2.56,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.92,9300,2300,S/D
Rio Riofrio,2021,RIOFRIO,Rio Riofrio,Rio Riofrio - Rio Valcanes,0476-2021,23/06/2021,12:15,Agua,23/06/2021 al 16/07/2021 Fin de este informe,0515 - 03/08/2021,S/D,947824.64,1078320.19,30,6.86,23.1,77.8,3.3,6.22,80,11.6,68.4,1.5,11,7.66,34.7,29.7,7.54,2.65,2.2,S/D,0.25,0.343,0.0101,0.202,0.0935,0.23,0.0571,2.27,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.45,2000,2000,S/D
