Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Riofrio,2016,RIOFRIO,Rio Riofrio,Rio Riofrio - puente despues Salonica - limnigrafo CVC,0379-2016,25/05/2016,11:30,Aguas Superficiales,25/05/2016 al 09/06/2016,0424 - 19/07/2016,S/D,948804.64,1079111.19,30,8.31,24.1,73.2,6,S/D,98,11.6,86.4,1.53,20.8,7.46,43.8,60,11.2,7.78,3.5,S/D,1.11,0.299,0.00748,0.0248,0.0518,0.67,0.526,1.72,0.319,S/D,S/D,S/D,S/D,S/D,S/D,7.22,2400,150,S/D
Rio Riofrio,2016,RIOFRIO,Rio Riofrio,Rio Riofrio - puente despues Salonica - limnigrafo CVC,1213-2016,26/10/2016,11:25,Aguas Superficiales,26/10/2016 al 23/11/2016,1304 - 12/12/2016,S/D,948804.64,1079111.19,26,7.04,17,71.7,16,S/D,54,19,35,1.19,14.4,7.62,29.7,44,8.82,5.35,3.33,S/D,1.5,0.63,0.008,0.0248,0.08,0.67,0.526,1.78,4.01,S/D,S/D,S/D,S/D,S/D,S/D,6.5,230,90,S/D
Rio Riofrio,2017,RIOFRIO,Rio Riofrio,Rio Riofrio - puente despues Salonica - limnigrafo CVC,0251-2017,06/04/2017,10:29,Aguas Superficiales,06/04/2017 al 24/05/2017,0236 - 22/05/2017,S/D,948804.64,1079111.19,29,8.06,18.4,80,7.5,S/D,182,11.6,170,0.954,18.3,7.65,35.4,53,11.2,6.08,0.281,*,1.06,0.54,0.00973,0.0562,0.0509,0.318,0.353,2.63,0.539,S/D,S/D,S/D,S/D,S/D,S/D,6.43,*,*,S/D
Rio Riofrio,2017,RIOFRIO,Rio Riofrio,Rio Riofrio - puente despues Salonica - limnigrafo CVC,0976-2017,03/08/2017,12:05,Aguas Superficiales,03/08/2017 al 31/08/2017,0951 - 11/09/2017,S/D,948804.64,1079111.19,32,7.18,22,103,4.1,S/D,94,12,82,2.1,12.4,6.52,58.2,80.6,18.4,8.41,4.6,S/D,S/D,0.48,0.122,0.24,0.0662,0.682,0.353,0.2,0.2,S/D,S/D,S/D,S/D,S/D,S/D,4.47,24000,2900,S/D
Rio Riofrio,2018,RIOFRIO,Rio Riofrio,Rio Riofrio - puente despues Salonica - limnigrafo CVC,0384-2018,11/04/2018,12:40,Aguas Superficiales,11/04/2018 al 02/05/2018,0378 - 27/04/2018,S/D,948804.64,1079111.19,29,8.03,21.5,81.2,50,S/D,274,264,10,1.66,48.2,7.63,35,34,5.83,4.72,1.52,S/D,S/D,0.502,0.0898,0.0933,0.113,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.08,11000,230,S/D
Rio Riofrio,2018,RIOFRIO,Rio Riofrio,Rio Riofrio - puente despues Salonica - limnigrafo CVC,1044-2018,02/08/2018,10:25,Aguas Superficiales,02/08/2018 al 22/08/2018,1013 - 03/09/2018,S/D,948804.64,1079111.19,28,8.19,20.5,71.3,35.5,S/D,120,48,72,0.993,11.1,7.42,27.9,35.5,7.12,4.32,1.57,S/D,S/D,0.602,0.0898,0.134,0.0662,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.49,24000,900,S/D
Rio Riofrio,2019,RIOFRIO,Rio Riofrio,Rio Riofrio - puente despues Salonica - limnigrafo CVC,0475-2019,30/04/2019,11:50,Aguas Superficiales,30/04/2019 al 02/07/2019,0531 - 08/07/2019,S/D,948804.64,1079111.19,24,7.86,22.8,80.1,5.5,S/D,92,11.6,80.4,1.03,11.1,7.26,33.9,32.1,7.58,3.22,0.862,S/D,S/D,0.755,0.0898,0.134,0.0662,0.376,0.353,1.33,0.505,S/D,S/D,S/D,S/D,S/D,S/D,3.96,24000,9300,S/D
Rio Riofrio,2019,RIOFRIO,Rio Riofrio,Rio Riofrio - puente despues Salonica - limnigrafo CVC,1045-2019,31/07/2019,11:15,Aguas Superficiales,31/07/2019 al 15/08/2019,1019 - 09/09/2019,S/D,948804.64,1079111.19,27,8.29,22.8,93.1,3,S/D,100,11.6,88.4,0.964,11.1,6.65,46.8,41.6,9.78,4.18,1.12,S/D,0.366,0.221,0.0898,0.134,0.0662,0.318,0.353,4.72,1.27,S/D,S/D,S/D,S/D,S/D,S/D,5,15000,750,S/D
Rio Riofrio,2020,RIOFRIO,Rio Riofrio,Rio Riofrio - puente despues Salonica - limnigrafo CVC,0356-2020,15/09/2020,10:45,Aguas Superficiales,15/09/2020 al 08/10/2020 Fin de este informe,0399 - 14/10/2020,S/D,948804.64,1079111.19,28,7.94,21.8,82.1,8.7,S/D,40,14,26,1.36,11.1,7.28,69.7,33.8,7.13,3.89,2.14,S/D,0.25,0.326,0.0101,0.203,0.0935,0.994,0.0571,2.72,0.8,S/D,S/D,S/D,S/D,S/D,S/D,4.8,500000,43000,S/D
Rio Riofrio,2021,RIOFRIO,Rio Riofrio,Rio Riofrio - puente despues Salonica - limnigrafo CVC,0478-2021,23/06/2021,11:45,Agua,23/06/2021 al 16/07/2021 Fin de este informe,0517 - 03/08/2021,S/D,948804.64,1079111.19,30,6.88,23,83,45,29.1,122,44,78,1.19,11,7.39,38,27.9,3.32,4.77,2.2,S/D,0.25,0.367,0.0101,0.202,0.0935,3.75,0.0571,2.38,0.8,S/D,S/D,S/D,S/D,S/D,S/D,3.69,9300,4300,S/D
