Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Risaralda,1998,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,1998-06-04,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,S/D,S/D,22,175,8.3,S/D,S/D,S/D,S/D,S/D,S/D,S/D,93,S/D,S/D,S/D,1.5,S/D,S/D,0.32,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,3.9,2,S/D,S/D
Rio Risaralda,1998,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,1998-11-04,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,S/D,S/D,22,175,7,S/D,S/D,S/D,S/D,S/D,S/D,S/D,88,S/D,S/D,S/D,1.5,S/D,S/D,0.49,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,1.7,2,S/D,S/D
Rio Risaralda,2000,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2000-04-07,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,S/D,S/D,21,172,28,S/D,S/D,S/D,S/D,S/D,S/D,S/D,91,S/D,S/D,S/D,1.5,S/D,S/D,0.36,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8.9,790,S/D,S/D
Rio Risaralda,2003,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2003-09-03,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,S/D,6.84,30,410,2,S/D,270,9.5,S/D,S/D,S/D,S/D,203,S/D,S/D,S/D,1.5,S/D,S/D,0.41972,0.001,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,4.4118,110,S/D,S/D
Rio Risaralda,2003,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2003-09-03,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,30,6.84,30,410,2,S/D,270,S/D,S/D,S/D,S/D,S/D,203,S/D,S/D,S/D,9.5,S/D,S/D,260.5,1.5,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,0.41972,S/D,S/D,S/D
Rio Risaralda,2009,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2009-02-03,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,22.4,8.37,18.8,61,15,S/D,117,19.8,S/D,8.3,21.3,7.92,32.4,S/D,S/D,S/D,4,S/D,S/D,1.59,0.06,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7.6,14000,S/D,2334
Rio Risaralda,2010,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2010-03-02,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,22.1,7.61,19.5,74,0.95,S/D,69,2.1,S/D,S/D,21.3,7.72,29.5,24.4,S/D,S/D,2,S/D,S/D,1,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,12.4,7000,S/D,448
Rio Risaralda,2010,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2010-07-06,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,20.3,7.72,18.2,48,6.5,S/D,84,16,S/D,S/D,21.3,8.2,16.5,14.5,S/D,S/D,1.5,S/D,S/D,1.1,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,12,46000,S/D,3527
Rio Risaralda,2011,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2011-02-01,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,20.4,8.03,16.5,149,6.2,S/D,142,14.2,S/D,1,S/D,7.6,39.9,55,S/D,S/D,1.5,S/D,S/D,0.3,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,24.7,49000,S/D,9160
Rio Risaralda,2011,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2011-07-05,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,21.3,7.78,16.6,12.8,2.5,S/D,116,3.9,S/D,0.36,S/D,7.92,35.5,43,S/D,S/D,0.94,S/D,S/D,0.64,0.0043,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,23.7,130000,S/D,9160
